"var","categoria","Muy bajas","Bajas","Adecuadas","Altas","Muy altas"
"P06","Mucho",0.52,0.485,0.54,0.454,0.47
"P06","Bastante",0.274,0.435,0.322,0.343,0.343
"P06","Poco",0.144,0.064,0.118,0.169,0.145
"P06","Nada",0.062,0.014,0.019,0.026,0.028
"P06","No sabe",0,0.002,0.001,0.008,0.014
"P07","Siempre",0.283,0.234,0.326,0.269,0.269
"P07","Casi siempre",0.323,0.493,0.443,0.418,0.453
"P07","Casi nunca",0.239,0.236,0.195,0.247,0.192
"P07","Nunca, pero esta es una excepción",0.155,0.037,0.036,0.066,0.086
"P09","Gran excedente habitual",0.025,0.036,0.019,0.004,0.004
"P09","Gran excedente excepcional",0.01,0.01,0.012,0.005,0.003
"P09","Pequeño excedente habitual",0.063,0.115,0.127,0.04,0.038
"P09","Pequeño excedente excepcional",0.08,0.21,0.164,0.167,0.095
"P09","Alcanza gastos familia",0.031,0.11,0.124,0.126,0.083
"P09","No alcanza gastos familia",0.103,0.057,0.044,0.052,0.11
"P09","Solo NBFamiliares",0.342,0.328,0.295,0.273,0.213
"P09","No alcanza NBFamiliares",0.346,0.134,0.213,0.328,0.444
"P09","No sabe",0,0,0.002,0.005,0.01
"P10","Tiene Decidido que va a ir a votar",0.94,0.903,0.943,0.887,0.842
"P10","Tiene dudas sobre si va a ir a  votar",0.054,0.094,0.05,0.097,0.104
"P10","Tiene Decidido que no va a ir a votar",0.006,0.003,0.007,0.016,0.054
"P13","Unión por la Patria",0.216,0.367,0.538,0.418,0.224
"P13","Juntos por el Cambio ",0.297,0.33,0.251,0.249,0.321
"P13","Liberales",0.421,0.191,0.122,0.169,0.235
"P13","Izquierda",0.002,0.039,0.012,0.049,0.053
"P13","Hacemos por Nuestro país",0.06,0.034,0.031,0.028,0.098
"P13","No sabe",0.004,0.039,0.046,0.087,0.069
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.208,0.367,0.537,0.433,0.222
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.403,0.375,0.29,0.335,0.392
"P18","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.363,0.203,0.14,0.155,0.254
"P18","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.009,0.009,0.004,0.009,0.026
"P18","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda",0.007,0.014,0.004,0.022,0.053
"P18","En blanco",0,0.008,0.007,0.026,0.033
"P18","No sabe",0.01,0.024,0.018,0.02,0.02
"P21","Totalmente seguro",0.681,0.834,0.754,0.714,0.647
"P21","Bastante seguro",0.114,0.088,0.125,0.142,0.164
"P21","Algo seguro",0.186,0.063,0.087,0.089,0.113
"P21","Para nada seguro",0.019,0.015,0.034,0.055,0.076
"P32","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.103,0.106,0.07,0.073,0.102
"P32","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.236,0.052,0.07,0.075,0.049
"P32","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.558,0.319,0.218,0.252,0.237
"P32","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.037,0.124,0.267,0.28,0.233
"P32","En blanco",0.065,0.318,0.24,0.19,0.247
"P32","No sabe",0.001,0.081,0.135,0.13,0.132
"P33","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.191,0.059,0.067,0.116,0.057
"P33","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.489,0.389,0.327,0.453,0.409
"P33","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.084,0.239,0.23,0.096,0.084
"P33","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0,0.016,0.007,0.025,0.007
"P33","En blanco",0.186,0.215,0.241,0.191,0.299
"P33","No sabe",0.05,0.082,0.128,0.119,0.144
"P34","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.069,0.227,0.082,0.209,0.214
"P34","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.149,0.475,0.39,0.444,0.318
"P34","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.046,0.053,0.374,0.134,0.164
"P34","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.01,0,0.011,0.006,0.007
"P34","En blanco",0.724,0.245,0.123,0.144,0.219
"P34","No sabe",0.002,0,0.02,0.063,0.078
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.53,0.332,0.291,0.343,0.435
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.267,0.238,0.199,0.157,0.152
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.122,0.268,0.339,0.306,0.17
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.014,0.071,0.076,0.087,0.089
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.04,0.053,0.055,0.055,0.078
"P36","No sabe",0.027,0.038,0.04,0.052,0.076
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.222,0.413,0.528,0.449,0.296
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.472,0.453,0.335,0.358,0.499
"P37","En blanco",0.251,0.078,0.099,0.095,0.134
"P37","No sabe",0.055,0.056,0.038,0.098,0.071
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.429,0.411,0.366,0.362,0.368
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.373,0.236,0.16,0.175,0.309
"P38","En blanco",0.093,0.247,0.341,0.269,0.214
"P38","No sabe",0.105,0.106,0.133,0.194,0.109
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.252,0.433,0.57,0.463,0.301
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.607,0.353,0.221,0.294,0.399
"P39","En blanco",0.098,0.145,0.117,0.119,0.194
"P39","No sabe",0.043,0.069,0.092,0.124,0.106
"P45","Lo votaría",0.268,0.384,0.538,0.482,0.263
"P45","Puede que lo vote",0.154,0.089,0.049,0.087,0.113
"P45","Nunca lo votaría",0.536,0.504,0.386,0.39,0.584
"P45","No sabe",0.042,0.023,0.027,0.041,0.04
"P46","Lo votaría",0.398,0.351,0.291,0.315,0.385
"P46","Puede que lo vote",0.119,0.123,0.097,0.109,0.162
"P46","Nunca lo votaría",0.474,0.498,0.57,0.518,0.414
"P46","No sabe",0.009,0.028,0.042,0.058,0.039
"P47","Lo votaría",0.415,0.239,0.149,0.17,0.287
"P47","Puede que lo vote",0.203,0.154,0.144,0.13,0.172
"P47","Nunca lo votaría",0.374,0.538,0.659,0.641,0.48
"P47","No sabe",0.008,0.069,0.048,0.059,0.061
"P48","Lo votaría",0.163,0.073,0.13,0.133,0.135
"P48","Puede que lo vote",0.171,0.235,0.293,0.346,0.286
"P48","Nunca lo votaría",0.656,0.611,0.503,0.459,0.536
"P48","No sabe",0.01,0.081,0.074,0.062,0.043
"P49","Lo votaría",0.103,0.036,0.104,0.083,0.073
"P49","Puede que lo vote",0.282,0.352,0.335,0.25,0.232
"P49","Nunca lo votaría",0.602,0.521,0.503,0.548,0.607
"P49","No sabe",0.013,0.091,0.058,0.119,0.088
"P50","Si",0.566,0.403,0.427,0.447,0.496
"P50","No",0.434,0.597,0.573,0.553,0.504
"P51","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.271,0.281,0.368,0.424,0.286
"P51","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.203,0.271,0.18,0.139,0.179
"P51","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.494,0.397,0.326,0.292,0.365
"P51","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.032,0.034,0.111,0.095,0.069
"P51","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0,0.013,0.004,0.012,0.039
"P51","En blanco",0,0.004,0.004,0.013,0.029
"P51","No sabe",0,0,0.007,0.025,0.033
"P52","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.517,0.405,0.474,0.535,0.394
"P52","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.341,0.469,0.289,0.26,0.395
"P52","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.075,0.041,0.084,0.036,0.087
"P52","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.017,0.016,0.112,0.106,0.042
"P52","En blanco",0.012,0,0.022,0.027,0.017
"P52","No sabe",0.038,0.069,0.019,0.036,0.065
"P53","Sergio Massa y Javier Milei",0.534,0.508,0.557,0.467,0.414
"P53","Patricia Bullrich y Javier Milei",0.396,0.415,0.357,0.409,0.496
"P53","Sergio Massa y Patricia Bullrich",0.07,0.077,0.086,0.124,0.09
"P54","Muy buena",0.106,0.085,0.042,0.041,0.031
"P54","Buena",0.119,0.164,0.112,0.108,0.066
"P54","Regular",0.045,0.181,0.341,0.247,0.105
"P54","Mala",0.126,0.171,0.23,0.296,0.215
"P54","Muy mala",0.604,0.399,0.275,0.308,0.583
"P55","Muy buena",0.163,0.062,0.099,0.047,0.031
"P55","Buena",0.029,0.195,0.223,0.143,0.048
"P55","Regular",0.015,0.124,0.216,0.242,0.131
"P55","Mala",0.129,0.174,0.158,0.263,0.112
"P55","Muy mala",0.664,0.445,0.304,0.305,0.678
"P56","Muy buena",0.226,0.148,0.181,0.128,0.08
"P56","Buena",0.105,0.31,0.339,0.227,0.145
"P56","Regular",0.31,0.321,0.285,0.4,0.346
"P56","Mala",0.089,0.15,0.122,0.16,0.25
