"var","categoria","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda","En blanco","No sabe"
"P06","Mucho",0.63,0.457,0.439,0.155,0.434,0.337
"P06","Bastante",0.26,0.367,0.381,0.216,0.391,0.441
"P06","Poco",0.096,0.134,0.137,0.355,0.169,0.211
"P06","Nada",0.003,0.041,0.029,0.274,0.006,0
"P06","No sabe",0.011,0.001,0.014,0,0,0.011
"P07","Siempre",0.402,0.257,0.241,0.238,0.263,0.25
"P07","Casi siempre",0.321,0.447,0.519,0.286,0.469,0.464
"P07","Casi nunca",0.224,0.217,0.202,0.345,0.191,0.238
"P07","Nunca, pero esta es una excepción",0.053,0.079,0.038,0.131,0.077,0.048
"P09","Gran excedente habitual",0.033,0.001,0.01,0.019,0.006,0.023
"P09","Gran excedente excepcional",0,0.003,0.017,0,0.006,0.003
"P09","Pequeño excedente habitual",0.071,0.054,0.059,0,0.047,0.029
"P09","Pequeño excedente excepcional",0.169,0.121,0.11,0.094,0.099,0.129
"P09","Alcanza gastos familia",0.046,0.121,0.2,0.157,0.076,0.101
"P09","No alcanza gastos familia",0.022,0.078,0.053,0.038,0.06,0.041
"P09","Solo NBFamiliares",0.211,0.315,0.302,0.122,0.22,0.254
"P09","No alcanza NBFamiliares",0.448,0.307,0.247,0.57,0.485,0.415
"P09","No sabe",0,0,0.002,0,0.001,0.005
"P10","Tiene Decidido que va a ir a votar",0.795,0.86,0.933,0.905,0.898,0.976
"P10","Tiene dudas sobre si va a ir a  votar",0.198,0.098,0.059,0.095,0.099,0.024
