"var","categoria","Con políticas de shock, mano dura y castigando a los corruptos y ladrones","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar","Con políticas de desarrollo que permitan el crecimiento con inclusión social","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares","No sabe"
"P06","Mucho",0.444,0.439,0.53,0.527,0.573,0.313
"P06","Bastante",0.333,0.394,0.342,0.269,0.344,0.318
"P06","Poco",0.17,0.129,0.113,0.132,0.08,0.272
"P06","Nada",0.046,0.036,0.009,0.035,0.003,0.092
"P06","No sabe",0.007,0.002,0.006,0.037,0,0.005
"P07","Siempre",0.286,0.258,0.263,0.248,0.359,0.208
"P07","Casi siempre",0.371,0.419,0.457,0.536,0.439,0.354
"P07","Casi nunca",0.243,0.271,0.244,0.192,0.161,0.266
"P07","Nunca, pero esta es una excepción",0.1,0.052,0.036,0.024,0.041,0.172
"P09","Gran excedente habitual",0.012,0.003,0.015,0.027,0.012,0.024
"P09","Gran excedente excepcional",0.003,0.008,0.011,0.02,0.008,0.005
"P09","Pequeño excedente habitual",0.038,0.085,0.101,0.087,0.092,0.026
"P09","Pequeño excedente excepcional",0.097,0.16,0.163,0.148,0.195,0.087
"P09","Alcanza gastos familia",0.108,0.121,0.11,0.14,0.126,0.082
"P09","No alcanza gastos familia",0.087,0.051,0.068,0.064,0.091,0.136
"P09","Solo NBFamiliares",0.258,0.287,0.296,0.238,0.201,0.242
"P09","No alcanza NBFamiliares",0.392,0.284,0.234,0.267,0.267,0.391
"P09","No sabe",0.005,0.001,0.002,0.009,0.008,0.007
"P10","Tiene Decidido que va a ir a votar",0.897,0.905,0.912,0.913,0.889,0.853
"P10","Tiene dudas sobre si va a ir a  votar",0.083,0.071,0.068,0.079,0.056,0.119
"P10","Tiene Decidido que no va a ir a votar",0.02,0.024,0.02,0.008,0.055,0.028
"P13","Unión por la Patria",0.11,0.244,0.75,0.657,0.522,0.277
"P13","Juntos por el Cambio ",0.377,0.421,0.105,0.074,0.116,0.194
"P13","Liberales",0.34,0.169,0.042,0.051,0.11,0.169
"P13","Izquierda",0.029,0.028,0.025,0.038,0.143,0.028
"P13","Hacemos por Nuestro país",0.064,0.066,0.041,0.088,0.064,0.059
"P13","No sabe",0.08,0.072,0.037,0.092,0.045,0.273
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.143,0.288,0.705,0.709,0.595,0.354
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.436,0.479,0.146,0.069,0.23,0.26
"P18","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.339,0.161,0.084,0.075,0.07,0.18
"P18","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.012,0.015,0.017,0.008,0.008,0.019
"P18","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda",0.02,0.009,0.019,0.054,0.053,0.021
"P18","En blanco",0.033,0.023,0.009,0.061,0.008,0.056
"P18","No sabe",0.017,0.025,0.02,0.024,0.036,0.11
"P21","Totalmente seguro",0.749,0.636,0.792,0.585,0.59,0.429
