"var","categoria","Reducir la inflación","Implementar reformas fiscales","Establecer políticas de control de precios","Reducir el gasto público","Estimular la inversión extranjera","Aumentar los subsidios a los servicios públicos"
"P06","Mucho",0.513,0.54,0.519,0.414,0.553,0.527
"P06","Bastante",0.319,0.299,0.337,0.412,0.309,0.385
"P06","Poco",0.145,0.125,0.125,0.131,0.128,0.064
"P06","Nada",0.02,0.033,0.011,0.028,0.007,0.024
"P06","No sabe",0.003,0.003,0.008,0.015,0.003,0
"P07","Siempre",0.312,0.24,0.296,0.233,0.273,0.219
"P07","Casi siempre",0.43,0.469,0.43,0.437,0.486,0.295
"P07","Casi nunca",0.195,0.257,0.25,0.235,0.231,0.144
"P07","Nunca, pero esta es una excepción",0.063,0.034,0.024,0.095,0.01,0.342
"P09","Gran excedente habitual",0.021,0.004,0.007,0.006,0,0.014
"P09","Gran excedente excepcional",0.005,0.004,0.01,0.011,0.003,0
"P09","Pequeño excedente habitual",0.069,0.125,0.088,0.049,0.084,0.03
"P09","Pequeño excedente excepcional",0.139,0.133,0.167,0.146,0.256,0.105
"P09","Alcanza gastos familia",0.108,0.105,0.117,0.116,0.096,0.008
"P09","No alcanza gastos familia",0.058,0.074,0.064,0.099,0.079,0
"P09","Solo NBFamiliares",0.255,0.344,0.336,0.273,0.135,0.13
"P09","No alcanza NBFamiliares",0.342,0.201,0.209,0.292,0.347,0.684
"P09","No sabe",0.003,0.01,0.002,0.008,0,0.029
"P10","Tiene Decidido que va a ir a votar",0.9,0.841,0.898,0.902,0.821,0.738
"P10","Tiene dudas sobre si va a ir a  votar",0.077,0.142,0.082,0.072,0.131,0.262
"P10","Tiene Decidido que no va a ir a votar",0.023,0.017,0.02,0.026,0.048,0
"P13","Unión por la Patria",0.482,0.407,0.635,0.065,0.47,0.34
"P13","Juntos por el Cambio ",0.246,0.266,0.085,0.427,0.31,0.04
"P13","Liberales",0.142,0.175,0.107,0.344,0.081,0.151
"P13","Izquierda",0.041,0.057,0.031,0.016,0.036,0.208
"P13","Hacemos por Nuestro país",0.043,0.041,0.08,0.061,0.011,0
"P13","No sabe",0.046,0.054,0.062,0.087,0.092,0.261
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.469,0.46,0.631,0.091,0.428,0.458
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.308,0.301,0.175,0.519,0.315,0.196
"P18","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.146,0.162,0.131,0.326,0.135,0.135
"P18","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.01,0.016,0.008,0.018,0.007,0
"P18","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda",0.026,0.033,0.035,0.004,0.013,0.211
"P18","En blanco",0.017,0.024,0.008,0.019,0.083,0
"P18","No sabe",0.024,0.004,0.012,0.023,0.019,0
"P21","Totalmente seguro",0.733,0.751,0.733,0.697,0.525,0.556
"P21","Bastante seguro",0.14,0.128,0.098,0.153,0.185,0.138
"P21","Algo seguro",0.076,0.093,0.116,0.089,0.235,0.306
"P21","Para nada seguro",0.051,0.028,0.053,0.061,0.055,0
"P32","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.089,0.022,0.043,0.219,0.11,0.039
"P32","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.048,0.023,0.061,0.297,0.115,0.34
"P32","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.251,0.308,0.166,0.22,0.54,0
"P32","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.235,0.392,0.291,0.134,0.027,0.052
"P32","En blanco",0.251,0.166,0.275,0.058,0.134,0.299
"P32","No sabe",0.126,0.089,0.164,0.072,0.074,0.27
"P33","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.073,0.096,0.301,0.032,0.236,0.821
"P33","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.383,0.492,0.222,0.431,0.201,0.056
"P33","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.15,0.188,0.107,0.131,0.071,0.123
"P33","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.019,0.029,0,0.009,0,0
"P33","En blanco",0.276,0.177,0.218,0.234,0.345,0
"P33","No sabe",0.099,0.018,0.152,0.163,0.147,0
