"var","categoria","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda","En blanco","No sabe"
"P06","Mucho",0.527,0.442,0.432,0.347,0.402,0.276,0.216
"P06","Bastante",0.337,0.376,0.345,0.284,0.256,0.367,0.371
"P06","Poco",0.095,0.149,0.164,0.233,0.276,0.185,0.239
"P06","Nada",0.027,0.027,0.056,0.119,0.014,0.151,0.165
"P06","No sabe",0.014,0.006,0.003,0.017,0.052,0.021,0.009
"P07","Siempre",0.27,0.278,0.258,0.187,0.147,0.245,0.168
"P07","Casi siempre",0.443,0.45,0.338,0.54,0.271,0.394,0.314
"P07","Casi nunca",0.239,0.21,0.28,0.238,0.39,0.25,0.425
"P07","Nunca, pero esta es una excepción",0.048,0.062,0.124,0.035,0.192,0.111,0.093
"P09","Gran excedente habitual",0.021,0.008,0.017,0,0,0,0
"P09","Gran excedente excepcional",0.01,0.006,0.013,0,0,0,0.01
"P09","Pequeño excedente habitual",0.098,0.05,0.041,0.088,0.007,0.012,0.04
"P09","Pequeño excedente excepcional",0.154,0.108,0.119,0.069,0.237,0.143,0.09
"P09","Alcanza gastos familia",0.11,0.108,0.093,0.167,0.103,0.072,0.146
"P09","No alcanza gastos familia",0.083,0.053,0.081,0.164,0.118,0.178,0.131
"P09","Solo NBFamiliares",0.263,0.297,0.255,0.248,0.227,0.181,0.244
"P09","No alcanza NBFamiliares",0.254,0.366,0.375,0.264,0.308,0.404,0.336
"P09","No sabe",0.007,0.004,0.006,0,0,0.01,0.003
"P10","Tiene Decidido que va a ir a votar",0.921,0.904,0.934,0.823,0.721,0.646,0.689
"P10","Tiene dudas sobre si va a ir a  votar",0.062,0.08,0.043,0.14,0.129,0.293,0.208
"P10","Tiene Decidido que no va a ir a votar",0.017,0.016,0.023,0.037,0.15,0.061,0.103
"P13","Unión por la Patria",0.83,0.056,0.125,0.035,0.004,0.059,0.071
"P13","Juntos por el Cambio ",0.053,0.715,0.074,0.153,0.093,0.037,0.104
"P13","Liberales",0.027,0.158,0.582,0.025,0.043,0.016,0.041
"P13","Izquierda",0.023,0.021,0.019,0.365,0.425,0.014,0.08
"P13","Hacemos por Nuestro país",0.027,0.021,0.149,0.273,0.302,0.129,0.127
"P13","No sabe",0.04,0.029,0.051,0.149,0.133,0.745,0.577
"P21","Totalmente seguro",0.761,0.708,0.686,0.511,0.374,0.173,0.184
"P21","Bastante seguro",0.122,0.154,0.167,0.09,0.169,0.09,0.093
"P21","Algo seguro",0.092,0.11,0.113,0.139,0.126,0.109,0.078
"P21","Para nada seguro",0.025,0.028,0.034,0.26,0.331,0.628,0.645
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.133,0.502,0.633,0.319,0.322,0.433,0.241
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.135,0.28,0.153,0.201,0.075,0.154,0.175
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.44,0.113,0.105,0.312,0.208,0.08,0.186
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.164,0.02,0.035,0.052,0.221,0.2,0.082
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.074,0.036,0.018,0.03,0.118,0.013,0.067
"P36","No sabe",0.054,0.049,0.056,0.086,0.056,0.12,0.249
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.867,0.103,0.155,0.234,0.31,0.197,0.14
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.055,0.831,0.489,0.179,0.077,0.184,0.111
"P37","En blanco",0.052,0.035,0.279,0.418,0.128,0.3,0.098
"P37","No sabe",0.026,0.031,0.077,0.169,0.485,0.319,0.651
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.194,0.801,0.109,0.295,0.06,0.127,0.159
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.077,0.117,0.747,0.277,0.101,0.109,0.066
"P38","En blanco",0.502,0.06,0.111,0.268,0.194,0.274,0.16
"P38","No sabe",0.227,0.022,0.033,0.16,0.645,0.49,0.615
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.877,0.134,0.141,0.183,0.225,0.212,0.142
