"var","categoria","Ha aumentado significativamente","Ha aumentado ligeramente","Se mantiene igual","Ha disminuido ligeramente","Ha disminuido significativamente"
"P06","Mucho",0.617,0.549,0.489,0.467,0.435
"P06","Bastante",0.276,0.346,0.35,0.348,0.323
"P06","Poco",0.087,0.087,0.131,0.13,0.214
"P06","Nada",0.02,0.016,0.023,0.038,0.026
"P06","No sabe",0,0.002,0.007,0.017,0.002
"P07","Siempre",0.413,0.224,0.31,0.26,0.262
"P07","Casi siempre",0.324,0.508,0.415,0.46,0.39
"P07","Casi nunca",0.196,0.195,0.234,0.243,0.239
"P07","Nunca, pero esta es una excepción",0.067,0.073,0.041,0.037,0.109
"P09","Gran excedente habitual",0.06,0.007,0.012,0.011,0.002
"P09","Gran excedente excepcional",0.009,0.011,0.017,0.004,0.003
"P09","Pequeño excedente habitual",0.1,0.156,0.079,0.033,0.012
"P09","Pequeño excedente excepcional",0.187,0.194,0.139,0.147,0.098
"P09","Alcanza gastos familia",0.05,0.096,0.155,0.1,0.079
"P09","No alcanza gastos familia",0.064,0.051,0.05,0.075,0.092
"P09","Solo NBFamiliares",0.209,0.265,0.315,0.283,0.238
"P09","No alcanza NBFamiliares",0.31,0.219,0.225,0.342,0.475
"P09","No sabe",0.011,0.001,0.008,0.005,0.001
"P10","Tiene Decidido que va a ir a votar",0.983,0.928,0.876,0.907,0.863
"P10","Tiene dudas sobre si va a ir a  votar",0.015,0.06,0.109,0.082,0.087
"P10","Tiene Decidido que no va a ir a votar",0.002,0.012,0.015,0.011,0.05
"P13","Unión por la Patria",0.749,0.593,0.462,0.276,0.105
"P13","Juntos por el Cambio ",0.044,0.153,0.254,0.364,0.413
"P13","Liberales",0.069,0.153,0.148,0.23,0.273
"P13","Izquierda",0.027,0.044,0.023,0.043,0.042
"P13","Hacemos por Nuestro país",0.08,0.025,0.053,0.017,0.076
"P13","No sabe",0.031,0.032,0.06,0.07,0.091
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.71,0.593,0.489,0.242,0.134
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.11,0.191,0.305,0.431,0.522
"P18","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.131,0.165,0.164,0.244,0.216
"P18","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0,0.007,0.011,0.012,0.019
"P18","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda",0.035,0.009,0.004,0.03,0.048
"P18","En blanco",0,0.018,0.015,0.022,0.027
"P18","No sabe",0.014,0.017,0.012,0.019,0.034
"P21","Totalmente seguro",0.869,0.766,0.718,0.668,0.694
"P21","Bastante seguro",0.062,0.13,0.137,0.164,0.129
"P21","Algo seguro",0.042,0.08,0.108,0.123,0.087
"P21","Para nada seguro",0.027,0.024,0.037,0.045,0.09
"P32","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.119,0.06,0.058,0.092,0.215
"P32","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.094,0.101,0.035,0.086,0.004
"P32","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.279,0.219,0.207,0.27,0.483
"P32","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.172,0.261,0.303,0.21,0.16
"P32","En blanco",0.238,0.226,0.273,0.202,0.067
"P32","No sabe",0.098,0.133,0.124,0.14,0.071
"P33","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.709,0.115,0.078,0.083,0.047
"P33","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.021,0.407,0.522,0.334,0.412
"P33","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.083,0.231,0.131,0.132,0.116
"P33","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0,0.034,0.011,0.004,0.013
"P33","En blanco",0.187,0.144,0.143,0.278,0.306
"P33","No sabe",0,0.069,0.115,0.169,0.106
"P34","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.645,0.193,0.197,0.146,0.064
"P34","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.005,0.24,0.396,0.465,0.446
"P34","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.155,0.223,0.169,0.18,0.133
"P34","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0,0,0.01,0.005,0.013
