"var","categoria","Sí, absolutamente","Sí, en cierta medida","No, en absoluto"
"P06","Mucho",0.518,0.442,0.513
"P06","Bastante",0.314,0.393,0.325
"P06","Poco",0.137,0.139,0.127
"P06","Nada",0.026,0.022,0.021
"P06","No sabe",0.005,0.004,0.014
"P07","Siempre",0.31,0.228,0.308
"P07","Casi siempre",0.419,0.479,0.413
"P07","Casi nunca",0.2,0.238,0.222
"P07","Nunca, pero esta es una excepción",0.071,0.055,0.057
"P09","Gran excedente habitual",0.02,0.003,0.012
"P09","Gran excedente excepcional",0.008,0.006,0.007
"P09","Pequeño excedente habitual",0.08,0.069,0.06
"P09","Pequeño excedente excepcional",0.141,0.123,0.194
"P09","Alcanza gastos familia",0.114,0.097,0.109
"P09","No alcanza gastos familia",0.076,0.066,0.059
"P09","Solo NBFamiliares",0.252,0.313,0.256
"P09","No alcanza NBFamiliares",0.304,0.319,0.298
"P09","No sabe",0.005,0.004,0.005
"P10","Tiene Decidido que va a ir a votar",0.91,0.839,0.921
"P10","Tiene dudas sobre si va a ir a  votar",0.07,0.123,0.072
"P10","Tiene Decidido que no va a ir a votar",0.02,0.038,0.007
"P13","Unión por la Patria",0.662,0.255,0.06
"P13","Juntos por el Cambio ",0.132,0.392,0.393
"P13","Liberales",0.084,0.187,0.373
"P13","Izquierda",0.036,0.051,0.018
"P13","Hacemos por Nuestro país",0.035,0.04,0.086
"P13","No sabe",0.051,0.075,0.07
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.637,0.289,0.065
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.185,0.441,0.519
"P18","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.114,0.171,0.353
"P18","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.01,0.014,0.013
"P18","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda",0.034,0.02,0.009
"P18","En blanco",0.008,0.03,0.031
"P18","No sabe",0.012,0.035,0.01
"P21","Totalmente seguro",0.78,0.665,0.663
"P21","Bastante seguro",0.106,0.159,0.167
