"var","categoria","Muy positiva","Positiva","Neutral","Algo negativa","Negativa","No sabe"
"P06","Mucho",0.599,0.518,0.448,0.438,0.535,0.404
"P06","Bastante",0.268,0.353,0.356,0.435,0.323,0.342
"P06","Poco",0.114,0.106,0.151,0.109,0.11,0.208
"P06","Nada",0.017,0.022,0.031,0.013,0.022,0.029
"P06","No sabe",0.002,0.001,0.014,0.005,0.01,0.017
"P07","Siempre",0.362,0.263,0.276,0.19,0.316,0.254
"P07","Casi siempre",0.363,0.518,0.414,0.494,0.44,0.483
"P07","Casi nunca",0.218,0.173,0.23,0.256,0.199,0.198
"P07","Nunca, pero esta es una excepción",0.057,0.046,0.08,0.06,0.045,0.065
"P09","Gran excedente habitual",0.031,0.005,0.002,0.006,0.019,0.024
"P09","Gran excedente excepcional",0.011,0.003,0.002,0.01,0.01,0.007
"P09","Pequeño excedente habitual",0.109,0.086,0.063,0.073,0.052,0.032
"P09","Pequeño excedente excepcional",0.204,0.118,0.163,0.125,0.139,0.145
"P09","Alcanza gastos familia",0.112,0.099,0.089,0.139,0.115,0.117
"P09","No alcanza gastos familia",0.069,0.065,0.076,0.118,0.091,0.034
"P09","Solo NBFamiliares",0.262,0.3,0.273,0.202,0.26,0.367
"P09","No alcanza NBFamiliares",0.201,0.315,0.329,0.327,0.314,0.264
"P09","No sabe",0.001,0.009,0.003,0,0,0.01
"P10","Tiene Decidido que va a ir a votar",0.916,0.893,0.868,0.867,0.909,0.891
"P10","Tiene dudas sobre si va a ir a  votar",0.083,0.081,0.097,0.075,0.057,0.109
"P10","Tiene Decidido que no va a ir a votar",0.001,0.026,0.035,0.058,0.034,0
"P13","Unión por la Patria",0.657,0.561,0.225,0.259,0.019,0.257
"P13","Juntos por el Cambio ",0.108,0.151,0.352,0.391,0.574,0.31
"P13","Liberales",0.137,0.136,0.228,0.192,0.316,0.182
"P13","Izquierda",0.032,0.061,0.046,0.028,0.012,0.02
"P13","Hacemos por Nuestro país",0.031,0.038,0.061,0.07,0.036,0.105
"P13","No sabe",0.035,0.053,0.088,0.06,0.043,0.126
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.666,0.53,0.237,0.302,0.027,0.296
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.168,0.191,0.432,0.509,0.635,0.358
"P18","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.119,0.165,0.243,0.11,0.28,0.247
"P18","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.001,0.021,0.018,0.006,0.016,0.004
"P18","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda",0.016,0.04,0.03,0.015,0.029,0.015
"P18","En blanco",0.017,0.026,0.025,0.021,0.005,0.039
"P18","No sabe",0.013,0.027,0.015,0.037,0.008,0.041
"P21","Totalmente seguro",0.787,0.702,0.678,0.688,0.788,0.584
"P21","Bastante seguro",0.057,0.155,0.164,0.134,0.13,0.209
"P21","Algo seguro",0.126,0.082,0.101,0.145,0.045,0.076
"P21","Para nada seguro",0.03,0.061,0.057,0.033,0.037,0.131
"P32","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.091,0.038,0.162,0.041,0.205,0.056
"P32","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.09,0.024,0.071,0.198,0.119,0
"P32","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.188,0.29,0.218,0.21,0.45,0.426
"P32","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.273,0.283,0.193,0.197,0,0.192
"P32","En blanco",0.241,0.232,0.2,0.238,0.089,0.205
"P32","No sabe",0.117,0.133,0.156,0.116,0.137,0.121
"P33","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.16,0.164,0.085,0.081,0.027,0.05
"P33","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.465,0.467,0.42,0.448,0.329,0.178
"P33","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.151,0.195,0.117,0.176,0.097,0.218
"P33","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0,0.006,0.021,0.02,0,0
"P33","En blanco",0.195,0.111,0.232,0.169,0.381,0.164
