"var","categoria","Muy positivo","Positivo","Neutral","Algo negativo","Negativo","No sabe"
"P06","Mucho",0.59,0.413,0.492,0.486,0.52,0.36
"P06","Bastante",0.308,0.427,0.335,0.318,0.369,0.337
"P06","Poco",0.082,0.133,0.132,0.123,0.101,0.232
"P06","Nada",0.02,0.021,0.041,0.045,0.01,0.062
"P06","No sabe",0,0.006,0,0.028,0,0.009
"P07","Siempre",0.316,0.283,0.295,0.222,0.292,0.26
"P07","Casi siempre",0.449,0.485,0.358,0.553,0.423,0.359
"P07","Casi nunca",0.192,0.186,0.286,0.209,0.228,0.138
"P07","Nunca, pero esta es una excepción",0.043,0.046,0.061,0.016,0.057,0.243
"P09","Gran excedente habitual",0.016,0.014,0.001,0.028,0.012,0
"P09","Gran excedente excepcional",0.006,0.009,0.003,0.011,0.016,0
"P09","Pequeño excedente habitual",0.105,0.098,0.059,0.062,0.059,0.033
"P09","Pequeño excedente excepcional",0.193,0.134,0.22,0.159,0.117,0.063
"P09","Alcanza gastos familia",0.095,0.114,0.08,0.097,0.088,0.102
"P09","No alcanza gastos familia",0.072,0.092,0.052,0.062,0.088,0.082
"P09","Solo NBFamiliares",0.277,0.245,0.277,0.371,0.318,0.307
"P09","No alcanza NBFamiliares",0.232,0.288,0.306,0.21,0.302,0.408
"P09","No sabe",0.004,0.006,0.002,0,0,0.005
"P10","Tiene Decidido que va a ir a votar",0.91,0.869,0.919,0.902,0.928,0.844
"P10","Tiene dudas sobre si va a ir a  votar",0.078,0.082,0.07,0.086,0.07,0.142
"P10","Tiene Decidido que no va a ir a votar",0.012,0.049,0.011,0.012,0.002,0.014
"P13","Unión por la Patria",0.675,0.484,0.189,0.091,0.018,0.094
"P13","Juntos por el Cambio ",0.061,0.216,0.338,0.554,0.601,0.391
"P13","Liberales",0.133,0.174,0.306,0.215,0.246,0.205
"P13","Izquierda",0.026,0.018,0.038,0.109,0.017,0.115
"P13","Hacemos por Nuestro país",0.055,0.068,0.063,0.008,0.077,0.013
"P13","No sabe",0.05,0.04,0.066,0.023,0.041,0.182
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.669,0.437,0.229,0.162,0.027,0.068
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.126,0.276,0.475,0.567,0.715,0.562
"P18","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.131,0.225,0.247,0.15,0.209,0.125
"P18","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.003,0.03,0.012,0.044,0.012,0
"P18","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda",0.033,0.002,0.011,0.054,0.006,0.15
"P18","En blanco",0.03,0.018,0.013,0.006,0.009,0.068
"P18","No sabe",0.008,0.012,0.013,0.017,0.022,0.027
"P21","Totalmente seguro",0.741,0.655,0.65,0.702,0.797,0.719
"P21","Bastante seguro",0.106,0.183,0.196,0.123,0.116,0.069
"P21","Algo seguro",0.103,0.126,0.114,0.109,0.051,0.112
"P21","Para nada seguro",0.05,0.036,0.04,0.066,0.036,0.1
"P32","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.066,0.045,0.121,0.182,0.142,0
"P32","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.085,0.042,0.149,0.015,0.286,0
"P32","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.229,0.283,0.14,0.127,0.258,0.745
