"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P06","Mucho",0.43,0.467,0.575,0.394
"P06","Bastante",0.348,0.334,0.308,0.393
"P06","Poco",0.188,0.143,0.087,0.152
"P06","Nada",0.024,0.055,0.025,0.046
"P06","No sabe",0.01,0.001,0.005,0.015
"P07","Siempre",0.265,0.286,0.298,0.218
"P07","Casi siempre",0.431,0.354,0.448,0.459
"P07","Casi nunca",0.246,0.251,0.204,0.248
"P07","Nunca, pero esta es una excepción",0.058,0.109,0.05,0.075
"P09","Gran excedente habitual",0.007,0.007,0.024,0.02
"P09","Gran excedente excepcional",0.008,0.01,0.003,0.014
"P09","Pequeño excedente habitual",0.066,0.047,0.109,0.042
"P09","Pequeño excedente excepcional",0.111,0.137,0.172,0.149
"P09","Alcanza gastos familia",0.105,0.12,0.094,0.16
"P09","No alcanza gastos familia",0.051,0.062,0.073,0.128
"P09","Solo NBFamiliares",0.262,0.305,0.287,0.229
"P09","No alcanza NBFamiliares",0.388,0.309,0.23,0.258
"P09","No sabe",0.002,0.003,0.008,0
"P10","Tiene Decidido que va a ir a votar",0.917,0.9,0.917,0.844
"P10","Tiene dudas sobre si va a ir a  votar",0.063,0.09,0.071,0.107
"P10","Tiene Decidido que no va a ir a votar",0.02,0.01,0.012,0.049
"P13","Unión por la Patria",0.188,0.093,0.775,0.594
"P13","Juntos por el Cambio ",0.626,0.09,0.048,0.036
"P13","Liberales",0.106,0.588,0.045,0.02
"P13","Izquierda",0.019,0.031,0.044,0.068
"P13","Hacemos por Nuestro país",0.014,0.154,0.037,0.047
"P13","No sabe",0.047,0.044,0.051,0.235
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.207,0.136,0.767,0.605
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.701,0.169,0.075,0.047
"P18","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.057,0.648,0.083,0.043
"P18","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.011,0.017,0.014,0.014
"P18","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda",0.004,0.01,0.017,0.097
"P18","En blanco",0.009,0.012,0.027,0.083
"P18","No sabe",0.011,0.008,0.017,0.111
"P21","Totalmente seguro",0.722,0.663,0.782,0.576
"P21","Bastante seguro",0.148,0.173,0.082,0.118
"P21","Algo seguro",0.096,0.123,0.082,0.111
"P21","Para nada seguro",0.034,0.041,0.054,0.195
"P32","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.236,0.248,0.043,0.06
"P32","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.128,0.435,0.028,0.015
"P32","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.241,0.219,0.24,0.228
"P32","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.194,0.009,0.306,0.198
"P32","En blanco",0.157,0.061,0.306,0.138
"P32","No sabe",0.044,0.028,0.077,0.361
"P33","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.066,0.074,0.432,0.505
"P33","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.363,0.708,0.186,0.145
"P33","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.143,0.116,0.129,0.108
"P33","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.01,0,0.01,0.124
"P33","En blanco",0.259,0.044,0.216,0.022
"P33","No sabe",0.159,0.058,0.027,0.096
"P34","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.171,0.103,0.406,0.194
"P34","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.616,0.444,0.3,0.204
"P34","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.055,0.137,0.117,0.393
"P34","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.024,0.044,0,0.036
"P34","En blanco",0.079,0.213,0.168,0
"P34","No sabe",0.055,0.059,0.009,0.173
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.477,0.584,0.107,0.191
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.26,0.216,0.099,0.097
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.143,0.08,0.484,0.367
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.045,0.048,0.131,0.213
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.026,0.023,0.122,0.038
"P36","No sabe",0.049,0.049,0.057,0.094
