"var","categoria","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.","En blanco","No sabe"
"P06","Mucho",0.47,0.438,0.367,0.434,0.31,0.294
"P06","Bastante",0.365,0.386,0.388,0.265,0.354,0.49
"P06","Poco",0.151,0.144,0.229,0.235,0.336,0.169
"P06","Nada",0.014,0.025,0.016,0.066,0,0.025
"P06","No sabe",0,0.007,0,0,0,0.022
"P07","Siempre",0.259,0.226,0.338,0.236,0.079,0.322
"P07","Casi siempre",0.44,0.417,0.434,0.327,0.541,0.364
"P07","Casi nunca",0.252,0.28,0.136,0.425,0.297,0.255
"P07","Nunca, pero esta es una excepción",0.049,0.077,0.092,0.012,0.083,0.059
"P09","Gran excedente habitual",0.01,0.013,0.006,0.063,0,0.035
"P09","Gran excedente excepcional",0.004,0.012,0,0.005,0.013,0.005
"P09","Pequeño excedente habitual",0.063,0.056,0.01,0.022,0,0.027
"P09","Pequeño excedente excepcional",0.124,0.136,0.189,0.125,0.042,0.113
"P09","Alcanza gastos familia",0.136,0.136,0.055,0.137,0.059,0.011
"P09","No alcanza gastos familia",0.077,0.094,0.102,0.059,0,0.142
"P09","Solo NBFamiliares",0.288,0.231,0.204,0.377,0.658,0.196
"P09","No alcanza NBFamiliares",0.291,0.319,0.434,0.203,0.228,0.471
"P09","No sabe",0.007,0.003,0,0.009,0,0
"P10","Tiene Decidido que va a ir a votar",0.908,0.859,0.863,0.865,0.773,0.837
"P10","Tiene dudas sobre si va a ir a  votar",0.074,0.109,0.127,0.131,0.227,0.105
"P10","Tiene Decidido que no va a ir a votar",0.018,0.032,0.01,0.004,0,0.058
"P13","Unión por la Patria",0.503,0.076,0.016,0.504,0.228,0.196
"P13","Juntos por el Cambio ",0.204,0.465,0.156,0.05,0.109,0.242
"P13","Liberales",0.176,0.26,0.346,0.135,0.033,0.251
"P13","Izquierda",0.03,0.082,0.016,0.144,0.318,0.085
"P13","Hacemos por Nuestro país",0.026,0.034,0.371,0.04,0.029,0.063
"P13","No sabe",0.061,0.083,0.095,0.127,0.283,0.163
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.533,0.098,0.114,0.487,0.227,0.269
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.247,0.575,0.255,0.024,0.147,0.222
"P18","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.132,0.247,0.444,0.204,0.047,0.263
"P18","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.028,0.014,0,0.005,0,0.073
"P18","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda",0.029,0.023,0.038,0.144,0.305,0
"P18","En blanco",0.011,0.02,0.126,0.062,0.033,0.075
"P18","No sabe",0.02,0.023,0.023,0.074,0.241,0.098
"P21","Totalmente seguro",0.692,0.601,0.392,0.623,0.336,0.632
"P21","Bastante seguro",0.113,0.225,0.223,0.09,0.336,0.056
"P21","Algo seguro",0.146,0.117,0.234,0.091,0.04,0.077
"P21","Para nada seguro",0.049,0.057,0.151,0.196,0.288,0.235
"P32","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.093,0.18,0.267,0.082,0,0.049
"P32","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.11,0.329,0,0.018,0,0
"P32","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.266,0.089,0.491,0.215,0,0.465
"P32","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.236,0.198,0.047,0.475,1,0.226
"P32","En blanco",0.213,0.193,0.195,0.114,0,0.26
"P32","No sabe",0.082,0.011,0,0.096,0,0
"P33","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.084,0.071,0.304,0,0,0.036
"P33","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.465,0.46,0.283,0.324,0.543,0.376
"P33","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.265,0.123,0.192,0.305,0,0.204
"P33","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.019,0.025,0,0,0,0
"P33","En blanco",0.107,0.182,0.142,0.146,0.335,0.062
"P33","No sabe",0.06,0.139,0.079,0.225,0.122,0.322
"P34","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.29,0.154,0.046,0.502,0,0
"P34","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.444,0.556,0.246,0.02,1,0.443
