"var","categoria","Muy positivo","Positivo","Neutral","Algo negativo","Negativo","No sabe"
"P06","Mucho",0.664,0.449,0.476,0.422,0.539,0.429
"P06","Bastante",0.263,0.417,0.317,0.448,0.298,0.401
"P06","Poco",0.055,0.104,0.157,0.099,0.133,0.139
"P06","Nada",0.018,0.017,0.041,0.029,0.03,0.027
"P06","No sabe",0,0.013,0.009,0.002,0,0.004
"P07","Siempre",0.402,0.234,0.241,0.32,0.269,0.302
"P07","Casi siempre",0.418,0.499,0.438,0.43,0.43,0.503
"P07","Casi nunca",0.143,0.226,0.237,0.223,0.235,0.167
"P07","Nunca, pero esta es una excepción",0.037,0.041,0.084,0.027,0.066,0.028
"P09","Gran excedente habitual",0.025,0.016,0.011,0.008,0.026,0
"P09","Gran excedente excepcional",0.012,0.003,0.009,0,0.008,0
"P09","Pequeño excedente habitual",0.099,0.107,0.059,0.042,0.105,0.048
"P09","Pequeño excedente excepcional",0.274,0.087,0.164,0.212,0.147,0.146
"P09","Alcanza gastos familia",0.068,0.117,0.098,0.107,0.103,0.05
"P09","No alcanza gastos familia",0.062,0.12,0.062,0.025,0.059,0.109
"P09","Solo NBFamiliares",0.231,0.294,0.297,0.309,0.247,0.284
"P09","No alcanza NBFamiliares",0.228,0.251,0.293,0.297,0.305,0.361
"P09","No sabe",0.001,0.005,0.007,0,0,0.002
"P10","Tiene Decidido que va a ir a votar",0.94,0.862,0.883,0.848,0.964,0.917
"P10","Tiene dudas sobre si va a ir a  votar",0.056,0.095,0.09,0.15,0.028,0.077
"P10","Tiene Decidido que no va a ir a votar",0.004,0.043,0.027,0.002,0.008,0.006
"P13","Unión por la Patria",0.864,0.631,0.234,0.058,0.006,0.211
"P13","Juntos por el Cambio ",0.024,0.143,0.282,0.503,0.485,0.352
"P13","Liberales",0.046,0.101,0.273,0.31,0.374,0.137
"P13","Izquierda",0.024,0.063,0.037,0.023,0.02,0.021
"P13","Hacemos por Nuestro país",0.035,0.027,0.074,0.041,0.088,0.157
"P13","No sabe",0.007,0.035,0.1,0.065,0.027,0.122
"P18","Sergio Massa presidente, Agustín Rossi vicepresidente y Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.849,0.66,0.209,0.113,0.019,0.173
"P18","Patricia Bullrich presidenta, Luis Petri vicepresidente y Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.057,0.148,0.465,0.612,0.547,0.459
"P18","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.066,0.137,0.218,0.196,0.374,0.234
"P18","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro País",0.003,0.009,0.009,0,0.04,0.055
"P18","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González por el Frente de Izquierda",0.019,0.036,0.036,0.013,0.006,0.008
"P18","En blanco",0.005,0.004,0.035,0.045,0.007,0.06
"P18","No sabe",0.001,0.006,0.028,0.021,0.007,0.011
"P21","Totalmente seguro",0.829,0.682,0.637,0.721,0.785,0.569
"P21","Bastante seguro",0.052,0.229,0.124,0.082,0.119,0.188
"P21","Algo seguro",0.094,0.069,0.148,0.12,0.073,0.177
"P21","Para nada seguro",0.025,0.02,0.091,0.077,0.023,0.066
"P32","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.06,0.054,0.131,0.327,0.301,0.096
"P32","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.04,0.063,0.178,0.37,0.641,0.03
"P32","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.291,0.219,0.148,0.152,0.058,0.263
"P32","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.262,0.243,0.167,0.108,0,0.487
"P32","En blanco",0.259,0.277,0.189,0.012,0,0.094
"P32","No sabe",0.088,0.144,0.187,0.031,0,0.03
"P33","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.541,0.125,0.122,0.025,0.033,0.038
"P33","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza",0.27,0.409,0.362,0.448,0.368,0.319
"P33","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.078,0.204,0.215,0.16,0.11,0.074
"P33","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.079,0.013,0.003,0.021,0.022,0.024
"P33","En blanco",0.032,0.129,0.172,0.235,0.358,0.144
"P33","No sabe",0,0.12,0.126,0.111,0.109,0.401
"P34","Sergio Massa a presidente, Agustín Rossi a vicepresidente, Axel Kicillof a gobernador y Verónica Magario a vicegobernadora por Unión por la Patria",0.314,0.32,0.05,0.008,0.037,0.192
"P34","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio",0.259,0.187,0.623,0.432,0.312,0.469
"P34","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.394,0.245,0.095,0.32,0.283,0.018
"P34","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda",0.02,0,0.011,0,0.011,0
"P34","En blanco",0.013,0.218,0.072,0.202,0.29,0.272
"P34","No sabe",0,0.03,0.149,0.038,0.067,0.049
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.112,0.176,0.441,0.472,0.629,0.482
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.089,0.102,0.201,0.387,0.205,0.188
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.522,0.44,0.144,0.04,0.058,0.128
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.163,0.122,0.065,0.047,0.02,0.088
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.097,0.116,0.068,0.01,0.046,0.025
"P36","No sabe",0.017,0.044,0.081,0.044,0.042,0.089
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.839,0.672,0.297,0.104,0.026,0.269
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.031,0.17,0.524,0.741,0.717,0.531
"P37","En blanco",0.085,0.099,0.103,0.119,0.19,0.117
"P37","No sabe",0.045,0.059,0.076,0.036,0.067,0.083
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.146,0.209,0.382,0.615,0.532,0.465
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.096,0.132,0.297,0.308,0.393,0.226
"P38","En blanco",0.578,0.441,0.17,0.035,0.041,0.185
"P38","No sabe",0.18,0.218,0.151,0.042,0.034,0.124
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.833,0.666,0.284,0.145,0.072,0.366
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.079,0.176,0.397,0.525,0.649,0.35
"P39","En blanco",0.053,0.069,0.167,0.188,0.205,0.167
"P39","No sabe",0.035,0.089,0.152,0.142,0.074,0.117
"P45","Lo votaría",0.844,0.707,0.228,0.104,0.046,0.202
"P45","Puede que lo vote",0.046,0.055,0.146,0.083,0.158,0.11
"P45","Nunca lo votaría",0.083,0.208,0.565,0.784,0.792,0.649
"P45","No sabe",0.027,0.03,0.061,0.029,0.004,0.039
"P46","Lo votaría",0.087,0.182,0.39,0.537,0.577,0.309
"P46","Puede que lo vote",0.037,0.102,0.184,0.077,0.194,0.113
"P46","Nunca lo votaría",0.856,0.671,0.366,0.362,0.224,0.5
"P46","No sabe",0.02,0.045,0.06,0.024,0.005,0.078
"P47","Lo votaría",0.044,0.126,0.278,0.356,0.441,0.223
"P47","Puede que lo vote",0.045,0.104,0.205,0.146,0.18,0.172
"P47","Nunca lo votaría",0.887,0.734,0.441,0.428,0.329,0.538
"P47","No sabe",0.024,0.036,0.076,0.07,0.05,0.067
"P48","Lo votaría",0.186,0.136,0.124,0.129,0.045,0.047
"P48","Puede que lo vote",0.337,0.359,0.286,0.259,0.177,0.287
"P48","Nunca lo votaría",0.389,0.463,0.54,0.548,0.773,0.622
"P48","No sabe",0.088,0.042,0.05,0.064,0.005,0.044
"P49","Lo votaría",0.092,0.063,0.094,0.022,0.026,0.078
"P49","Puede que lo vote",0.188,0.324,0.265,0.314,0.256,0.207
"P49","Nunca lo votaría",0.647,0.537,0.544,0.572,0.67,0.624
"P49","No sabe",0.073,0.076,0.097,0.092,0.048,0.091
"P50","Si",0.311,0.459,0.521,0.438,0.431,0.571
"P50","No",0.689,0.541,0.479,0.562,0.569,0.429
"P51","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.503,0.5,0.242,0.228,0.135,0.312
"P51","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.075,0.085,0.172,0.227,0.278,0.198
"P51","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.302,0.244,0.426,0.472,0.503,0.266
"P51","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.1,0.128,0.049,0.04,0.029,0.208
"P51","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.01,0.009,0.053,0,0.025,0.016
"P51","En blanco",0.002,0.018,0.04,0.016,0.03,0
"P51","No sabe",0.008,0.016,0.018,0.017,0,0
"P52","Axel Kicillof gobernador, Verónica Magario vicegobernadora; por Unión por la Patria",0.673,0.544,0.427,0.398,0.305,0.481
"P52","Néstor Grindetti gobernador, Miguel Fernández vicegobernador; por Juntos por el Cambio",0.209,0.23,0.395,0.487,0.552,0.304
"P52","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.063,0.056,0.06,0.054,0.08,0.017
"P52","Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda.",0.039,0.101,0.039,0.035,0.003,0.192
"P52","En blanco",0,0.041,0.011,0.017,0.016,0.006
"P52","No sabe",0.016,0.028,0.068,0.009,0.044,0
"P53","Sergio Massa y Javier Milei",0.739,0.631,0.406,0.283,0.237,0.373
"P53","Patricia Bullrich y Javier Milei",0.171,0.217,0.529,0.622,0.686,0.581
"P53","Sergio Massa y Patricia Bullrich",0.09,0.152,0.065,0.095,0.077,0.046
"P54","Muy buena",0.06,0.059,0.051,0.039,0.038,0.034
"P54","Buena",0.171,0.139,0.109,0.057,0.048,0.006
"P54","Regular",0.443,0.389,0.128,0.045,0.004,0.119
"P54","Mala",0.22,0.189,0.275,0.209,0.195,0.398
"P54","Muy mala",0.106,0.224,0.437,0.65,0.715,0.443
"P55","Muy buena",0.128,0.086,0.031,0.024,0.003,0.061
"P55","Buena",0.313,0.263,0.065,0.018,0.007,0.083
"P55","Regular",0.387,0.292,0.15,0.074,0.016,0.08
"P55","Mala",0.089,0.157,0.213,0.224,0.107,0.25
"P55","Muy mala",0.083,0.202,0.541,0.66,0.867,0.526
"P56","Muy buena",0.298,0.163,0.063,0.058,0.076,0.054
"P56","Buena",0.41,0.379,0.173,0.094,0.132,0.129
"P56","Regular",0.202,0.265,0.447,0.457,0.332,0.415
"P56","Mala",0.057,0.121,0.179,0.225,0.265,0.28
"P56","Muy mala",0.033,0.072,0.138,0.166,0.195,0.122
"P57","Muy buena",0.09,0.071,0.04,0.013,0.032,0
"P57","Buena",0.366,0.258,0.165,0.098,0.094,0.07
"P57","Regular",0.361,0.434,0.434,0.537,0.47,0.518
"P57","Mala",0.137,0.175,0.237,0.216,0.226,0.3
"P57","Muy mala",0.046,0.062,0.124,0.136,0.178,0.112
"P58","Muy buena",0.191,0.07,0.059,0.008,0.031,0.003
"P58","Buena",0.327,0.318,0.106,0.08,0.04,0.116
"P58","Regular",0.314,0.348,0.343,0.286,0.244,0.348
"P58","Mala",0.093,0.164,0.279,0.384,0.346,0.306
"P58","Muy mala",0.075,0.1,0.213,0.242,0.339,0.227
"P59","Muy buena",0.261,0.138,0.066,0.076,0.079,0.017
"P59","Buena",0.432,0.387,0.242,0.099,0.206,0.175
"P59","Regular",0.24,0.341,0.458,0.48,0.406,0.545
"P59","Mala",0.046,0.096,0.134,0.26,0.184,0.191
"P59","Muy mala",0.021,0.038,0.1,0.085,0.125,0.072
"P60","Ha aumentado significativamente",0.213,0.08,0.031,0.033,0.037,0
"P60","Ha aumentado ligeramente",0.265,0.334,0.165,0.062,0.111,0.197
"P60","Se mantiene igual",0.29,0.299,0.33,0.283,0.252,0.268
"P60","Ha disminuido ligeramente",0.135,0.144,0.229,0.322,0.226,0.244
"P60","Ha disminuido significativamente",0.097,0.143,0.245,0.3,0.374,0.291
"P61","Muy baja",0.068,0.039,0.036,0.007,0.021,0.065
"P61","Baja",0.098,0.11,0.051,0.006,0.007,0.137
"P61","Moderada",0.133,0.137,0.095,0.069,0.049,0.035
"P61","Alta",0.443,0.303,0.191,0.214,0.08,0.225
"P61","Muy alta",0.258,0.411,0.627,0.704,0.843,0.538
"P62","Muy bajas",0.03,0.024,0.043,0.057,0.084,0.059
"P62","Bajas",0.101,0.073,0.104,0.126,0.136,0.06
"P62","Adecuadas",0.296,0.314,0.248,0.271,0.235,0.267
"P62","Altas",0.35,0.377,0.333,0.336,0.19,0.254
"P62","Muy altas",0.223,0.212,0.272,0.21,0.355,0.36
"P63","No, ninguna dificultad",0.38,0.389,0.236,0.185,0.259,0.229
"P63","Alguna dificultad ocasional",0.299,0.284,0.376,0.375,0.285,0.396
"P63","Sí, dificultades frecuentes",0.321,0.327,0.388,0.44,0.456,0.375
"P64","Sí, absolutamente",0.811,0.63,0.34,0.109,0.137,0.32
"P64","Sí, en cierta medida",0.159,0.3,0.381,0.331,0.272,0.352
"P64","No, en absoluto",0.03,0.07,0.279,0.56,0.591,0.328
"P65","Reducir la inflación",0.555,0.497,0.403,0.359,0.269,0.336
"P65","Implementar reformas fiscales",0.101,0.131,0.123,0.093,0.084,0.114
"P65","Establecer políticas de control de precios",0.26,0.176,0.081,0.14,0.104,0.173
"P65","Reducir el gasto público",0.011,0.112,0.311,0.351,0.532,0.332
"P65","Estimular la inversión extranjera",0.05,0.071,0.047,0.05,0.011,0.045
"P65","Aumentar los subsidios a los servicios públicos",0.023,0.013,0.035,0.007,0,0
"P66","Fomentar la competencia entre proveedores",0.289,0.197,0.371,0.45,0.511,0.295
"P66","Incrementar la inversión en infraestructura",0.156,0.192,0.219,0.289,0.22,0.19
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.239,0.263,0.113,0.084,0.038,0.125
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.316,0.348,0.297,0.177,0.231,0.39
"P67","Muy positiva",0.605,0.227,0.128,0.11,0.128,0.091
"P67","Positiva",0.175,0.406,0.211,0.087,0.093,0.194
"P67","Neutral",0.119,0.201,0.432,0.506,0.17,0.171
"P67","Algo negativa",0.044,0.096,0.074,0.166,0.128,0.059
"P67","Negativa",0.011,0.014,0.073,0.111,0.414,0.066
"P67","No sabe",0.046,0.056,0.082,0.02,0.067,0.419
"P68","Muy positivo",0.579,0.137,0.074,0.057,0.011,0.065
"P68","Positivo",0.195,0.498,0.135,0.11,0.076,0.117
"P68","Neutral",0.129,0.268,0.483,0.445,0.221,0.128
"P68","Algo negativo",0.032,0.028,0.107,0.198,0.12,0.081
"P68","Negativo",0.012,0.015,0.099,0.133,0.457,0.045
"P68","No sabe",0.053,0.054,0.102,0.057,0.115,0.564
"P69","Muy positivo",0.458,0.099,0.03,0.078,0.009,0.038
"P69","Positivo",0.176,0.371,0.074,0.095,0.052,0.106
"P69","Neutral",0.236,0.432,0.674,0.449,0.341,0.209
"P69","Algo negativo",0.032,0.02,0.08,0.178,0.107,0.09
"P69","Negativo",0.012,0.003,0.045,0.123,0.374,0.039
"P69","No sabe",0.086,0.075,0.097,0.077,0.117,0.518
"P70","Muy positiva",0.833,0.502,0.183,0.088,0.078,0.218
"P70","Positiva",0.098,0.362,0.227,0.267,0.061,0.263
