"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P05","Mucho",0.559,0.452,0.523,0.507,0.611,0.395,0.277
"P05","Bastante",0.301,0.3,0.263,0.341,0.228,0.13,0.247
"P05","Poco",0.126,0.173,0.138,0.127,0.161,0.07,0.363
"P05","Nada",0.012,0.055,0.062,0.025,0,0.405,0.103
"P05","No sabe",0.002,0.02,0.014,0,0,0,0.01
"P06","Siempre",0.168,0.184,0.227,0.08,0.077,0.17,0.051
"P06","Casi siempre",0.333,0.375,0.316,0.201,0.2,0.157,0.318
"P06","Casi nunca",0.333,0.3,0.306,0.47,0.418,0.579,0.261
"P06","Nunca, pero esta es una excepción",0.166,0.141,0.151,0.249,0.305,0.094,0.37
"P10","Unión por la Patria",0.672,0.093,0.431,0,0,0.13,0.099
"P10","Juntos por el Cambio",0.245,0.611,0.092,0,0.182,0.075,0.092
"P10","De los Liberales libertarios",0.034,0.214,0.354,0.158,0,0.096,0.041
"P10","De la Izquierda",0.013,0.023,0.029,0.765,0.063,0,0.025
"P10","Hacemos por nuestro país",0,0.022,0.062,0,0.425,0.026,0
"P10","En blanco",0.002,0.002,0.002,0,0.224,0.673,0.075
"P10","No sabe",0.034,0.035,0.03,0.077,0.106,0,0.668
"P16","Si",0.272,0.475,0.353,0.559,0.185,0.633,0.671
"P16","No",0.728,0.525,0.647,0.441,0.815,0.367,0.329
"P17","Sergio Massa a presidente por Unión por la Patria.",0.607,0.098,0.348,0.013,0.126,0.151,0.264
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0.244,0.578,0.161,0.106,0.652,0.435,0
"P17","Javier Milei a presidente por la Libertad Avanza",0.077,0.311,0.462,0.217,0.118,0,0.107
