"var","categoria","Sergio Massa a presidente por Unión por la Patria.","Patricia Bullrich a presidenta por Juntos por el Cambio","Javier Milei a presidente por la Libertad Avanza","Los candidatos a presidente de la Izquierda","Juan Schiaretti a presidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P05","Mucho",0.551,0.485,0.515,0.442,0.601,0.426,0.153
"P05","Bastante",0.285,0.297,0.267,0.438,0.188,0.119,0.312
"P05","Poco",0.128,0.142,0.171,0.083,0.211,0.11,0.425
"P05","Nada",0.034,0.053,0.035,0.037,0,0.345,0.096
"P05","No sabe",0.002,0.023,0.012,0,0,0,0.014
"P06","Siempre",0.138,0.227,0.234,0.007,0.055,0.271,0.059
"P06","Casi siempre",0.344,0.382,0.298,0.181,0.174,0.088,0.345
"P06","Casi nunca",0.362,0.266,0.298,0.545,0.404,0.641,0.145
"P06","Nunca, pero esta es una excepción",0.156,0.125,0.17,0.267,0.367,0,0.451
"P10","Unión por la Patria",0.71,0.104,0.327,0.016,0.208,0.37,0.009
"P10","Juntos por el Cambio",0.189,0.655,0.123,0,0.116,0.106,0.049
"P10","De los Liberales libertarios",0.046,0.143,0.416,0.19,0,0,0.01
"P10","De la Izquierda",0.015,0.029,0.044,0.668,0.086,0.037,0
"P10","Hacemos por nuestro país",0.001,0.03,0.063,0,0.165,0,0
"P10","En blanco",0.001,0.006,0.001,0.113,0.14,0.487,0.023
"P10","No sabe",0.038,0.033,0.026,0.013,0.285,0,0.909
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Moreira a intendente por Unión por la Patria.",0.869,0.1,0.024,0.009,0.261,0.02,0
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.025,0.821,0.127,0,0.049,0,0.008
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Hernán Sardella a intendente por la Libertad Avanza",0.083,0.057,0.82,0.011,0.01,0.211,0.02
"P13","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.001,0.009,0.014,0.859,0.012,0.038,0
"P13","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.001,0.007,0.002,0,0.482,0,0
"P13","En blanco",0.001,0.006,0,0,0,0.731,0
"P13","No sabe",0.02,0,0.013,0.121,0.186,0,0.972
"P16","Si",0.294,0.457,0.351,0.469,0.533,0.463,0.4
"P16","No",0.706,0.543,0.649,0.531,0.467,0.537,0.6
"P17","Sergio Massa a presidente por Unión por la Patria.",1,0,0,0,0,0,0
"P17","Patricia Bullrich a presidenta por Juntos por el Cambio",0,1,0,0,0,0,0
"P17","Javier Milei a presidente por la Libertad Avanza",0,0,1,0,0,0,0
"P17","Los candidatos a presidente de la Izquierda",0,0,0,1,0,0,0
"P17","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0,0,0,1,0,0
"P17","En blanco",0,0,0,0,0,1,0
"P17","No sabe",0,0,0,0,0,0,1
"P20","Axel Kicillof a gobernador por Unión por la Patria.",0.61,0.071,0.151,0.53,0.534,0.781,0.056
"P20","Néstor Grindetti a gobernador por Juntos por el Cambio",0.06,0.66,0.283,0.019,0.071,0,0
"P20","Carolina Piparo a gobernadora por la Libertad Avanza",0.226,0.183,0.476,0,0,0,0
"P20","El candidato a gobernador de la Izquierda",0.016,0.005,0.059,0.451,0.056,0.09,0
"P20","En blanco",0.049,0.005,0.027,0,0,0,0
"P20","No sabe",0.039,0.076,0.004,0,0.339,0.129,0.944
"P23","Fernando Moreira a intendente por Unión por la Patria.",0.49,0.166,0.221,0.636,0.112,0.331,0.042
"P23","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.131,0.664,0.522,0.314,0.112,0.135,0.156
"P23","Hernán Sardella a intendente por la Libertad Avanza",0.078,0.095,0.159,0,0.338,0,0
"P23","El candidato del Frente de Izquierda",0.128,0.032,0.039,0.05,0.1,0.091,0
"P23","En blanco",0.034,0.017,0.004,0,0,0,0
"P23","No sabe",0.139,0.026,0.055,0,0.338,0.443,0.802
"P26","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.254,0.554,0.475,0.307,0.201,0.303,0.104
"P26","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.202,0.189,0.262,0.157,0.321,0.109,0.253
"P26","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.352,0.164,0.182,0.212,0.156,0.266,0.188
"P26","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.107,0.027,0.052,0.151,0.065,0.152,0
"P26","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.029,0.009,0.014,0.073,0.045,0,0.127
"P26","No sabe",0.056,0.057,0.015,0.1,0.212,0.17,0.328
"P27","Totalmente seguro.",0.748,0.784,0.716,0.782,0.297,0.535,0.526
"P27","Bastante seguro",0.148,0.111,0.156,0.008,0.505,0,0.009
"P27","Algo seguro",0.064,0.08,0.102,0.21,0.154,0.237,0.049
"P27","Para nada seguro",0.04,0.025,0.026,0,0.044,0.228,0.416
"P28","Tiene Decidido que va a ir a votar.",0.94,0.939,0.914,0.78,1,0.577,0.273
"P28","Tiene dudas sobre si va a ir a  votar",0.054,0.028,0.044,0.172,0,0.293,0.641
"P28","Tiene Decidido que no va a ir a votar",0.006,0.033,0.042,0.048,0,0.13,0.086
"P29","No estaba enterado del tema",0.165,0.119,0.209,0.227,0.244,0.128,0.271
"P29","Un tema de la vida privada de él",0.167,0.042,0.102,0.217,0.079,0.056,0.019
"P29","Un hecho vergonzoso de exclusiva responsabilidad de él",0.458,0.199,0.32,0.33,0.216,0.437,0.033
"P29","Un hecho vergonzoso del cual también es responsable el gobernador Kicillof",0.12,0.257,0.166,0.028,0.336,0.215,0.231
"P29","Un hecho vergonzoso que muestran como son los dirigentes que apoyan a Sergio Massa",0.056,0.377,0.202,0.191,0.125,0.164,0.381
"P29","No sabe",0.034,0.006,0.001,0.007,0,0,0.065
"P30","Si",0.736,0.826,0.767,0.915,0.53,0.623,0.635
"P30","No",0.264,0.174,0.233,0.085,0.47,0.377,0.365
"P31","Sergio Massa",0.695,0.174,0.406,0.08,0.396,0.297,0.242
"P31","Patria Bullrich",0.151,0.502,0.17,0.014,0.189,0.288,0.085
"P31","Javier Milei",0.05,0.174,0.321,0.22,0.05,0.133,0.303
"P31","Myriam Bregman",0.085,0.039,0.059,0.437,0.094,0.053,0.167
"P31","Juan Schiaretti",0.019,0.111,0.044,0.249,0.271,0.229,0.203
"P32","Ha aumentado significativamente",0.174,0.034,0.114,0,0.503,0.074,0.04
"P32","Ha aumentado ligeramente",0.19,0.162,0.223,0.297,0.063,0,0.015
"P32","Se mantiene igual",0.309,0.218,0.251,0.331,0.209,0.4,0.198
"P32","Ha disminuido ligeramente",0.157,0.247,0.167,0.014,0.195,0.223,0.171
"P32","Ha disminuido significativamente",0.17,0.339,0.245,0.358,0.03,0.303,0.576
"P33","No, ninguna dificultad",0.434,0.157,0.293,0.295,0.688,0.316,0.114
"P33","Alguna dificultad ocasional",0.312,0.306,0.321,0.299,0.245,0,0.263
"P33","Sí, dificultades frecuentes",0.254,0.537,0.386,0.406,0.067,0.684,0.623
"P34","Sí, absolutamente",0.625,0.335,0.438,0.556,0.732,0.374,0.346
"P34","Sí, en cierta medida",0.29,0.327,0.364,0.17,0.253,0.322,0.277
"P34","No, en absoluto",0.085,0.338,0.198,0.274,0.015,0.304,0.377
"P35","Reducir la inflación",0.443,0.415,0.384,0.636,0.249,0.491,0.359
"P35","Implementar reformas fiscales",0.129,0.038,0.15,0.292,0.048,0.074,0.082
"P35","Establecer políticas de control de precios",0.27,0.052,0.138,0.017,0.067,0.276,0.033
"P35","Reducir el gasto público",0.097,0.441,0.313,0.041,0.443,0.159,0.488
"P35","Estimular la inversión extranjera",0.031,0.054,0.01,0,0.193,0,0
"P35","Aumentar los subsidios a los servicios públicos",0.03,0,0.005,0.014,0,0,0.038
"P36","Muy positiva",0.384,0.114,0.27,0.141,0,0.153,0.033
"P36","Positiva",0.245,0.116,0.199,0.189,0.015,0,0.039
"P36","Neutral",0.168,0.386,0.259,0.124,0.086,0.279,0.273
"P36","Algo negativa",0.048,0.138,0.112,0.017,0.313,0.312,0.151
"P36","Negativa",0.042,0.118,0.045,0.31,0.28,0.256,0.283
"P36","No sabe",0.113,0.128,0.115,0.219,0.306,0,0.221
"P37","Muy positiva",0.629,0.143,0.378,0.558,0.101,0.384,0.146
"P37","Positiva",0.179,0.194,0.202,0.056,0.506,0.348,0.137
"P37","Neutral",0.121,0.352,0.196,0.011,0.015,0.268,0.089
"P37","Algo negativa",0.027,0.171,0.085,0.356,0,0,0.166
"P37","Negativa",0.021,0.091,0.092,0.019,0.106,0,0.423
"P37","No sabe",0.023,0.049,0.047,0,0.272,0,0.039
"P38","Muy positiva",0.442,0.098,0.211,0.064,0,0.156,0.192
"P38","Positiva",0.266,0.084,0.196,0.315,0.139,0.289,0.255
"P38","Neutral",0.181,0.402,0.259,0.058,0.508,0.294,0.226
"P38","Algo negativa",0.025,0.101,0.107,0.232,0.081,0,0
"P38","Negativa",0.044,0.239,0.121,0.056,0.272,0.193,0.3
"P38","No sabe",0.042,0.076,0.106,0.275,0,0.068,0.027
"P39","Muy positiva",0.552,0.311,0.442,0.24,0.073,0.571,0.57
"P39","Positiva",0.218,0.138,0.243,0.29,0.229,0.361,0.073
"P39","Neutral",0.14,0.245,0.139,0.374,0.383,0,0.257
"P39","Algo negativa",0.038,0.184,0.075,0,0.023,0,0.043
"P39","Negativa",0.03,0.105,0.072,0.019,0.292,0,0.04
"P39","No sabe",0.022,0.017,0.029,0.077,0,0.068,0.017
"P40","Muy positiva",0.515,0.18,0.398,0.314,0,0.135,0.208
"P40","Positiva",0.187,0.249,0.207,0.031,0.237,0.459,0.207
"P40","Neutral",0.176,0.254,0.224,0.066,0.572,0.214,0.082
"P40","Algo negativa",0.034,0.206,0.045,0.361,0,0,0
"P40","Negativa",0.029,0.066,0.039,0.149,0.191,0.192,0.315
"P40","No sabe",0.059,0.045,0.087,0.079,0,0,0.188
"P41","Lo votaría",0.743,0.073,0.344,0.267,0.501,0.283,0.205
"P41","Puede que lo vote",0.061,0.046,0.086,0.343,0,0.152,0.162
"P41","Nunca lo votaría",0.185,0.85,0.541,0.29,0.476,0.565,0.407
"P41","No sabe",0.011,0.031,0.029,0.1,0.023,0,0.226
"P42","Lo votaría",0.193,0.635,0.158,0,0.404,0.239,0.074
"P42","Puede que lo vote",0.057,0.125,0.208,0.391,0.089,0,0.102
"P42","Nunca lo votaría",0.738,0.213,0.589,0.485,0.278,0.761,0.739
"P42","No sabe",0.012,0.027,0.045,0.124,0.229,0,0.085
"P43","Lo votaría",0.072,0.244,0.451,0.294,0.053,0.239,0.023
"P43","Puede que lo vote",0.045,0.22,0.139,0.025,0.208,0,0.023
"P43","Nunca lo votaría",0.877,0.488,0.4,0.681,0.508,0.761,0.869
"P43","No sabe",0.006,0.048,0.01,0,0.231,0,0.085
"P44","Si",0.436,0.376,0.479,0.078,0.039,0.146,0.203
"P44","No",0.564,0.624,0.521,0.922,0.961,0.854,0.797
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.888,0.031,0.051,0.22,0.272,0.306,0.02
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.018,0.857,0.094,0.01,0.033,0,0
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.064,0.072,0.827,0,0,0,0
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.005,0.003,0.02,0.77,0.028,0.037,0
"GOBERNADOR","En blanco",0.014,0.002,0.006,0,0.486,0.608,0
"GOBERNADOR","No sabe",0.011,0.035,0.002,0,0.181,0.049,0.98
"INTENDENTE","Fernando Moreira a intendente por Unión por la Patria.",0.857,0.074,0.071,0.309,0.051,0.097,0.01
"INTENDENTE","Mauricio D’Alessandro a intendente por Juntos por el Cambio",0.04,0.85,0.164,0.125,0.053,0.049,0.027
"INTENDENTE","Hernán Sardella a intendente por la Libertad Avanza",0.019,0.046,0.732,0,0.179,0,0
"INTENDENTE","El candidato del Frente de Izquierda",0.038,0.011,0.013,0.566,0.049,0.037,0
"INTENDENTE","En blanco",0.008,0.007,0.001,0,0.488,0.609,0
"INTENDENTE","No sabe",0.038,0.012,0.019,0,0.18,0.208,0.963
"CORTA_PRESIDENTE","Si",0.133,0.18,0.183,0.146,0.521,0.303,0.039
"CORTA_PRESIDENTE","No",0.867,0.82,0.817,0.854,0.479,0.697,0.961
"CORTA_GOBERNADOR","Si",0.161,0.28,0.185,0.239,0.073,0.421,0.093
"CORTA_GOBERNADOR","No",0.839,0.72,0.815,0.761,0.927,0.579,0.907
"CORTA_INTENDENTE","Si",0.19,0.267,0.224,0.437,0.301,0.421,0.241
"CORTA_INTENDENTE","No",0.81,0.733,0.776,0.563,0.699,0.579,0.759
