"var","categoria","Los inquilinos","Los propietarios","A ambos, propietarios e inquilinos","A ninguno","No sabe"
"P04","Horacio Rodríguez Larreta por Juntos por el Cambio",0.119,0.041,0.077,0.066,0.079
"P04","Patricia Bullrich por Juntos por el Cambio",0.174,0.22,0.328,0.207,0.211
"P04","Facundo Manes por Juntos por el Cambio",0.022,0.037,0.038,0.046,0.016
"P04","Alberto Fernández por el Frente de Todos",0.099,0.129,0.021,0.054,0.075
"P04","Sergio Massa por el Frente de Todos",0.084,0.079,0.08,0.072,0.101
"P04","Wado de Pedro por el Frente de Todos",0.171,0.189,0.085,0.097,0.084
"P04","Daniel Scioli por el Frente de Todos",0.058,0.04,0.069,0.056,0.068
"P04","Javier Milei por los liberales libertarios",0.173,0.205,0.216,0.286,0.127
"P04","Al candidato del Frente de Izquierda",0.018,0.012,0.015,0.008,0.042
"P04","No sabe",0.082,0.048,0.071,0.108,0.197
"P06","Si, es una vivienda alquilada",0.389,0.282,0.246,0.272,0.213
"P06","No, no es una vivienda alquilada",0.611,0.718,0.754,0.728,0.787
"P07","Mejor que la ley anterior",0.122,0.23,0.061,0.072,0.031
"P07","Igual que la ley anterior",0.151,0.449,0.168,0.2,0.129
"P07","Peor que la ley anterior",0.5,0.254,0.525,0.374,0.176
"P07","No sabe",0.227,0.067,0.246,0.354,0.664
"P08","Que el estado no hace cumplir la actual ley de alquiler",0.284,0.179,0.033,0.101,0.089
"P08","La ley actual no le brinda a los propietarios las garantías e incentivos para poner las viviendas en alquiler",0.19,0.538,0.312,0.138,0.137
"P08","Por ambas razones",0.36,0.247,0.546,0.38,0.195
"P08","No sabe",0.166,0.036,0.109,0.381,0.579
"P10","Si, se debería cobrar a las viviendas que no son habitadas por sus dueños o sus familiares y tampoco son puestas en alquiler",0.41,0.42,0.194,0.196,0.276
"P10","No, no se debería cobrar nada",0.529,0.561,0.629,0.645,0.437
"P10","No sabe",0.061,0.019,0.177,0.159,0.287
