"var","categoria","Mejor que la ley anterior","Igual que la ley anterior","Peor que la ley anterior","No sabe"
"P04","Horacio Rodríguez Larreta por Juntos por el Cambio",0.068,0.073,0.081,0.083
"P04","Patricia Bullrich por Juntos por el Cambio",0.155,0.165,0.318,0.184
"P04","Facundo Manes por Juntos por el Cambio",0.058,0.033,0.027,0.026
"P04","Alberto Fernández por el Frente de Todos",0.112,0.094,0.025,0.102
"P04","Sergio Massa por el Frente de Todos",0.154,0.11,0.067,0.068
"P04","Wado de Pedro por el Frente de Todos",0.237,0.133,0.075,0.125
"P04","Daniel Scioli por el Frente de Todos",0.043,0.061,0.064,0.074
"P04","Javier Milei por los liberales libertarios",0.106,0.232,0.244,0.122
"P04","Al candidato del Frente de Izquierda",0.018,0.026,0.015,0.035
"P04","No sabe",0.049,0.073,0.084,0.181
"P06","Si, es una vivienda alquilada",0.666,0.169,0.325,0.176
"P06","No, no es una vivienda alquilada",0.334,0.831,0.675,0.824
"P08","Que el estado no hace cumplir la actual ley de alquiler",0.383,0.133,0.095,0.109
"P08","La ley actual no le brinda a los propietarios las garantías e incentivos para poner las viviendas en alquiler",0.218,0.333,0.303,0.109
"P08","Por ambas razones",0.26,0.318,0.481,0.273
"P08","No sabe",0.139,0.216,0.121,0.509
"P09","Los inquilinos",0.341,0.194,0.298,0.162
"P09","Los propietarios",0.217,0.196,0.051,0.016
"P09","A ambos, propietarios e inquilinos",0.213,0.27,0.39,0.219
"P09","A ninguno",0.154,0.197,0.171,0.194
"P09","No sabe",0.075,0.143,0.09,0.409
"P10","Si, se debería cobrar a las viviendas que no son habitadas por sus dueños o sus familiares y tampoco son puestas en alquiler",0.508,0.304,0.211,0.296
"P10","No, no se debería cobrar nada",0.39,0.551,0.674,0.48
"P10","No sabe",0.102,0.145,0.115,0.224
