clave	texto
encuesta_especial	Posicionamiento Político y Preferencias Electorales. Elecciones presidenciales y a Jefe de Gobierno - CABA Junio 2023
bajada_encuesta_especial	Encuesta Sincrónica
bajada_encuesta_especial_fecha	28/06/2023
ficha_Población objeto de estudio	Población mayor de 16 años.
ficha_Unidad de muestreo	Télefonos celulares de empresas Personal, Movistar y Claro, complementados con un 13% de teléfonos fijos para optimizar cobertura geográfica.
ficha_Ámbito	Ciudad Autónoma de Buenos Aires
ficha_Estratificación	Muestreo aleatorio estratificado por edad y nivel educativo para CABA.
ficha_Técnicas de recolección de información	ES - Encuesta Sincrónica (IVR) a teléfonos móviles y fijos
ficha_Diseño muestral	Tamaño muestral
ficha_Tamaño muestral	La captura de datos se llevó a cabo del ASDASDASDASDASDASD abarcando 1.032 casos efectivos.
ficha_Calibración de la muestra	En función de datos paramétricos censales de sexo, edad y nivel educativo.
ficha_Margen de error	+/- 999999999999999 %
