"var","categoria","Si, es una vivienda alquilada","No, no es una vivienda alquilada"
"P04","Horacio Rodríguez Larreta por Juntos por el Cambio",0.098,0.074
"P04","Patricia Bullrich por Juntos por el Cambio",0.187,0.25
"P04","Facundo Manes por Juntos por el Cambio",0.032,0.036
"P04","Alberto Fernández por el Frente de Todos",0.071,0.082
"P04","Sergio Massa por el Frente de Todos",0.054,0.079
"P04","Wado de Pedro por el Frente de Todos",0.11,0.092
"P04","Daniel Scioli por el Frente de Todos",0.062,0.064
"P04","Javier Milei por los liberales libertarios",0.227,0.192
"P04","Al candidato del Frente de Izquierda",0.037,0.024
"P04","No sabe",0.122,0.107
"P07","Mejor que la ley anterior",0.189,0.047
"P07","Igual que la ley anterior",0.121,0.206
"P07","Peor que la ley anterior",0.481,0.371
"P07","No sabe",0.209,0.376
"P08","Que el estado no hace cumplir la actual ley de alquiler",0.168,0.101
"P08","La ley actual no le brinda a los propietarios las garantías e incentivos para poner las viviendas en alquiler",0.185,0.253
"P08","Por ambas razones",0.464,0.345
"P08","No sabe",0.183,0.301
"P09","Los inquilinos",0.336,0.202
"P09","Los propietarios",0.086,0.093
"P09","A ambos, propietarios e inquilinos",0.275,0.319
"P09","A ninguno",0.173,0.183
"P09","No sabe",0.13,0.203
"P10","Si, se debería cobrar a las viviendas que no son habitadas por sus dueños o sus familiares y tampoco son puestas en alquiler",0.373,0.282
"P10","No, no se debería cobrar nada",0.468,0.557
"P10","No sabe",0.159,0.161
