"var","categoria","Que el estado no hace cumplir la actual ley de alquiler","La ley actual no le brinda a los propietarios las garantías e incentivos para poner las viviendas en alquiler","Por ambas razones","No sabe"
"P04","Horacio Rodríguez Larreta por Juntos por el Cambio",0.073,0.103,0.085,0.08
"P04","Patricia Bullrich por Juntos por el Cambio",0.147,0.324,0.248,0.199
"P04","Facundo Manes por Juntos por el Cambio",0.016,0.045,0.048,0.013
"P04","Alberto Fernández por el Frente de Todos",0.094,0.05,0.069,0.11
"P04","Sergio Massa por el Frente de Todos",0.059,0.055,0.073,0.09
"P04","Wado de Pedro por el Frente de Todos",0.188,0.064,0.075,0.114
"P04","Daniel Scioli por el Frente de Todos",0.054,0.044,0.071,0.054
"P04","Javier Milei por los liberales libertarios",0.199,0.258,0.215,0.146
"P04","Al candidato del Frente de Izquierda",0.027,0.006,0.029,0.03
"P04","No sabe",0.143,0.051,0.087,0.164
"P06","Si, es una vivienda alquilada",0.433,0.251,0.383,0.22
"P06","No, no es una vivienda alquilada",0.567,0.749,0.617,0.78
"P07","Mejor que la ley anterior",0.245,0.071,0.073,0.063
"P07","Igual que la ley anterior",0.219,0.251,0.172,0.119
"P07","Peor que la ley anterior",0.312,0.517,0.547,0.161
"P07","No sabe",0.224,0.161,0.208,0.657
"P09","Los inquilinos",0.56,0.239,0.218,0.145
"P09","Los propietarios",0.117,0.197,0.06,0.025
"P09","A ambos, propietarios e inquilinos",0.125,0.341,0.447,0.141
"P09","A ninguno",0.112,0.116,0.17,0.286
"P09","No sabe",0.086,0.107,0.105,0.403
"P10","Si, se debería cobrar a las viviendas que no son habitadas por sus dueños o sus familiares y tampoco son puestas en alquiler",0.517,0.212,0.284,0.349
"P10","No, no se debería cobrar nada",0.376,0.717,0.556,0.383
"P10","No sabe",0.107,0.071,0.16,0.268
