"var","categoria","Los inquilinos","Los propietarios","A ambos, propietarios e inquilinos","A ninguno","No sabe"
"P04","Horacio Rodríguez Larreta por Juntos por el Cambio",0.102,0.061,0.086,0.08,0.095
"P04","Patricia Bullrich por Juntos por el Cambio",0.206,0.183,0.314,0.225,0.237
"P04","Facundo Manes por Juntos por el Cambio",0.029,0.042,0.049,0.028,0.019
"P04","Alberto Fernández por el Frente de Todos",0.118,0.062,0.046,0.065,0.079
"P04","Sergio Massa por el Frente de Todos",0.084,0.071,0.067,0.057,0.082
"P04","Wado de Pedro por el Frente de Todos",0.142,0.165,0.051,0.108,0.077
"P04","Daniel Scioli por el Frente de Todos",0.058,0.07,0.05,0.044,0.07
"P04","Javier Milei por los liberales libertarios",0.163,0.259,0.219,0.265,0.133
"P04","Al candidato del Frente de Izquierda",0.029,0.023,0.015,0.031,0.034
"P04","No sabe",0.069,0.064,0.103,0.097,0.174
"P06","Si, es una vivienda alquilada",0.438,0.303,0.288,0.308,0.232
"P06","No, no es una vivienda alquilada",0.562,0.697,0.712,0.692,0.768
"P07","Mejor que la ley anterior",0.124,0.209,0.059,0.121,0.039
"P07","Igual que la ley anterior",0.183,0.361,0.16,0.195,0.119
"P07","Peor que la ley anterior",0.489,0.317,0.527,0.336,0.217
"P07","No sabe",0.204,0.113,0.254,0.348,0.625
"P08","Que el estado no hace cumplir la actual ley de alquiler",0.272,0.154,0.049,0.074,0.057
"P08","La ley actual no le brinda a los propietarios las garantías e incentivos para poner las viviendas en alquiler",0.23,0.514,0.264,0.152,0.14
"P08","Por ambas razones",0.346,0.259,0.568,0.366,0.226
"P08","No sabe",0.152,0.073,0.119,0.408,0.577
"P10","Si, se debería cobrar a las viviendas que no son habitadas por sus dueños o sus familiares y tampoco son puestas en alquiler",0.489,0.354,0.192,0.277,0.28
"P10","No, no se debería cobrar nada",0.426,0.602,0.597,0.597,0.451
"P10","No sabe",0.085,0.044,0.211,0.126,0.269
