"var","categoria","En un banco","En una financiera","En una fintech","En una red de finanzas colaborativas","Otro"
"P02","Masculino",0.501,0.38,0.394,0.203,0.402
"P02","Femenino",0.447,0.544,0.415,0.559,0.496
"P02","No binario",0.052,0.076,0.191,0.238,0.102
"P03","Soltero o soltera",0.368,0.381,0.356,0.145,0.355
"P03","Casado o casada",0.42,0.396,0.453,0.439,0.384
"P03","En concubinato",0.212,0.223,0.191,0.416,0.261
"P04","No tengo hijos",0.27,0.156,0.129,0.015,0.311
"P04","Tengo 1 hijo",0.195,0.268,0.23,0.052,0.17
"P04","Tengo 2 hijos",0.272,0.222,0.302,0.157,0.215
"P04","Tengo 3 o más hijos",0.263,0.354,0.339,0.776,0.304
"P06","Tengo trabajo estable",0.6,0.351,0.389,0.186,0.367
"P06","Realizo changas o trabajos de vez en cuando",0.107,0.276,0.074,0.187,0.198
"P06","No tengo trabajo",0.155,0.223,0.371,0.279,0.149
"P06","Soy jubilado o pensionado",0.138,0.15,0.166,0.348,0.286
"P07","Si, tengo un emprendimiento",0.321,0.169,0.198,0.155,0.252
"P07","No, no tengo ningún emprendimiento",0.679,0.831,0.802,0.845,0.748
"P08","Hasta $70.000",0.295,0.494,0.439,0.535,0.517
"P08","De $70.000 a $140.000",0.245,0.24,0.252,0.161,0.217
"P08","De $140.000 a $210.000",0.168,0.164,0.188,0.064,0.091
"P08","De $210.000 a $280.000",0.088,0.038,0.105,0,0.046
"P08","De $280.000 a $350.000",0.089,0.037,0,0.052,0.04
"P08","De $350.000 a $420.000",0.029,0.007,0,0,0.029
"P08","De $420.000 a $490.000",0.014,0,0,0,0.004
"P08","Más de $490.000",0.072,0.02,0.016,0.188,0.056
"P12","De $25.000 a $300.000",0.553,0.668,0.731,0.518,0.581
"P12","De $300.000 a $500.000",0.135,0.143,0.103,0.07,0.126
"P12","De $500.000 a $800.000",0.072,0.047,0.061,0.069,0.051
"P12","De $800.000 a $1.500.000",0.082,0.065,0.041,0.161,0.03
"P12","De $1.500.000 a $3.000.000",0.079,0.028,0.064,0.07,0.143
"P12","De $3.000.000 a $5.000.000",0.037,0.018,0,0,0.012
"P12","Más de $5.000.000",0.042,0.031,0,0.112,0.057
"P13","No, no tuve ningún problema",0.806,0.614,0.608,0.585,0.704
"P13","Si, tuve scoring insuficiente",0.081,0.161,0.142,0.075,0.09
"P13","Si, porque estaba en el veraz",0.026,0.036,0.121,0,0.093
"P13","Si, porque la tasa de interés era muy alta",0.053,0.105,0.019,0.05,0.026
"P13","Si, porque no cumplía con la documentación solicitada",0.014,0.03,0.071,0.163,0.037
"P13","Otro problema",0.02,0.054,0.039,0.127,0.05
"P14","No, no sentí ningún trato diferencial",0.896,0.775,0.701,0.646,0.774
"P14","Si, sentí desconfianza",0.038,0.116,0.101,0.104,0.082
"P14","Si, sentí que hubo maltrato",0.012,0.014,0.116,0,0.032
"P14","Si, sentí que hubo una mala atención",0.027,0.029,0,0.045,0.009
"P14","Si, sentí que me subestimaron",0.016,0.04,0.082,0.1,0.009
"P14","Otro problema",0.011,0.026,0,0.105,0.094
"P15","Si",0.883,0.774,0.689,0.602,0.794
"P15","No",0.117,0.226,0.311,0.398,0.206
"P16","Si",0.412,0.288,0.41,1,0.263
"P16","No",0.588,0.712,0.59,0,0.737
"P17","Si, recibí apoyo financiero",0.116,0.114,0.419,0,0.043
"P17","No, nunca recibí apoyo financiero",0.884,0.886,0.581,1,0.957
"P18","Menos de $1.500.000",0.417,0.105,0.593,0,0.381
"P18","de $1.500.000 a $3.000.000",0.315,0.36,0,0,0.483
"P18","de $3.000.000 a $5.000.000",0.106,0.127,0,0,0.033
"P18","Más de $5.000.000",0.162,0.408,0.407,1,0.103
