"var","categoria","Menos de $1.500.000","de $1.500.000 a $3.000.000","de $3.000.000 a $5.000.000","Más de $5.000.000"
"P02","Masculino",0.375,0.456,0.646,0.567
"P02","Femenino",0.581,0.451,0.288,0.332
"P02","No binario",0.044,0.093,0.066,0.101
"P03","Soltero o soltera",0.472,0.335,0.316,0.198
"P03","Casado o casada",0.345,0.414,0.47,0.523
"P03","En concubinato",0.183,0.251,0.214,0.279
"P04","No tengo hijos",0.318,0.281,0.108,0.211
"P04","Tengo 1 hijo",0.222,0.24,0.214,0.206
"P04","Tengo 2 hijos",0.21,0.206,0.378,0.285
"P04","Tengo 3 o más hijos",0.25,0.273,0.3,0.298
"P06","Tengo trabajo estable",0.492,0.602,0.686,0.668
"P06","Realizo changas o trabajos de vez en cuando",0.249,0.125,0.078,0.149
"P06","No tengo trabajo",0.14,0.152,0.103,0.065
"P06","Soy jubilado o pensionado",0.119,0.121,0.133,0.118
"P08","Hasta $70.000",0.48,0.343,0.121,0.201
"P08","De $70.000 a $140.000",0.256,0.223,0.27,0.132
"P08","De $140.000 a $210.000",0.131,0.174,0.228,0.118
"P08","De $210.000 a $280.000",0.039,0.111,0.135,0.101
"P08","De $280.000 a $350.000",0.042,0.077,0.088,0.063
"P08","De $350.000 a $420.000",0.013,0.021,0.051,0.055
"P08","De $420.000 a $490.000",0.008,0.003,0.02,0.064
"P08","Más de $490.000",0.031,0.048,0.087,0.266
"P09","Si, solicité",0.262,0.301,0.266,0.286
"P09","No, no solicité",0.738,0.699,0.734,0.714
"P10","No necesité un préstamo",0.281,0.172,0.156,0.282
"P10","Ya sabía que no cumplia las condiciones",0.242,0.342,0.194,0.198
"P10","Porque la tasa de interés es muy alta",0.325,0.397,0.511,0.384
"P10","Es un proceso engorroso con mucha burocrácia",0.082,0.049,0.086,0.051
"P10","Otro motivo",0.07,0.04,0.053,0.085
"P11","En un banco",0.791,0.671,0.838,0.699
"P11","En una financiera",0.019,0.074,0.097,0.17
"P11","En una fintech",0.01,0,0,0.015
"P11","En una red de finanzas colaborativas",0,0,0,0.006
"P11","Otro",0.18,0.255,0.065,0.11
"P12","De $25.000 a $300.000",0.642,0.441,0.247,0.149
"P12","De $300.000 a $500.000",0.134,0.217,0.107,0.085
"P12","De $500.000 a $800.000",0.092,0.055,0.026,0.099
"P12","De $800.000 a $1.500.000",0.021,0.102,0.318,0.101
"P12","De $1.500.000 a $3.000.000",0.092,0.132,0.266,0.139
"P12","De $3.000.000 a $5.000.000",0.019,0.009,0.02,0.044
"P12","Más de $5.000.000",0,0.044,0.016,0.383
"P13","No, no tuve ningún problema",0.893,0.847,0.621,0.649
"P13","Si, tuve scoring insuficiente",0.02,0.094,0.071,0.16
"P13","Si, porque estaba en el veraz",0.052,0.03,0.015,0.027
"P13","Si, porque la tasa de interés era muy alta",0.004,0.026,0.222,0.066
"P13","Si, porque no cumplía con la documentación solicitada",0.017,0,0.054,0
"P13","Otro problema",0.014,0.003,0.017,0.098
"P14","No, no sentí ningún trato diferencial",0.943,0.825,0.977,0.77
"P14","Si, sentí desconfianza",0.015,0.168,0,0.025
"P14","Si, sentí que hubo maltrato",0.002,0.002,0,0
"P14","Si, sentí que hubo una mala atención",0.04,0,0.016,0.099
"P14","Si, sentí que me subestimaron",0,0.002,0.007,0.1
"P14","Otro problema",0,0.003,0,0.006
"P15","Si",0.915,0.856,0.921,0.971
"P15","No",0.085,0.144,0.079,0.029
"P16","Si",0.317,0.317,0.321,0.379
"P16","No",0.683,0.683,0.679,0.621
"P17","Si, recibí apoyo financiero",0.089,0.035,0.073,0.1
"P17","No, nunca recibí apoyo financiero",0.911,0.965,0.927,0.9
