"var","categoria","De $25.000 a $300.000","De $300.000 a $500.000","De $500.000 a $800.000","De $800.000 a $1.500.000","De $1.500.000 a $3.000.000","De $3.000.000 a $5.000.000","Más de $5.000.000"
"P02","Masculino",0.418,0.516,0.443,0.432,0.591,0.708,0.56
"P02","Femenino",0.517,0.45,0.374,0.522,0.372,0.261,0.17
"P02","No binario",0.065,0.034,0.183,0.046,0.037,0.031,0.27
"P03","Soltero o soltera",0.424,0.276,0.2,0.189,0.328,0.629,0.238
"P03","Casado o casada",0.388,0.44,0.432,0.478,0.445,0.291,0.537
"P03","En concubinato",0.188,0.284,0.368,0.333,0.227,0.08,0.225
"P04","No tengo hijos",0.259,0.226,0.148,0.08,0.321,0.333,0.274
"P04","Tengo 1 hijo",0.186,0.229,0.183,0.286,0.187,0.297,0.083
"P04","Tengo 2 hijos",0.232,0.294,0.361,0.34,0.252,0.136,0.278
"P04","Tengo 3 o más hijos",0.323,0.251,0.308,0.294,0.24,0.234,0.365
"P06","Tengo trabajo estable",0.463,0.518,0.489,0.688,0.677,0.731,0.629
"P06","Realizo changas o trabajos de vez en cuando",0.163,0.137,0.204,0.062,0.188,0.046,0.066
"P06","No tengo trabajo",0.179,0.167,0.09,0.057,0.061,0.2,0.182
"P06","Soy jubilado o pensionado",0.195,0.178,0.217,0.193,0.074,0.023,0.123
"P07","Si, tengo un emprendimiento",0.232,0.332,0.402,0.341,0.425,0.308,0.561
"P07","No, no tengo ningún emprendimiento",0.768,0.668,0.598,0.659,0.575,0.692,0.439
"P08","Hasta $70.000",0.449,0.284,0.248,0.133,0.311,0.21,0.272
"P08","De $70.000 a $140.000",0.302,0.234,0.196,0.134,0.161,0.291,0.043
"P08","De $140.000 a $210.000",0.134,0.212,0.159,0.189,0.119,0.214,0.064
"P08","De $210.000 a $280.000",0.041,0.104,0.144,0.106,0.112,0.029,0.116
"P08","De $280.000 a $350.000",0.038,0.09,0.097,0.216,0.12,0.091,0.063
"P08","De $350.000 a $420.000",0.009,0.007,0.017,0.116,0.014,0.016,0.006
"P08","De $420.000 a $490.000",0.006,0.007,0.01,0.029,0.01,0.071,0.024
"P08","Más de $490.000",0.021,0.062,0.129,0.077,0.153,0.078,0.412
"P11","En un banco",0.665,0.696,0.757,0.797,0.632,0.857,0.655
"P11","En una financiera",0.12,0.11,0.074,0.094,0.034,0.065,0.073
"P11","En una fintech",0.011,0.007,0.008,0.005,0.006,0,0
"P11","En una red de finanzas colaborativas",0.009,0.005,0.01,0.022,0.008,0,0.024
"P11","Otro",0.195,0.182,0.151,0.082,0.32,0.078,0.248
"P13","No, no tuve ningún problema",0.83,0.697,0.599,0.735,0.676,0.697,0.591
"P13","Si, tuve scoring insuficiente",0.08,0.18,0.064,0.077,0.125,0,0.031
"P13","Si, porque estaba en el veraz",0.036,0.059,0.155,0.008,0.017,0,0.002
"P13","Si, porque la tasa de interés era muy alta",0.023,0.027,0.168,0.147,0.057,0.245,0.042
"P13","Si, porque no cumplía con la documentación solicitada",0.003,0.016,0,0.028,0.106,0.019,0.145
"P13","Otro problema",0.028,0.021,0.014,0.005,0.019,0.039,0.189
"P14","No, no sentí ningún trato diferencial",0.873,0.849,0.875,0.866,0.927,0.798,0.549
"P14","Si, sentí desconfianza",0.062,0.062,0.018,0.044,0.021,0,0.118
"P14","Si, sentí que hubo maltrato",0.005,0.013,0.015,0.008,0,0.179,0.118
"P14","Si, sentí que hubo una mala atención",0.015,0.018,0,0.052,0.023,0,0.153
"P14","Si, sentí que me subestimaron",0.019,0,0.081,0.021,0,0,0.017
"P14","Otro problema",0.026,0.058,0.011,0.009,0.029,0.023,0.045
"P15","Si",0.864,0.858,0.832,0.853,0.822,0.779,0.78
"P15","No",0.136,0.142,0.168,0.147,0.178,0.221,0.22
"P16","Si",0.335,0.35,0.356,0.528,0.432,0.184,0.463
"P16","No",0.665,0.65,0.644,0.472,0.568,0.816,0.537
"P17","Si, recibí apoyo financiero",0.146,0.032,0.195,0.132,0.024,0,0.042
"P17","No, nunca recibí apoyo financiero",0.854,0.968,0.805,0.868,0.976,1,0.958
"P18","Menos de $1.500.000",0.554,0.344,0.483,0.089,0.274,0.374,0
"P18","de $1.500.000 a $3.000.000",0.339,0.494,0.256,0.392,0.353,0.156,0.188
"P18","de $3.000.000 a $5.000.000",0.051,0.066,0.033,0.328,0.191,0.092,0.018
"P18","Más de $5.000.000",0.056,0.096,0.228,0.191,0.182,0.378,0.794
