"var","categoria","Soltero o soltera","Casado o casada","En concubinato"
"P02","Masculino",0.491,0.421,0.45
"P02","Femenino",0.461,0.545,0.411
"P02","No binario",0.048,0.034,0.139
"P04","No tengo hijos",0.563,0.111,0.214
"P04","Tengo 1 hijo",0.166,0.242,0.238
"P04","Tengo 2 hijos",0.144,0.332,0.276
"P04","Tengo 3 o más hijos",0.127,0.315,0.272
"P06","Tengo trabajo estable",0.427,0.436,0.46
"P06","Realizo changas o trabajos de vez en cuando",0.242,0.154,0.215
"P06","No tengo trabajo",0.244,0.161,0.211
"P06","Soy jubilado o pensionado",0.087,0.249,0.114
"P07","Si, tengo un emprendimiento",0.236,0.272,0.29
"P07","No, no tengo ningún emprendimiento",0.764,0.728,0.71
"P08","Hasta $70.000",0.488,0.33,0.381
"P08","De $70.000 a $140.000",0.258,0.29,0.227
"P08","De $140.000 a $210.000",0.11,0.143,0.164
"P08","De $210.000 a $280.000",0.054,0.076,0.076
"P08","De $280.000 a $350.000",0.039,0.059,0.054
"P08","De $350.000 a $420.000",0.019,0.034,0.032
"P08","De $420.000 a $490.000",0.004,0.016,0.008
"P08","Más de $490.000",0.028,0.052,0.058
"P09","Si, solicité",0.274,0.321,0.273
"P09","No, no solicité",0.726,0.679,0.727
"P10","No necesité un préstamo",0.273,0.248,0.247
"P10","Ya sabía que no cumplia las condiciones",0.333,0.281,0.284
"P10","Porque la tasa de interés es muy alta",0.238,0.347,0.312
"P10","Es un proceso engorroso con mucha burocrácia",0.053,0.047,0.054
"P10","Otro motivo",0.103,0.077,0.103
"P11","En un banco",0.678,0.687,0.633
"P11","En una financiera",0.105,0.097,0.1
"P11","En una fintech",0.008,0.01,0.007
"P11","En una red de finanzas colaborativas",0.004,0.01,0.017
"P11","Otro",0.205,0.196,0.243
"P12","De $25.000 a $300.000",0.668,0.537,0.479
"P12","De $300.000 a $500.000",0.102,0.142,0.169
"P12","De $500.000 a $800.000",0.036,0.068,0.107
"P12","De $800.000 a $1.500.000",0.037,0.083,0.105
"P12","De $1.500.000 a $3.000.000",0.077,0.092,0.086
"P12","De $3.000.000 a $5.000.000",0.051,0.021,0.01
"P12","Más de $5.000.000",0.029,0.057,0.044
"P13","No, no tuve ningún problema",0.795,0.774,0.691
"P13","Si, tuve scoring insuficiente",0.051,0.098,0.144
"P13","Si, porque estaba en el veraz",0.053,0.027,0.047
"P13","Si, porque la tasa de interés era muy alta",0.041,0.048,0.078
"P13","Si, porque no cumplía con la documentación solicitada",0.011,0.032,0.021
"P13","Otro problema",0.049,0.021,0.019
"P14","No, no sentí ningún trato diferencial",0.87,0.854,0.842
"P14","Si, sentí desconfianza",0.029,0.062,0.085
"P14","Si, sentí que hubo maltrato",0.02,0.019,0.005
"P14","Si, sentí que hubo una mala atención",0.036,0.021,0.01
"P14","Si, sentí que me subestimaron",0.01,0.012,0.044
"P14","Otro problema",0.035,0.032,0.014
"P15","Si",0.882,0.866,0.772
"P15","No",0.118,0.134,0.228
"P16","Si",0.354,0.321,0.324
"P16","No",0.646,0.679,0.676
"P17","Si, recibí apoyo financiero",0.087,0.061,0.093
"P17","No, nunca recibí apoyo financiero",0.913,0.939,0.907
"P18","Menos de $1.500.000",0.535,0.344,0.336
"P18","de $1.500.000 a $3.000.000",0.269,0.293,0.326
"P18","de $3.000.000 a $5.000.000",0.091,0.119,0.099
"P18","Más de $5.000.000",0.105,0.244,0.239
