"var","categoria","Si, recibí apoyo financiero","No, nunca recibí apoyo financiero"
"P02","Masculino",0.41,0.472
"P02","Femenino",0.374,0.472
"P02","No binario",0.216,0.056
"P03","Soltero o soltera",0.415,0.364
"P03","Casado o casada",0.325,0.424
"P03","En concubinato",0.26,0.212
"P04","No tengo hijos",0.407,0.254
"P04","Tengo 1 hijo",0.128,0.237
"P04","Tengo 2 hijos",0.138,0.254
"P04","Tengo 3 o más hijos",0.327,0.255
"P06","Tengo trabajo estable",0.576,0.581
"P06","Realizo changas o trabajos de vez en cuando",0.161,0.172
"P06","No tengo trabajo",0.112,0.13
"P06","Soy jubilado o pensionado",0.151,0.117
"P08","Hasta $70.000",0.409,0.342
"P08","De $70.000 a $140.000",0.145,0.224
"P08","De $140.000 a $210.000",0.13,0.163
"P08","De $210.000 a $280.000",0.018,0.086
"P08","De $280.000 a $350.000",0.055,0.061
"P08","De $350.000 a $420.000",0.05,0.025
"P08","De $420.000 a $490.000",0.022,0.018
"P08","Más de $490.000",0.171,0.081
"P09","Si, solicité",0.358,0.265
"P09","No, no solicité",0.642,0.735
"P10","No necesité un préstamo",0.327,0.249
"P10","Ya sabía que no cumplia las condiciones",0.273,0.258
"P10","Porque la tasa de interés es muy alta",0.367,0.362
"P10","Es un proceso engorroso con mucha burocrácia",0,0.07
"P10","Otro motivo",0.033,0.061
"P11","En un banco",0.825,0.737
"P11","En una financiera",0.08,0.073
"P11","En una fintech",0.024,0.004
"P11","En una red de finanzas colaborativas",0,0.001
"P11","Otro",0.071,0.185
"P12","De $25.000 a $300.000",0.623,0.427
"P12","De $300.000 a $500.000",0.045,0.161
"P12","De $500.000 a $800.000",0.14,0.067
"P12","De $800.000 a $1.500.000",0.131,0.101
"P12","De $1.500.000 a $3.000.000",0.029,0.137
"P12","De $3.000.000 a $5.000.000",0,0.023
"P12","Más de $5.000.000",0.032,0.084
"P13","No, no tuve ningún problema",0.822,0.82
"P13","Si, tuve scoring insuficiente",0.079,0.069
"P13","Si, porque estaba en el veraz",0.061,0.032
"P13","Si, porque la tasa de interés era muy alta",0,0.042
"P13","Si, porque no cumplía con la documentación solicitada",0.029,0.01
"P13","Otro problema",0.009,0.027
"P14","No, no sentí ningún trato diferencial",0.868,0.879
"P14","Si, sentí desconfianza",0.036,0.071
"P14","Si, sentí que hubo maltrato",0,0.002
"P14","Si, sentí que hubo una mala atención",0,0.039
"P14","Si, sentí que me subestimaron",0.096,0.007
"P14","Otro problema",0,0.002
"P15","Si",0.963,0.89
"P15","No",0.037,0.11
"P16","Si",0.779,0.295
"P16","No",0.221,0.705
"P18","Menos de $1.500.000",0.497,0.405
"P18","de $1.500.000 a $3.000.000",0.138,0.304
"P18","de $3.000.000 a $5.000.000",0.104,0.104
"P18","Más de $5.000.000",0.261,0.187
