"var","categoria","No necesité un préstamo","Ya sabía que no cumplia las condiciones","Porque la tasa de interés es muy alta","Es un proceso engorroso con mucha burocrácia","Otro motivo"
"P02","Masculino",0.508,0.401,0.465,0.542,0.398
"P02","Femenino",0.453,0.519,0.491,0.35,0.546
"P02","No binario",0.039,0.08,0.044,0.108,0.056
"P03","Soltero o soltera",0.396,0.413,0.297,0.389,0.417
"P03","Casado o casada",0.393,0.38,0.474,0.378,0.338
"P03","En concubinato",0.211,0.207,0.229,0.233,0.245
"P04","No tengo hijos",0.384,0.293,0.238,0.287,0.316
"P04","Tengo 1 hijo",0.177,0.232,0.226,0.221,0.225
"P04","Tengo 2 hijos",0.237,0.202,0.308,0.24,0.201
"P04","Tengo 3 o más hijos",0.202,0.273,0.228,0.252,0.258
"P06","Tengo trabajo estable",0.506,0.269,0.508,0.259,0.332
"P06","Realizo changas o trabajos de vez en cuando",0.13,0.307,0.178,0.282,0.199
"P06","No tengo trabajo",0.165,0.308,0.14,0.29,0.305
"P06","Soy jubilado o pensionado",0.199,0.116,0.174,0.169,0.164
"P07","Si, tengo un emprendimiento",0.276,0.214,0.3,0.328,0.18
"P07","No, no tengo ningún emprendimiento",0.724,0.786,0.7,0.672,0.82
"P08","Hasta $70.000",0.293,0.566,0.31,0.484,0.516
"P08","De $70.000 a $140.000",0.216,0.317,0.298,0.268,0.29
"P08","De $140.000 a $210.000",0.19,0.051,0.185,0.081,0.084
"P08","De $210.000 a $280.000",0.081,0.025,0.092,0.042,0.031
"P08","De $280.000 a $350.000",0.086,0.012,0.045,0.028,0.016
"P08","De $350.000 a $420.000",0.051,0.012,0.018,0.049,0.035
"P08","De $420.000 a $490.000",0.013,0.002,0.011,0.008,0.01
"P08","Más de $490.000",0.07,0.015,0.041,0.04,0.018
"P16","Si",0.412,0.266,0.283,0.291,0.339
"P16","No",0.588,0.734,0.717,0.709,0.661
"P17","Si, recibí apoyo financiero",0.086,0.071,0.068,0,0.037
"P17","No, nunca recibí apoyo financiero",0.914,0.929,0.932,1,0.963
"P18","Menos de $1.500.000",0.489,0.387,0.354,0.501,0.459
"P18","de $1.500.000 a $3.000.000",0.208,0.381,0.3,0.209,0.186
"P18","de $3.000.000 a $5.000.000",0.074,0.084,0.151,0.143,0.095
"P18","Más de $5.000.000",0.229,0.148,0.195,0.147,0.26
