"var","categoria","Tengo trabajo estable","Realizo changas o trabajos de vez en cuando","No tengo trabajo","Soy jubilado o pensionado"
"P02","Masculino",0.54,0.44,0.329,0.403
"P02","Femenino",0.424,0.482,0.553,0.562
"P02","No binario",0.036,0.078,0.118,0.035
"P03","Soltero o soltera",0.368,0.457,0.453,0.208
"P03","Casado o casada",0.404,0.311,0.322,0.636
"P03","En concubinato",0.228,0.232,0.225,0.156
"P04","No tengo hijos",0.351,0.304,0.352,0.109
"P04","Tengo 1 hijo",0.211,0.237,0.209,0.19
"P04","Tengo 2 hijos",0.257,0.219,0.209,0.302
"P04","Tengo 3 o más hijos",0.181,0.24,0.23,0.399
"P07","Si, tengo un emprendimiento",0.362,0.235,0.156,0.154
"P07","No, no tengo ningún emprendimiento",0.638,0.765,0.844,0.846
"P08","Hasta $70.000",0.187,0.684,0.617,0.371
"P08","De $70.000 a $140.000",0.283,0.221,0.235,0.303
"P08","De $140.000 a $210.000",0.211,0.042,0.052,0.145
"P08","De $210.000 a $280.000",0.113,0.011,0.028,0.062
"P08","De $280.000 a $350.000",0.087,0.005,0.01,0.056
"P08","De $350.000 a $420.000",0.04,0.021,0.017,0.016
"P08","De $420.000 a $490.000",0.016,0.001,0.004,0.01
"P08","Más de $490.000",0.063,0.015,0.037,0.037
"P09","Si, solicité",0.35,0.235,0.22,0.297
"P09","No, no solicité",0.65,0.765,0.78,0.703
"P10","No necesité un préstamo",0.32,0.158,0.192,0.316
"P10","Ya sabía que no cumplia las condiciones",0.199,0.437,0.422,0.216
"P10","Porque la tasa de interés es muy alta",0.373,0.25,0.191,0.321
"P10","Es un proceso engorroso con mucha burocrácia",0.033,0.068,0.067,0.053
"P10","Otro motivo",0.075,0.087,0.128,0.094
"P11","En un banco",0.775,0.501,0.636,0.538
"P11","En una financiera",0.068,0.194,0.137,0.087
"P11","En una fintech",0.006,0.004,0.02,0.009
"P11","En una red de finanzas colaborativas",0.003,0.012,0.015,0.018
"P11","Otro",0.148,0.289,0.192,0.348
"P12","De $25.000 a $300.000",0.507,0.623,0.666,0.634
"P12","De $300.000 a $500.000",0.133,0.123,0.146,0.136
"P12","De $500.000 a $800.000",0.061,0.089,0.038,0.081
"P12","De $800.000 a $1.500.000",0.094,0.029,0.026,0.078
"P12","De $1.500.000 a $3.000.000",0.111,0.108,0.034,0.036
"P12","De $3.000.000 a $5.000.000",0.041,0.009,0.038,0.004
"P12","Más de $5.000.000",0.053,0.019,0.052,0.031
"P13","No, no tuve ningún problema",0.815,0.611,0.653,0.835
"P13","Si, tuve scoring insuficiente",0.09,0.122,0.116,0.047
"P13","Si, porque estaba en el veraz",0.019,0.094,0.047,0.055
"P13","Si, porque la tasa de interés era muy alta",0.04,0.095,0.077,0.03
"P13","Si, porque no cumplía con la documentación solicitada",0.01,0.033,0.053,0.021
"P13","Otro problema",0.026,0.045,0.054,0.012
"P14","No, no sentí ningún trato diferencial",0.919,0.754,0.676,0.911
"P14","Si, sentí desconfianza",0.023,0.117,0.111,0.051
"P14","Si, sentí que hubo maltrato",0,0.019,0.081,0.008
"P14","Si, sentí que hubo una mala atención",0.024,0.025,0.048,0.003
"P14","Si, sentí que me subestimaron",0.018,0.019,0.024,0.015
"P14","Otro problema",0.016,0.066,0.06,0.012
"P15","Si",0.921,0.639,0.709,0.937
"P15","No",0.079,0.361,0.291,0.063
"P16","Si",0.369,0.279,0.222,0.362
"P16","No",0.631,0.721,0.778,0.638
"P17","Si, recibí apoyo financiero",0.077,0.073,0.067,0.098
"P17","No, nunca recibí apoyo financiero",0.923,0.927,0.933,0.902
"P18","Menos de $1.500.000",0.35,0.584,0.46,0.405
"P18","de $1.500.000 a $3.000.000",0.304,0.207,0.354,0.292
"P18","de $3.000.000 a $5.000.000",0.124,0.046,0.086,0.115
"P18","Más de $5.000.000",0.222,0.163,0.1,0.188
