"var","categoria","Masculino","Femenino","No binario"
"P03","Soltero o soltera",0.409,0.359,0.292
"P03","Casado o casada",0.376,0.457,0.219
"P03","En concubinato",0.215,0.184,0.489
"P04","No tengo hijos",0.331,0.273,0.352
"P04","Tengo 1 hijo",0.215,0.221,0.131
"P04","Tengo 2 hijos",0.232,0.273,0.177
"P04","Tengo 3 o más hijos",0.222,0.233,0.34
"P06","Tengo trabajo estable",0.519,0.384,0.258
"P06","Realizo changas o trabajos de vez en cuando",0.194,0.2,0.257
"P06","No tengo trabajo",0.147,0.232,0.394
"P06","Soy jubilado o pensionado",0.14,0.184,0.091
"P07","Si, tengo un emprendimiento",0.303,0.222,0.276
"P07","No, no tengo ningún emprendimiento",0.697,0.778,0.724
"P08","Hasta $70.000",0.323,0.458,0.519
"P08","De $70.000 a $140.000",0.258,0.28,0.188
"P08","De $140.000 a $210.000",0.155,0.124,0.077
"P08","De $210.000 a $280.000",0.088,0.056,0.018
"P08","De $280.000 a $350.000",0.063,0.042,0.022
"P08","De $350.000 a $420.000",0.04,0.016,0.037
"P08","De $420.000 a $490.000",0.013,0.006,0.003
"P08","Más de $490.000",0.06,0.018,0.136
"P09","Si, solicité",0.318,0.267,0.307
"P09","No, no solicité",0.682,0.733,0.693
"P10","No necesité un préstamo",0.287,0.239,0.171
"P10","Ya sabía que no cumplia las condiciones",0.266,0.321,0.417
"P10","Porque la tasa de interés es muy alta",0.305,0.301,0.228
"P10","Es un proceso engorroso con mucha burocrácia",0.061,0.036,0.095
"P10","Otro motivo",0.081,0.103,0.089
"P11","En un banco",0.725,0.642,0.517
"P11","En una financiera",0.082,0.117,0.113
"P11","En una fintech",0.007,0.007,0.024
"P11","En una red de finanzas colaborativas",0.004,0.011,0.031
"P11","Otro",0.182,0.223,0.315
"P12","De $25.000 a $300.000",0.516,0.636,0.511
"P12","De $300.000 a $500.000",0.149,0.13,0.062
"P12","De $500.000 a $800.000",0.062,0.053,0.163
"P12","De $800.000 a $1.500.000",0.066,0.08,0.045
"P12","De $1.500.000 a $3.000.000",0.109,0.069,0.044
"P12","De $3.000.000 a $5.000.000",0.045,0.016,0.012
"P12","Más de $5.000.000",0.053,0.016,0.163
"P13","No, no tuve ningún problema",0.785,0.797,0.41
"P13","Si, tuve scoring insuficiente",0.088,0.07,0.25
"P13","Si, porque estaba en el veraz",0.027,0.046,0.092
"P13","Si, porque la tasa de interés era muy alta",0.058,0.041,0.091
"P13","Si, porque no cumplía con la documentación solicitada",0.016,0.011,0.13
"P13","Otro problema",0.026,0.035,0.027
"P14","No, no sentí ningún trato diferencial",0.88,0.898,0.436
"P14","Si, sentí desconfianza",0.027,0.032,0.393
"P14","Si, sentí que hubo maltrato",0.014,0.007,0.091
"P14","Si, sentí que hubo una mala atención",0.022,0.025,0.033
"P14","Si, sentí que me subestimaron",0.025,0.011,0.019
"P14","Otro problema",0.032,0.027,0.028
"P15","Si",0.888,0.878,0.415
"P15","No",0.112,0.122,0.585
"P16","Si",0.4,0.258,0.39
"P16","No",0.6,0.742,0.61
"P17","Si, recibí apoyo financiero",0.068,0.062,0.243
"P17","No, nunca recibí apoyo financiero",0.932,0.938,0.757
"P18","Menos de $1.500.000",0.333,0.514,0.254
"P18","de $1.500.000 a $3.000.000",0.287,0.283,0.379
"P18","de $3.000.000 a $5.000.000",0.145,0.065,0.096
"P18","Más de $5.000.000",0.235,0.138,0.271
