"var","categoria","No, no tuve ningún problema","Si, tuve scoring insuficiente","Si, porque estaba en el veraz","Si, porque la tasa de interés era muy alta","Si, porque no cumplía con la documentación solicitada","Otro problema"
"P02","Masculino",0.475,0.447,0.306,0.511,0.33,0.4
"P02","Femenino",0.486,0.353,0.528,0.362,0.234,0.535
"P02","No binario",0.039,0.2,0.166,0.127,0.436,0.065
"P03","Soltero o soltera",0.374,0.199,0.47,0.283,0.18,0.57
"P03","Casado o casada",0.426,0.451,0.275,0.387,0.611,0.289
"P03","En concubinato",0.2,0.35,0.255,0.33,0.209,0.141
"P04","No tengo hijos",0.244,0.227,0.177,0.375,0.103,0.268
"P04","Tengo 1 hijo",0.205,0.196,0.079,0.175,0.127,0.099
"P04","Tengo 2 hijos",0.25,0.29,0.249,0.261,0.268,0.255
"P04","Tengo 3 o más hijos",0.301,0.287,0.495,0.189,0.502,0.378
"P06","Tengo trabajo estable",0.558,0.515,0.241,0.399,0.233,0.447
"P06","Realizo changas o trabajos de vez en cuando",0.122,0.204,0.351,0.278,0.235,0.223
"P06","No tengo trabajo",0.128,0.19,0.171,0.222,0.361,0.262
"P06","Soy jubilado o pensionado",0.192,0.091,0.237,0.101,0.171,0.068
"P07","Si, tengo un emprendimiento",0.298,0.291,0.383,0.194,0.191,0.337
"P07","No, no tengo ningún emprendimiento",0.702,0.709,0.617,0.806,0.809,0.663
"P08","Hasta $70.000",0.326,0.483,0.46,0.407,0.607,0.48
"P08","De $70.000 a $140.000",0.259,0.264,0.305,0.205,0.238,0.168
"P08","De $140.000 a $210.000",0.164,0.108,0.05,0.193,0.021,0.11
"P08","De $210.000 a $280.000",0.076,0.056,0.025,0.062,0.07,0.035
"P08","De $280.000 a $350.000",0.079,0.053,0.014,0.036,0.039,0
"P08","De $350.000 a $420.000",0.018,0.01,0,0.049,0,0
"P08","De $420.000 a $490.000",0.014,0,0,0,0,0
"P08","Más de $490.000",0.064,0.026,0.146,0.048,0.025,0.207
"P11","En un banco",0.727,0.612,0.445,0.693,0.426,0.457
"P11","En una financiera",0.081,0.177,0.088,0.201,0.141,0.176
"P11","En una fintech",0.007,0.014,0.027,0.003,0.029,0.012
"P11","En una red de finanzas colaborativas",0.007,0.008,0,0.009,0.073,0.041
"P11","Otro",0.178,0.189,0.44,0.094,0.331,0.314
"P12","De $25.000 a $300.000",0.622,0.501,0.504,0.254,0.083,0.513
"P12","De $300.000 a $500.000",0.121,0.26,0.193,0.068,0.095,0.092
"P12","De $500.000 a $800.000",0.051,0.046,0.25,0.21,0,0.031
"P12","De $800.000 a $1.500.000",0.07,0.061,0.015,0.205,0.093,0.011
"P12","De $1.500.000 a $3.000.000",0.077,0.118,0.036,0.093,0.423,0.055
"P12","De $3.000.000 a $5.000.000",0.026,0,0,0.136,0.025,0.037
"P12","Más de $5.000.000",0.033,0.014,0.002,0.034,0.281,0.261
"P14","No, no sentí ningún trato diferencial",0.95,0.576,0.493,0.59,0.445,0.437
"P14","Si, sentí desconfianza",0.036,0.27,0.022,0.046,0.054,0
"P14","Si, sentí que hubo maltrato",0.001,0.004,0.118,0.105,0.272,0
"P14","Si, sentí que hubo una mala atención",0.002,0.029,0.17,0.144,0.044,0.179
"P14","Si, sentí que me subestimaron",0.003,0.102,0.03,0.081,0.114,0
"P14","Otro problema",0.008,0.019,0.167,0.034,0.071,0.384
"P15","Si",0.942,0.563,0.425,0.561,0.222,0.769
"P15","No",0.058,0.437,0.575,0.439,0.778,0.231
"P16","Si",0.37,0.306,0.335,0.378,0.257,0.946
"P16","No",0.63,0.694,0.665,0.622,0.743,0.054
"P17","Si, recibí apoyo financiero",0.105,0.118,0.182,0,0.253,0.038
"P17","No, nunca recibí apoyo financiero",0.895,0.882,0.818,1,0.747,0.962
"P18","Menos de $1.500.000",0.429,0.103,0.551,0.038,0.574,0.227
"P18","de $1.500.000 a $3.000.000",0.363,0.44,0.287,0.209,0,0.037
"P18","de $3.000.000 a $5.000.000",0.071,0.089,0.038,0.488,0.426,0.064
"P18","Más de $5.000.000",0.137,0.368,0.124,0.265,0,0.672
