"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.279,0.296,0.261,0.331,0.2,0.34,0.353,0.33,0.274,0.24,0.243,0.357,0.157,0.515,0.068,0.431,0.26,0.297,6
"Buena",0.211,0.189,0.234,0.291,0.215,0.167,0.137,0.108,0.279,0.216,0.25,0.129,0.161,0.266,0.052,0.325,0.201,0.219,6
"Ni buena ni mala",0.115,0.125,0.104,0.127,0.102,0.118,0.134,0.174,0.08,0.106,0.088,0.123,0.176,0.067,0.097,0.127,0.111,0.118,6
"Mala",0.103,0.085,0.124,0.052,0.135,0.076,0.135,0.14,0.097,0.079,0.129,0.116,0.099,0.037,0.213,0.024,0.147,0.064,6
"Muy mala",0.284,0.295,0.272,0.199,0.334,0.299,0.228,0.223,0.27,0.357,0.281,0.275,0.402,0.115,0.558,0.093,0.267,0.299,6
"No sabe",0.008,0.01,0.005,0,0.014,0,0.013,0.025,0,0.002,0.009,0,0.005,0,0.012,0,0.014,0.003,6
"Positiva",0.49,0.485,0.495,0.622,0.415,0.507,0.49,0.438,0.553,0.456,0.493,0.486,0.318,0.781,0.12,0.756,0.461,0.516,4
"Neutra",0.115,0.125,0.104,0.127,0.102,0.118,0.134,0.174,0.08,0.106,0.088,0.123,0.176,0.067,0.097,0.127,0.111,0.118,4
"Negativa",0.387,0.38,0.396,0.251,0.469,0.375,0.363,0.363,0.367,0.436,0.41,0.391,0.501,0.152,0.771,0.117,0.414,0.363,4
"No sabe",0.008,0.01,0.005,0,0.014,0,0.013,0.025,0,0.002,0.009,0,0.005,0,0.012,0,0.014,0.003,4
