"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.202,0.216,0.187,0.376,0.132,0.189,0.165,0.257,0.193,0.164,0.141,0.201,0.26,0.427,0.064,0.302,0.193,0.211,6
"Buena",0.174,0.137,0.216,0.165,0.178,0.167,0.192,0.123,0.23,0.15,0.196,0.227,0.095,0.185,0.047,0.264,0.136,0.208,6
"Ni buena ni mala",0.234,0.236,0.231,0.197,0.237,0.245,0.265,0.252,0.218,0.236,0.263,0.166,0.183,0.244,0.168,0.282,0.251,0.218,6
"Mala",0.122,0.132,0.112,0.068,0.137,0.135,0.143,0.186,0.111,0.079,0.137,0.143,0.11,0.031,0.216,0.053,0.176,0.075,6
"Muy mala",0.247,0.255,0.237,0.183,0.295,0.239,0.205,0.153,0.234,0.348,0.241,0.246,0.35,0.107,0.485,0.082,0.218,0.272,6
"No sabe",0.021,0.024,0.017,0.011,0.021,0.025,0.03,0.029,0.014,0.023,0.022,0.017,0.002,0.006,0.02,0.017,0.026,0.016,6
"Positiva",0.376,0.353,0.403,0.541,0.31,0.356,0.357,0.38,0.423,0.314,0.337,0.428,0.355,0.612,0.111,0.566,0.329,0.419,4
"Neutra",0.234,0.236,0.231,0.197,0.237,0.245,0.265,0.252,0.218,0.236,0.263,0.166,0.183,0.244,0.168,0.282,0.251,0.218,4
"Negativa",0.369,0.387,0.349,0.251,0.432,0.374,0.348,0.339,0.345,0.427,0.378,0.389,0.46,0.138,0.701,0.135,0.394,0.347,4
"No sabe",0.021,0.024,0.017,0.011,0.021,0.025,0.03,0.029,0.014,0.023,0.022,0.017,0.002,0.006,0.02,0.017,0.026,0.016,4
