"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.146,0.166,0.124,0.266,0.098,0.121,0.15,0.209,0.131,0.109,0.17,0.118,0.062,0.234,0.047,0.21,0.137,0.154,6
"Buena",0.164,0.154,0.176,0.203,0.112,0.167,0.272,0.162,0.172,0.157,0.108,0.231,0.092,0.375,0.061,0.238,0.172,0.157,6
"Ni buena ni mala",0.31,0.287,0.335,0.23,0.357,0.344,0.224,0.268,0.33,0.322,0.37,0.283,0.281,0.242,0.237,0.368,0.305,0.314,6
"Mala",0.12,0.127,0.114,0.098,0.133,0.106,0.141,0.159,0.098,0.115,0.123,0.131,0.195,0.053,0.212,0.058,0.152,0.092,6
"Muy mala",0.19,0.194,0.184,0.133,0.242,0.174,0.137,0.113,0.202,0.242,0.173,0.184,0.287,0.093,0.352,0.078,0.19,0.19,6
"No sabe",0.07,0.072,0.067,0.07,0.058,0.088,0.076,0.089,0.067,0.055,0.056,0.053,0.083,0.003,0.091,0.048,0.044,0.093,6
"Positiva",0.31,0.32,0.3,0.469,0.21,0.288,0.422,0.371,0.303,0.266,0.278,0.349,0.154,0.609,0.108,0.448,0.309,0.311,4
"Neutra",0.31,0.287,0.335,0.23,0.357,0.344,0.224,0.268,0.33,0.322,0.37,0.283,0.281,0.242,0.237,0.368,0.305,0.314,4
"Negativa",0.31,0.321,0.298,0.231,0.375,0.28,0.278,0.272,0.3,0.357,0.296,0.315,0.482,0.146,0.564,0.136,0.342,0.282,4
"No sabe",0.07,0.072,0.067,0.07,0.058,0.088,0.076,0.089,0.067,0.055,0.056,0.053,0.083,0.003,0.091,0.048,0.044,0.093,4
