"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.141,0.158,0.122,0.193,0.08,0.148,0.247,0.205,0.13,0.097,0.161,0.13,0.233,0.077,0.24,0.081,0.139,0.142,6
"Buena",0.177,0.178,0.175,0.168,0.183,0.171,0.18,0.129,0.181,0.213,0.163,0.172,0.332,0.091,0.245,0.136,0.123,0.225,6
"Ni buena ni mala",0.278,0.23,0.332,0.179,0.322,0.314,0.233,0.279,0.292,0.261,0.307,0.311,0.234,0.199,0.301,0.266,0.308,0.252,6
"Mala",0.167,0.164,0.17,0.117,0.173,0.187,0.199,0.215,0.114,0.194,0.156,0.207,0.077,0.261,0.111,0.197,0.209,0.13,6
"Muy mala",0.2,0.223,0.175,0.318,0.201,0.15,0.084,0.128,0.247,0.203,0.185,0.158,0.104,0.35,0.075,0.28,0.2,0.2,6
"No sabe",0.037,0.047,0.026,0.025,0.041,0.03,0.057,0.044,0.036,0.032,0.028,0.022,0.02,0.022,0.028,0.04,0.021,0.051,6
"Positiva",0.318,0.336,0.297,0.361,0.263,0.319,0.427,0.334,0.311,0.31,0.324,0.302,0.565,0.168,0.485,0.217,0.262,0.367,4
"Neutra",0.278,0.23,0.332,0.179,0.322,0.314,0.233,0.279,0.292,0.261,0.307,0.311,0.234,0.199,0.301,0.266,0.308,0.252,4
"Negativa",0.367,0.387,0.345,0.435,0.374,0.337,0.283,0.343,0.361,0.397,0.341,0.365,0.181,0.611,0.186,0.477,0.409,0.33,4
"No sabe",0.037,0.047,0.026,0.025,0.041,0.03,0.057,0.044,0.036,0.032,0.028,0.022,0.02,0.022,0.028,0.04,0.021,0.051,4
