"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.156,0.179,0.131,0.238,0.142,0.139,0.099,0.241,0.144,0.096,0.14,0.184,0.087,0.342,0.116,0.183,0.157,0.155,6
"Buena",0.184,0.201,0.165,0.209,0.164,0.152,0.274,0.141,0.199,0.204,0.174,0.253,0.186,0.137,0.094,0.251,0.169,0.199,6
"Ni buena ni mala",0.358,0.344,0.373,0.329,0.389,0.373,0.27,0.316,0.383,0.363,0.412,0.322,0.228,0.304,0.288,0.406,0.387,0.331,6
"Mala",0.129,0.106,0.156,0.113,0.14,0.105,0.167,0.125,0.107,0.162,0.125,0.101,0.188,0.116,0.213,0.07,0.13,0.129,6
"Muy mala",0.14,0.147,0.131,0.111,0.133,0.195,0.107,0.121,0.14,0.156,0.112,0.109,0.267,0.097,0.231,0.076,0.133,0.145,6
"No sabe",0.033,0.023,0.044,0,0.032,0.036,0.083,0.056,0.027,0.019,0.037,0.031,0.044,0.004,0.058,0.014,0.024,0.041,6
"Positiva",0.34,0.38,0.296,0.447,0.306,0.291,0.373,0.382,0.343,0.3,0.314,0.437,0.273,0.479,0.21,0.434,0.326,0.354,4
"Neutra",0.358,0.344,0.373,0.329,0.389,0.373,0.27,0.316,0.383,0.363,0.412,0.322,0.228,0.304,0.288,0.406,0.387,0.331,4
"Negativa",0.269,0.253,0.287,0.224,0.273,0.3,0.274,0.246,0.247,0.318,0.237,0.21,0.455,0.213,0.444,0.146,0.263,0.274,4
"No sabe",0.033,0.023,0.044,0,0.032,0.036,0.083,0.056,0.027,0.019,0.037,0.031,0.044,0.004,0.058,0.014,0.024,0.041,4
