"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.231,0.243,0.217,0.184,0.234,0.25,0.269,0.317,0.174,0.224,0.25,0.277,0.349,0.065,0.531,0.03,0.265,0.2,6
"Buena",0.081,0.082,0.08,0.052,0.102,0.063,0.093,0.073,0.063,0.112,0.078,0.127,0.085,0.044,0.141,0.039,0.079,0.083,6
"Ni buena ni mala",0.136,0.121,0.153,0.097,0.148,0.147,0.145,0.165,0.168,0.067,0.117,0.123,0.14,0.136,0.171,0.111,0.106,0.163,6
"Mala",0.161,0.148,0.175,0.157,0.151,0.196,0.141,0.116,0.171,0.19,0.194,0.128,0.181,0.071,0.082,0.215,0.173,0.151,6
"Muy mala",0.375,0.386,0.363,0.492,0.346,0.338,0.333,0.312,0.404,0.397,0.348,0.345,0.189,0.68,0.055,0.593,0.359,0.389,6
"No sabe",0.016,0.02,0.012,0.018,0.019,0.006,0.019,0.017,0.02,0.01,0.013,0,0.056,0.004,0.02,0.012,0.018,0.014,6
"Positiva",0.312,0.325,0.297,0.236,0.336,0.313,0.362,0.39,0.237,0.336,0.328,0.404,0.434,0.109,0.672,0.069,0.344,0.283,4
"Neutra",0.136,0.121,0.153,0.097,0.148,0.147,0.145,0.165,0.168,0.067,0.117,0.123,0.14,0.136,0.171,0.111,0.106,0.163,4
"Negativa",0.536,0.534,0.538,0.649,0.497,0.534,0.474,0.428,0.575,0.587,0.542,0.473,0.37,0.751,0.137,0.808,0.532,0.54,4
"No sabe",0.016,0.02,0.012,0.018,0.019,0.006,0.019,0.017,0.02,0.01,0.013,0,0.056,0.004,0.02,0.012,0.018,0.014,4
