"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.338,0.404,0.263,0.463,0.287,0.344,0.281,0.369,0.349,0.295,0.324,0.256,0.326,0.527,0.084,0.531,0.317,0.356,6
"Buena",0.124,0.112,0.139,0.112,0.1,0.137,0.209,0.068,0.139,0.157,0.128,0.144,0.111,0.099,0.056,0.177,0.112,0.136,6
"Ni buena ni mala",0.101,0.088,0.116,0.066,0.11,0.122,0.097,0.137,0.086,0.09,0.113,0.099,0.06,0.02,0.115,0.087,0.126,0.08,6
"Mala",0.129,0.118,0.141,0.115,0.133,0.112,0.168,0.159,0.115,0.118,0.179,0.129,0.11,0.035,0.199,0.078,0.152,0.107,6
"Muy mala",0.299,0.262,0.34,0.244,0.362,0.271,0.225,0.24,0.307,0.34,0.246,0.372,0.372,0.319,0.527,0.126,0.282,0.313,6
"No sabe",0.009,0.016,0.001,0,0.008,0.014,0.02,0.027,0.004,0,0.01,0,0.021,0,0.019,0.001,0.011,0.008,6
"Positiva",0.462,0.516,0.402,0.575,0.387,0.481,0.49,0.437,0.488,0.452,0.452,0.4,0.437,0.626,0.14,0.708,0.429,0.492,4
"Neutra",0.101,0.088,0.116,0.066,0.11,0.122,0.097,0.137,0.086,0.09,0.113,0.099,0.06,0.02,0.115,0.087,0.126,0.08,4
"Negativa",0.428,0.38,0.481,0.359,0.495,0.383,0.393,0.399,0.422,0.458,0.425,0.501,0.482,0.354,0.726,0.204,0.434,0.42,4
"No sabe",0.009,0.016,0.001,0,0.008,0.014,0.02,0.027,0.004,0,0.01,0,0.021,0,0.019,0.001,0.011,0.008,4
