"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco","No sabe"
"P05","Mucho",0.378,0.512,0.377,0.573,0.239,0.209,0.172
"P05","Bastante",0.347,0.347,0.306,0.093,0.109,0.382,0.302
"P05","Poco",0.158,0.071,0.22,0.279,0.301,0.12,0.131
"P05","Nada",0.065,0.062,0.085,0.055,0.351,0.157,0.246
"P05","No sabe",0.052,0.008,0.012,0,0,0.132,0.149
"P06","Siempre",0.208,0.247,0.187,0.525,0.163,0.102,0.142
"P06","Casi siempre",0.318,0.305,0.317,0.093,0.152,0.061,0.211
"P06","Casi nunca",0.312,0.226,0.338,0.288,0.506,0.45,0.335
"P06","Nunca, pero esta es una excepción",0.162,0.222,0.158,0.094,0.179,0.387,0.312
"P10","Unidos para Cambiar misiones",0.578,0.143,0.11,0.2,0.056,0.162,0.027
"P10","Juntos Avancemos",0.173,0.61,0.156,0.189,0.024,0.05,0.039
"P10","De los liberales libertarios",0.147,0.177,0.648,0.105,0,0.048,0.103
"P10","De la Izquierda",0.009,0.002,0.004,0.243,0,0,0
"P10","Hacemos por nuestro país",0.002,0.018,0.025,0.137,0.714,0,0
"P10","En blanco",0.047,0.022,0.011,0.032,0.18,0.671,0.15
"P10","No sabe",0.044,0.028,0.046,0.094,0.026,0.069,0.681
"P16","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.272,0.555,0.631,0.086,0.291,0.562,0.378
"P16","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.2,0.258,0.134,0.042,0.069,0,0.129
"P16","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.342,0.148,0.119,0.039,0.036,0.121,0.086
"P16","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.134,0.005,0.065,0.653,0,0.048,0.068
"P16","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.02,0,0.006,0.015,0.361,0,0
"P16","No sabe",0.032,0.034,0.045,0.165,0.243,0.269,0.339
"P17","Totalmente seguro.",0.698,0.721,0.768,0.297,0.7,0.531,0.239
"P17","Bastante seguro",0.138,0.165,0.146,0.17,0.176,0.141,0.108
"P17","Algo seguro",0.072,0.076,0.055,0.056,0.023,0.088,0.221
"P17","Para nada seguro",0.092,0.038,0.031,0.477,0.101,0.24,0.432
"P18","Tiene Decidido que va a ir a votar.",0.901,0.876,0.941,0.685,0.627,0.64,0.772
"P18","Tiene dudas sobre si va a ir a  votar",0.074,0.09,0.036,0,0.17,0.183,0.095
"P18","Tiene Decidido que no va a ir a votar",0.025,0.034,0.023,0.315,0.203,0.177,0.133
"P19","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.867,0.278,0.199,0.509,0.245,0.054,0.173
"P19","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.083,0.642,0.302,0.235,0.099,0.19,0.143
"P19","En blanco",0.025,0.053,0.327,0.123,0.047,0.623,0.021
"P19","No sabe",0.025,0.027,0.172,0.133,0.609,0.133,0.663
"P20","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.23,0.62,0.151,0.151,0.167,0.106,0.098
"P20","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.167,0.205,0.671,0.3,0.108,0.069,0.27
"P20","En blanco",0.29,0.094,0.115,0.313,0.132,0.764,0.098
"P20","No sabe",0.313,0.081,0.063,0.236,0.593,0.061,0.534
"P21","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.736,0.219,0.104,0.475,0.218,0.098,0.146
"P21","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.108,0.353,0.816,0.229,0.304,0.254,0.249
"P21","En blanco",0.101,0.261,0.028,0.144,0.015,0.498,0.107
"P21","No sabe",0.055,0.167,0.052,0.152,0.463,0.15,0.498
"P22","Si",0.492,0.388,0.343,0.217,0.229,0.391,0.23
"P22","No",0.508,0.612,0.657,0.783,0.771,0.609,0.77
