"var","categoria","Axel Kicillof a gobernador por Unión por la Patria.","Néstor Grindetti a gobernador por Juntos por el Cambio","Carolina Piparo a gobernadora por la Libertad Avanza","Rubén Sobrero a gobernador por el Frente de Izquierda","En blanco"
"P05","Mucho",0.497,0.365,0.398,0.346,0.124
"P05","Bastante",0.294,0.402,0.339,0.203,0.14
"P05","Poco",0.094,0.164,0.184,0.316,0.634
"P05","Nada",0.042,0.036,0.043,0.052,0.102
"P05","No sabe",0.073,0.033,0.036,0.083,0
"P06","Siempre",0.309,0.191,0.173,0.083,0.043
"P06","Casi siempre",0.326,0.373,0.228,0.203,0.271
"P06","Casi nunca",0.265,0.327,0.424,0.636,0.589
"P06","Nunca, pero esta es una excepción",0.1,0.109,0.175,0.078,0.097
"P09","Unión por la Patria",0.494,0.06,0.108,0.071,0.02
"P09","Juntos por el Cambio ",0.111,0.615,0.186,0.127,0.052
"P09","De los Liberales libertarios",0.089,0.178,0.571,0,0.028
"P09","De la Izquierda",0.175,0.017,0.004,0.314,0.14
"P09","Hacemos por nuestro país",0.053,0.018,0.057,0.359,0.239
"P09","En blanco",0.031,0.024,0.003,0,0.521
"P09","No sabe",0.047,0.088,0.071,0.129,0
"P25","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.162,0.528,0.671,0.42,0.467
"P25","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.125,0.251,0.211,0.181,0.239
"P25","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.487,0.16,0.07,0.146,0.111
"P25","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.054,0,0.012,0.236,0
"P25","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.081,0.004,0.029,0.017,0.122
"P25","No sabe",0.091,0.057,0.007,0,0.061
"P26","Totalmente seguro.",0.571,0.603,0.756,0.558,0.438
"P26","Bastante seguro",0.226,0.181,0.121,0.085,0.035
"P26","Algo seguro",0.115,0.145,0.09,0.123,0
"P26","Para nada seguro",0.088,0.071,0.033,0.234,0.527
"P27","Tiene Decidido que va a ir a votar.",0.931,0.907,0.924,0.875,0.519
"P27","Tiene dudas sobre si va a ir a  votar",0.063,0.07,0.066,0.125,0.481
"P27","Tiene Decidido que no va a ir a votar",0.006,0.023,0.01,0,0
"P28","Si",0.394,0.426,0.397,0.517,0.148
"P28","No",0.606,0.574,0.603,0.483,0.852
"P12_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Federico Meca a intendente por Unión por la Patria.",0.691,0.115,0.05,0.452,0.02
"P12_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Ramón Lanus a intendente por Juntos por el Cambio",0.111,0.666,0.22,0.196,0.036
"P12_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora y Rodolfo Paolucci a intendente por la Libertad Avanza",0.082,0.177,0.663,0.069,0
"P12_imputada","Myriam Bregman a presidenta, Rubén Sobrero a gobernador y Camila Paiz a intendenta por el Frente de Izquierda",0.078,0,0.016,0.283,0.068
"P12_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro País",0.017,0.011,0.051,0,0.392
"P12_imputada","En blanco",0.021,0.031,0,0,0.484
"P16_imputada","Sergio Massa a presidente por Unión por la Patria.",0.615,0.079,0.08,0.393,0.02
"P16_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.134,0.642,0.211,0.127,0.036
"P16_imputada","Javier Milei a presidente por la Libertad Avanza",0.107,0.229,0.647,0,0
"P16_imputada","Myriam Bregman a presidenta por el Frente de Izquierda",0.117,0.002,0.017,0.383,0.068
"P16_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro País",0.022,0.021,0.042,0,0.57
"P16_imputada","En blanco",0.005,0.027,0.003,0.097,0.306
