"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna","FdT","Santilli","Manes","Randazzo","Del Caño","Espert","Hotton","Otros","Blanco","No fue a votar"
"La inflación",0.257,0.262,0.252,0.243,0.27,0.264,0.229,0.212,0.295,0.254,0.33,0.209,0.202,0.312,0.2,0.29,0.332,0.194,0.272,0.172,0,0.202,0.277,0.134,0.578,0.228
"El desempleo",0.12,0.07,0.165,0.139,0.119,0.111,0.108,0.127,0.104,0.137,0.075,0.215,0.125,0.127,0.111,0.142,0.106,0.125,0.101,0,0.121,0.031,0,0.255,0.05,0.163
"La corrupción",0.367,0.383,0.352,0.351,0.398,0.32,0.373,0.362,0.367,0.373,0.356,0.276,0.419,0.206,0.539,0.178,0.155,0.554,0.452,0.492,0.245,0.607,0.613,0.498,0.346,0.288
"La inseguridad",0.056,0.077,0.038,0.099,0.024,0.047,0.102,0.049,0.071,0.042,0.079,0.03,0.044,0.055,0.036,0.302,0.056,0.049,0.058,0.036,0,0.051,0,0,0,0.126
"El precio del dólar",0.017,0.02,0.013,0.001,0.011,0.028,0.038,0.026,0.01,0.014,0.009,0.017,0.024,0.027,0.011,0,0.034,0.001,0.003,0,0,0.059,0,0.013,0,0.028
"La pobreza",0.074,0.077,0.072,0.074,0.072,0.081,0.069,0.114,0.042,0.075,0.071,0.107,0.063,0.12,0.042,0.088,0.156,0.019,0.099,0.037,0.114,0.048,0,0.02,0.026,0.058
"El narcotráfico",0.007,0.007,0.007,0,0.002,0.024,0.002,0.005,0.009,0.005,0.011,0.011,0,0.005,0.011,0,0.011,0.009,0,0,0,0,0,0,0,0.007
"Las tarifas",0.04,0.045,0.036,0.057,0.043,0.03,0.019,0.021,0.065,0.023,0.038,0.002,0.058,0.059,0.022,0,0.078,0.022,0,0.129,0,0,0,0,0,0.027
"Otro",0.037,0.03,0.043,0,0.052,0.047,0.038,0.046,0.029,0.039,0.023,0.115,0.018,0.046,0.015,0,0.046,0.008,0.015,0,0.337,0.002,0.11,0.08,0,0.056
"No sabe",0.025,0.029,0.022,0.036,0.009,0.048,0.022,0.038,0.008,0.038,0.008,0.018,0.047,0.043,0.013,0,0.026,0.019,0,0.134,0.183,0,0,0,0,0.019
