"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Suarez/Abed","Fernández Sagasti/Tanus","Ramón/Vadillo","Barbeito/Sosa"
"Alfredo Cornejo por Cambia Mendoza con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta, Mauricio Macri y una parte de la UCR",0.233,0.221,0.245,0.193,0.188,0.293,0.309,0.194,0.248,0.254,0.082,0.388,0.161,0.364,0.06,0.047,0.019
"Luis Petri por Cambia Mendoza con el apoyo de Julio Cobos y una parte de la UCR",0.099,0.091,0.106,0.043,0.11,0.106,0.141,0.089,0.097,0.111,0.069,0.126,0.085,0.13,0.072,0.079,0.062
"Omar De Marchi por La Unión Mendocina con el apoyo de una parte del PRO y de Javier Milei",0.23,0.29,0.17,0.302,0.26,0.195,0.105,0.217,0.252,0.214,0.134,0.229,0.372,0.245,0.081,0.41,0.229
"Omar Parisi por Elegí Mendoza con el apoyo de Anabel Fernández Sagasti y una parte del kirchnerismo",0.145,0.112,0.177,0.171,0.14,0.088,0.2,0.169,0.142,0.124,0.375,0.046,0.078,0.055,0.435,0.138,0
"Guillermo Carmona por Elegí Mendoza con el apoyo de Emir y Omar Félix, y una parte del PJ",0.067,0.075,0.06,0.064,0.06,0.108,0.031,0.049,0.077,0.073,0.143,0.023,0.107,0.016,0.17,0.141,0.069
"Nicolás Guillén por Elegí Mendoza con el apoyo de la Corriente Clasista y Combativa, y los movimientos sociales",0.019,0.013,0.025,0.019,0.017,0.011,0.035,0.018,0.019,0.021,0.028,0.011,0.015,0.011,0.034,0.005,0.118
"Alfredo Guevara por Elegí Mendoza con el apoyo de una parte del kirchnerismo",0.077,0.077,0.077,0.032,0.095,0.083,0.095,0.074,0.049,0.118,0.072,0.094,0.067,0.099,0.067,0.047,0.025
"Lautaro Giménez por el Frente de Izquierda con el apoyo de Nicolás Del Caño, Myriam Bregman, el Partido Socialista de los Trabajadores y el Movimiento Socialista de los Trabajadores",0.017,0.016,0.019,0.019,0.02,0.014,0.013,0.02,0.021,0.01,0.014,0.001,0.051,0.002,0.008,0.037,0.329
"Victor da Vila por el Frente de Izquierda con el apoyo de Gabriel Solano, Romina Del Plá y el Partido Obrero",0.005,0.006,0.004,0,0.006,0.006,0.007,0.007,0.005,0.002,0.003,0.003,0,0.002,0,0.006,0.027
"No sabe",0.108,0.099,0.117,0.157,0.104,0.096,0.064,0.163,0.09,0.073,0.08,0.079,0.064,0.076,0.073,0.09,0.122
