"var","categoria","Muy positivo","Positivo","Neutral","Algo negativo","Negativo","No sabe"
"P06","Mucho",0.625,0.463,0.402,0.383,0.463,0.333
"P06","Bastante",0.192,0.305,0.325,0.285,0.242,0.307
"P06","Poco",0.16,0.207,0.237,0.283,0.275,0.311
"P06","Nada",0.02,0.022,0.03,0.026,0.014,0.037
"P06","No sabe",0.003,0.003,0.006,0.023,0.006,0.012
"P07","Siempre",0.384,0.275,0.278,0.271,0.3,0.21
"P07","Casi siempre",0.318,0.483,0.39,0.459,0.428,0.465
"P07","Casi nunca",0.255,0.198,0.258,0.235,0.202,0.221
"P07","Nunca, pero esta es una excepción",0.043,0.044,0.074,0.035,0.07,0.104
"P09","Gran excedente habitual",0.034,0.017,0.007,0.005,0.024,0
"P09","Gran excedente excepcional",0.012,0.008,0.011,0.009,0.009,0.014
"P09","Pequeño excedente habitual",0.115,0.106,0.073,0.07,0.064,0.034
"P09","Pequeño excedente excepcional",0.213,0.166,0.136,0.117,0.141,0.123
"P09","Alcanza gastos familia",0.104,0.115,0.131,0.145,0.115,0.15
"P09","No alcanza gastos familia",0.04,0.05,0.084,0.045,0.084,0.085
"P09","Solo NBFamiliares",0.253,0.268,0.277,0.237,0.281,0.295
"P09","No alcanza NBFamiliares",0.22,0.266,0.277,0.368,0.279,0.294
"P09","No sabe",0.009,0.004,0.004,0.004,0.003,0.005
"P10","Tiene Decidido que va a ir a votar",0.915,0.915,0.863,0.922,0.846,0.882
"P10","Tiene dudas sobre si va a ir a  votar",0.068,0.072,0.101,0.063,0.12,0.084
"P10","Tiene Decidido que no va a ir a votar",0.017,0.013,0.036,0.015,0.034,0.034
"P13","Unión por la Patria",0.775,0.602,0.208,0.113,0.02,0.228
"P13","Juntos por el Cambio ",0.059,0.141,0.35,0.423,0.465,0.284
"P13","Liberales",0.066,0.116,0.265,0.311,0.385,0.222
"P13","Izquierda",0.043,0.041,0.037,0.017,0.03,0.037
