"var","categoria","Fomentar la competencia entre proveedores","Incrementar la inversión en infraestructura","Implementar políticas de subsidios focalizados en grupos vulnerables","Realizar auditorías periódicas a las empresas de servicios públicos"
"P06","Mucho",0.446,0.457,0.477,0.422
"P06","Bastante",0.274,0.305,0.242,0.312
"P06","Poco",0.252,0.204,0.24,0.236
"P06","Nada",0.023,0.029,0.026,0.022
"P06","No sabe",0.005,0.005,0.015,0.008
"P07","Siempre",0.296,0.27,0.291,0.271
"P07","Casi siempre",0.383,0.471,0.417,0.427
"P07","Casi nunca",0.258,0.209,0.244,0.22
"P07","Nunca, pero esta es una excepción",0.063,0.05,0.048,0.082
"P09","Gran excedente habitual",0.013,0.018,0.016,0.012
"P09","Gran excedente excepcional",0.006,0.025,0.009,0.009
"P09","Pequeño excedente habitual",0.073,0.115,0.064,0.065
"P09","Pequeño excedente excepcional",0.135,0.157,0.16,0.15
"P09","Alcanza gastos familia",0.137,0.117,0.085,0.138
"P09","No alcanza gastos familia",0.072,0.043,0.094,0.069
"P09","Solo NBFamiliares",0.25,0.302,0.263,0.281
"P09","No alcanza NBFamiliares",0.306,0.219,0.306,0.272
"P09","No sabe",0.008,0.004,0.003,0.004
"P10","Tiene Decidido que va a ir a votar",0.883,0.912,0.848,0.895
"P10","Tiene dudas sobre si va a ir a  votar",0.087,0.072,0.111,0.081
"P10","Tiene Decidido que no va a ir a votar",0.03,0.016,0.041,0.024
"P13","Unión por la Patria",0.226,0.374,0.572,0.376
"P13","Juntos por el Cambio ",0.291,0.339,0.163,0.247
"P13","Liberales",0.332,0.164,0.071,0.194
"P13","Izquierda",0.028,0.03,0.045,0.049
"P13","Hacemos por Nuestro país",0.066,0.039,0.032,0.076
"P13","No sabe",0.057,0.054,0.117,0.058
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.24,0.382,0.602,0.407
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.378,0.382,0.169,0.295
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.304,0.165,0.128,0.198
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.018,0.017,0.016,0.024
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.018,0.014,0.023,0.029
"P14","En blanco",0.026,0.017,0.029,0.022
"P14","No sabe",0.016,0.023,0.033,0.025
"P17","Totalmente seguro",0.701,0.736,0.662,0.693
"P17","Bastante seguro",0.128,0.139,0.15,0.139
"P17","Algo seguro",0.108,0.075,0.127,0.097
"P17","Para nada seguro",0.063,0.05,0.061,0.071
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.137,0.101,0.131,0.088
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.13,0.114,0.068,0.079
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.311,0.263,0.21,0.216
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.213,0.26,0.235,0.247
"P22","En blanco",0.131,0.182,0.207,0.257
"P22","No sabe",0.078,0.08,0.149,0.113
