"var","categoria","Sí, absolutamente","Sí, en cierta medida","No, en absoluto"
"P06","Mucho",0.47,0.426,0.414
"P06","Bastante",0.276,0.329,0.257
"P06","Poco",0.211,0.223,0.303
"P06","Nada",0.036,0.018,0.015
"P06","No sabe",0.007,0.004,0.011
"P07","Siempre",0.303,0.242,0.28
"P07","Casi siempre",0.395,0.452,0.399
"P07","Casi nunca",0.235,0.251,0.251
"P07","Nunca, pero esta es una excepción",0.067,0.055,0.07
"P09","Gran excedente habitual",0.018,0.005,0.017
"P09","Gran excedente excepcional",0.009,0.01,0.016
"P09","Pequeño excedente habitual",0.088,0.077,0.058
"P09","Pequeño excedente excepcional",0.156,0.134,0.149
"P09","Alcanza gastos familia",0.105,0.153,0.126
"P09","No alcanza gastos familia",0.064,0.061,0.08
"P09","Solo NBFamiliares",0.264,0.288,0.268
"P09","No alcanza NBFamiliares",0.289,0.269,0.282
"P09","No sabe",0.007,0.003,0.004
"P10","Tiene Decidido que va a ir a votar",0.907,0.871,0.87
"P10","Tiene dudas sobre si va a ir a  votar",0.067,0.101,0.1
"P10","Tiene Decidido que no va a ir a votar",0.026,0.028,0.03
"P13","Unión por la Patria",0.549,0.257,0.093
"P13","Juntos por el Cambio ",0.158,0.349,0.382
"P13","Liberales",0.133,0.235,0.361
"P13","Izquierda",0.042,0.036,0.025
"P13","Hacemos por Nuestro país",0.053,0.05,0.077
"P13","No sabe",0.065,0.073,0.062
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.554,0.279,0.124
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.191,0.414,0.46
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.172,0.209,0.337
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.019,0.022,0.015
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.026,0.018,0.011
"P14","En blanco",0.018,0.026,0.034
"P14","No sabe",0.02,0.032,0.019
"P17","Totalmente seguro",0.743,0.647,0.686
"P17","Bastante seguro",0.126,0.159,0.135
"P17","Algo seguro",0.07,0.13,0.11
"P17","Para nada seguro",0.061,0.064,0.069
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.094,0.104,0.231
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.062,0.099,0.366
