"var","categoria","Muy buena","Buena","Regular","Mala","Muy mala"
"P06","Mucho",0.632,0.497,0.442,0.321,0.427
"P06","Bastante",0.162,0.291,0.314,0.301,0.187
"P06","Poco",0.202,0.192,0.215,0.33,0.312
"P06","Nada",0.004,0.019,0.022,0.036,0.063
"P06","No sabe",0,0.001,0.007,0.012,0.011
"P07","Siempre",0.381,0.282,0.255,0.218,0.351
"P07","Casi siempre",0.289,0.444,0.439,0.423,0.295
"P07","Casi nunca",0.248,0.226,0.254,0.276,0.242
"P07","Nunca, pero esta es una excepción",0.082,0.048,0.052,0.083,0.112
"P09","Gran excedente habitual",0.086,0.028,0.005,0.005,0.011
"P09","Gran excedente excepcional",0.034,0.033,0.006,0.001,0.004
"P09","Pequeño excedente habitual",0.135,0.208,0.052,0.015,0.005
"P09","Pequeño excedente excepcional",0.139,0.23,0.168,0.062,0.05
"P09","Alcanza gastos familia",0.099,0.1,0.164,0.103,0.077
"P09","No alcanza gastos familia",0.059,0.043,0.055,0.096,0.076
"P09","Solo NBFamiliares",0.151,0.216,0.328,0.303,0.191
"P09","No alcanza NBFamiliares",0.297,0.13,0.218,0.414,0.582
"P09","No sabe",0,0.012,0.004,0.001,0.004
"P10","Tiene Decidido que va a ir a votar",0.939,0.938,0.894,0.857,0.828
"P10","Tiene dudas sobre si va a ir a  votar",0.048,0.043,0.087,0.116,0.107
"P10","Tiene Decidido que no va a ir a votar",0.013,0.019,0.019,0.027,0.065
"P13","Unión por la Patria",0.613,0.609,0.328,0.186,0.102
"P13","Juntos por el Cambio ",0.094,0.198,0.3,0.323,0.283
"P13","Liberales",0.132,0.127,0.223,0.27,0.32
"P13","Izquierda",0.053,0.018,0.032,0.042,0.048
"P13","Hacemos por Nuestro país",0.093,0.026,0.062,0.065,0.1
"P13","No sabe",0.015,0.022,0.055,0.114,0.147
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.553,0.596,0.36,0.217,0.12
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.164,0.22,0.348,0.395,0.375
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.183,0.144,0.216,0.27,0.327
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.017,0.008,0.016,0.033,0.022
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.06,0.008,0.018,0.023,0.041
"P14","En blanco",0.023,0.016,0.02,0.031,0.046
"P14","No sabe",0,0.008,0.022,0.031,0.069
"P17","Totalmente seguro",0.778,0.768,0.688,0.657,0.657
"P17","Bastante seguro",0.114,0.1,0.146,0.164,0.13
"P17","Algo seguro",0.079,0.096,0.116,0.094,0.077
"P17","Para nada seguro",0.029,0.036,0.05,0.085,0.136
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.109,0.071,0.124,0.123,0.299
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.059,0.066,0.107,0.133,0.135
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.286,0.24,0.256,0.269,0.158
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.266,0.265,0.241,0.125,0.192
