"var","categoria","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P06","Mucho",0.484,0.405,0.454,0.295
"P06","Bastante",0.261,0.331,0.228,0.273
"P06","Poco",0.22,0.235,0.265,0.331
"P06","Nada",0.024,0.024,0.05,0.071
"P06","No sabe",0.011,0.005,0.003,0.03
"P07","Siempre",0.266,0.263,0.277,0.219
"P07","Casi siempre",0.433,0.417,0.344,0.357
"P07","Casi nunca",0.242,0.25,0.301,0.322
"P07","Nunca, pero esta es una excepción",0.059,0.07,0.078,0.102
"P09","Gran excedente habitual",0.02,0.009,0.015,0.009
"P09","Gran excedente excepcional",0.014,0.008,0.015,0.006
"P09","Pequeño excedente habitual",0.094,0.062,0.067,0.015
"P09","Pequeño excedente excepcional",0.166,0.136,0.081,0.124
"P09","Alcanza gastos familia",0.115,0.133,0.134,0.109
"P09","No alcanza gastos familia",0.068,0.064,0.082,0.1
"P09","Solo NBFamiliares",0.256,0.296,0.278,0.25
"P09","No alcanza NBFamiliares",0.263,0.287,0.323,0.368
"P09","No sabe",0.004,0.005,0.005,0.019
"P10","Tiene Decidido que va a ir a votar",0.921,0.898,0.863,0.771
"P10","Tiene dudas sobre si va a ir a  votar",0.066,0.079,0.09,0.164
"P10","Tiene Decidido que no va a ir a votar",0.013,0.023,0.047,0.065
"P13","Unión por la Patria",0.751,0.028,0.166,0.079
"P13","Juntos por el Cambio ",0.08,0.538,0.081,0.109
"P13","Liberales",0.057,0.302,0.467,0.185
"P13","Izquierda",0.028,0.021,0.056,0.094
"P13","Hacemos por Nuestro país",0.033,0.071,0.136,0.138
"P13","No sabe",0.051,0.04,0.094,0.395
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.77,0.059,0.163,0.141
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.097,0.612,0.125,0.129
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.077,0.286,0.505,0.209
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.013,0.011,0.045,0.056
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.018,0.01,0.054,0.088
