"var","categoria","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda","En blanco","No sabe"
"P06","Mucho",0.192,0.54,0.156,0.16,0.167,0.667
"P06","Bastante",0.386,0.208,0.421,0.162,0.055,0.207
"P06","Poco",0.252,0.248,0.347,0.678,0.706,0.126
"P06","Nada",0.17,0.004,0.041,0,0.039,0
"P06","No sabe",0,0,0.035,0,0.033,0
"P07","Siempre",0.14,0.177,0.189,0.11,0.261,0.606
"P07","Casi siempre",0.429,0.707,0.235,0.102,0.549,0.187
"P07","Casi nunca",0.347,0.116,0.546,0.788,0.157,0.207
"P07","Nunca, pero esta es una excepción",0.084,0,0.03,0,0.033,0
"P09","Gran excedente habitual",0,0,0,0,0.006,0
"P09","Gran excedente excepcional",0,0,0,0,0.108,0
"P09","Pequeño excedente habitual",0.025,0.112,0.006,0,0,0.04
"P09","Pequeño excedente excepcional",0.179,0.015,0.076,0.034,0.018,0
"P09","Alcanza gastos familia",0.17,0.123,0.16,0.018,0.006,0.007
"P09","No alcanza gastos familia",0.022,0.048,0.023,0.013,0.409,0.028
"P09","Solo NBFamiliares",0.313,0.287,0.021,0.528,0.055,0.524
"P09","No alcanza NBFamiliares",0.291,0.415,0.714,0.407,0.398,0.401
"P09","No sabe",0,0,0,0,0,0
"P10","Tiene Decidido que va a ir a votar",0.668,0.893,0.558,0.966,0.959,0.993
"P10","Tiene dudas sobre si va a ir a  votar",0.33,0.093,0.429,0.034,0.025,0.007
"P10","Tiene Decidido que no va a ir a votar",0.002,0.014,0.013,0,0.016,0
"P13","Unión por la Patria",0.045,0,0,0,0.006,0
"P13","Juntos por el Cambio ",0,0.293,0.375,0.016,0.006,0.144
"P13","Liberales",0,0.024,0.119,0,0.018,0
"P13","Izquierda",0.361,0.401,0.013,0.934,0,0.027
"P13","Hacemos por Nuestro país",0.535,0.242,0.335,0.02,0.451,0.757
"P13","No sabe",0.059,0.04,0.158,0.03,0.519,0.072
"P17","Totalmente seguro",0.668,0.409,0.633,0.888,0.475,0.231
"P17","Bastante seguro",0.046,0.382,0.051,0.022,0,0.044
"P17","Algo seguro",0.013,0.107,0.283,0.03,0.101,0.481
"P17","Para nada seguro",0.273,0.102,0.033,0.06,0.424,0.244
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.362,0.34,0.532,0.024,0.042,0.516
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.291,0.393,0.368,0.007,0.03,0.041
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.193,0.117,0.056,0.042,0.909,0.216
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.011,0.081,0,0.408,0,0
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.143,0.066,0,0.475,0.006,0
"P36","No sabe",0,0.003,0.044,0.044,0.013,0.227
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.579,0.235,0.011,0.042,0.093,0.349
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.002,0.494,0.08,0.006,0.023,0.55
"P37","En blanco",0.324,0.175,0.609,0.395,0.884,0.008
"P37","No sabe",0.095,0.096,0.3,0.557,0,0.093
