"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P06","Mucho",0.424,0.226,0.189
"P06","Bastante",0.292,0.238,0.168
"P06","Poco",0.236,0.432,0.453
"P06","Nada",0.037,0.081,0.182
"P06","No sabe",0.011,0.023,0.008
"P07","Siempre",0.254,0.162,0.158
"P07","Casi siempre",0.391,0.346,0.235
"P07","Casi nunca",0.269,0.343,0.382
"P07","Nunca, pero esta es una excepción",0.086,0.149,0.225
"P09","Gran excedente habitual",0.015,0.005,0.009
"P09","Gran excedente excepcional",0.01,0.003,0.012
"P09","Pequeño excedente habitual",0.072,0.015,0.017
"P09","Pequeño excedente excepcional",0.138,0.064,0.032
"P09","Alcanza gastos familia",0.121,0.061,0.084
"P09","No alcanza gastos familia",0.074,0.09,0.4
"P09","Solo NBFamiliares",0.245,0.491,0.103
"P09","No alcanza NBFamiliares",0.319,0.27,0.333
"P09","No sabe",0.006,0.001,0.01
"P13","Unión por la Patria",0.349,0.187,0.14
"P13","Juntos por el Cambio ",0.258,0.241,0.189
"P13","Liberales",0.203,0.192,0.197
"P13","Izquierda",0.032,0.045,0.07
"P13","Hacemos por Nuestro país",0.076,0.074,0.083
"P13","No sabe",0.082,0.261,0.321
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.372,0.283,0.232
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.302,0.284,0.215
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.226,0.183,0.194
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.019,0.037,0.013
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.023,0.033,0.052
"P14","En blanco",0.027,0.081,0.176
"P14","No sabe",0.031,0.099,0.118
"P17","Totalmente seguro",0.697,0.434,0.535
"P17","Bastante seguro",0.137,0.167,0.094
"P17","Algo seguro",0.1,0.153,0.13
"P17","Para nada seguro",0.066,0.246,0.241
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.109,0.188,0.385
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.093,0.193,0.155
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.25,0.252,0.157
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.229,0.099,0.121
"P22","En blanco",0.199,0.154,0.042
"P22","No sabe",0.12,0.114,0.14
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.121,0.208,0.238
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.352,0.294,0.467
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.174,0.259,0.206
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.017,0.015,0.004
"P25","En blanco",0.201,0.168,0.057
"P25","No sabe",0.135,0.056,0.028
