"var","categoria","Muy baja","Baja","Moderada","Alta","Muy alta"
"P06","Mucho",0.486,0.386,0.459,0.431,0.44
"P06","Bastante",0.217,0.238,0.231,0.29,0.309
"P06","Poco",0.231,0.307,0.27,0.254,0.222
"P06","Nada",0.043,0.054,0.023,0.021,0.025
"P06","No sabe",0.023,0.015,0.017,0.004,0.004
"P07","Siempre",0.442,0.3,0.299,0.261,0.255
"P07","Casi siempre",0.254,0.351,0.419,0.459,0.42
"P07","Casi nunca",0.179,0.258,0.228,0.239,0.255
"P07","Nunca, pero esta es una excepción",0.125,0.091,0.054,0.041,0.07
"P09","Gran excedente habitual",0.012,0.033,0.006,0.016,0.013
"P09","Gran excedente excepcional",0.003,0.02,0.011,0.015,0.01
"P09","Pequeño excedente habitual",0.011,0.055,0.058,0.092,0.082
"P09","Pequeño excedente excepcional",0.089,0.104,0.136,0.182,0.137
"P09","Alcanza gastos familia",0.05,0.065,0.14,0.123,0.136
"P09","No alcanza gastos familia",0.091,0.098,0.06,0.054,0.065
"P09","Solo NBFamiliares",0.228,0.319,0.357,0.266,0.261
"P09","No alcanza NBFamiliares",0.516,0.296,0.219,0.25,0.291
"P09","No sabe",0,0.01,0.013,0.002,0.005
"P10","Tiene Decidido que va a ir a votar",0.943,0.774,0.852,0.902,0.897
"P10","Tiene dudas sobre si va a ir a  votar",0.05,0.201,0.13,0.067,0.075
"P10","Tiene Decidido que no va a ir a votar",0.007,0.025,0.018,0.031,0.028
"P13","Unión por la Patria",0.318,0.397,0.596,0.604,0.165
"P13","Juntos por el Cambio ",0.233,0.24,0.129,0.171,0.359
"P13","Liberales",0.125,0.148,0.118,0.114,0.309
"P13","Izquierda",0.064,0.025,0.022,0.04,0.034
"P13","Hacemos por Nuestro país",0.111,0.078,0.088,0.023,0.067
"P13","No sabe",0.149,0.112,0.047,0.048,0.066
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.368,0.452,0.613,0.595,0.185
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.231,0.242,0.166,0.205,0.436
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.241,0.198,0.154,0.122,0.288
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.037,0.02,0.023,0.023,0.015
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.05,0.016,0.016,0.012,0.025
"P14","En blanco",0.03,0.054,0.017,0.02,0.023
"P14","No sabe",0.043,0.018,0.011,0.023,0.028
"P17","Totalmente seguro",0.678,0.598,0.676,0.722,0.707
"P17","Bastante seguro",0.172,0.155,0.139,0.136,0.136
"P17","Algo seguro",0.079,0.178,0.137,0.096,0.086
"P17","Para nada seguro",0.071,0.069,0.048,0.046,0.071
