"var","categoria","Muy buena","Buena","Regular","Mala","Muy mala"
"P06","Mucho",0.589,0.479,0.414,0.349,0.386
"P06","Bastante",0.237,0.3,0.304,0.28,0.215
"P06","Poco",0.149,0.198,0.252,0.325,0.322
"P06","Nada",0.024,0.022,0.019,0.035,0.074
"P06","No sabe",0.001,0.001,0.011,0.011,0.003
"P07","Siempre",0.399,0.261,0.253,0.226,0.32
"P07","Casi siempre",0.333,0.448,0.439,0.407,0.275
"P07","Casi nunca",0.212,0.236,0.244,0.311,0.272
"P07","Nunca, pero esta es una excepción",0.056,0.055,0.064,0.056,0.133
"P09","Gran excedente habitual",0.057,0.018,0.007,0.002,0.003
"P09","Gran excedente excepcional",0.011,0.015,0.014,0.004,0.003
"P09","Pequeño excedente habitual",0.11,0.119,0.06,0.034,0.015
"P09","Pequeño excedente excepcional",0.149,0.166,0.148,0.11,0.096
"P09","Alcanza gastos familia",0.107,0.132,0.123,0.111,0.134
"P09","No alcanza gastos familia",0.058,0.057,0.067,0.078,0.064
"P09","Solo NBFamiliares",0.225,0.287,0.311,0.259,0.161
"P09","No alcanza NBFamiliares",0.272,0.2,0.266,0.402,0.523
"P09","No sabe",0.011,0.006,0.004,0,0.001
"P10","Tiene Decidido que va a ir a votar",0.938,0.923,0.891,0.791,0.861
"P10","Tiene dudas sobre si va a ir a  votar",0.029,0.061,0.086,0.179,0.076
"P10","Tiene Decidido que no va a ir a votar",0.033,0.016,0.023,0.03,0.063
"P13","Unión por la Patria",0.599,0.54,0.25,0.134,0.126
"P13","Juntos por el Cambio ",0.074,0.186,0.358,0.372,0.268
"P13","Liberales",0.219,0.178,0.223,0.251,0.313
"P13","Izquierda",0.031,0.03,0.031,0.049,0.046
"P13","Hacemos por Nuestro país",0.045,0.044,0.066,0.059,0.112
"P13","No sabe",0.032,0.022,0.072,0.135,0.135
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.575,0.541,0.286,0.168,0.127
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.137,0.222,0.397,0.453,0.393
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.256,0.189,0.225,0.218,0.289
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.007,0.013,0.02,0.038,0.018
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.005,0.013,0.027,0.028,0.034
"P14","En blanco",0.017,0.011,0.023,0.041,0.055
"P14","No sabe",0.003,0.011,0.022,0.054,0.084
"P17","Totalmente seguro",0.797,0.757,0.69,0.59,0.603
"P17","Bastante seguro",0.094,0.112,0.146,0.199,0.143
"P17","Algo seguro",0.063,0.099,0.109,0.094,0.124
"P17","Para nada seguro",0.046,0.032,0.055,0.117,0.13
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.079,0.092,0.117,0.223,0.131
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.08,0.076,0.102,0.18,0.242
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.268,0.242,0.279,0.239,0.163
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.247,0.266,0.213,0.125,0.172
"P22","En blanco",0.23,0.224,0.191,0.094,0.184
"P22","No sabe",0.096,0.1,0.098,0.139,0.108
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.299,0.144,0.117,0.128,0.103
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.302,0.381,0.348,0.392,0.423
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.263,0.17,0.169,0.153,0.174
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.011,0.018,0.013,0.017,0.015
"P25","En blanco",0.065,0.202,0.225,0.191,0.22
"P25","No sabe",0.06,0.085,0.128,0.119,0.065
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.21,0.156,0.123,0.162,0.063
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.286,0.486,0.509,0.439,0.352
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.105,0.158,0.146,0.18,0.189
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.06,0.04,0.008,0.014,0.05
"P28","En blanco",0.305,0.134,0.191,0.15,0.211
"P28","No sabe",0.034,0.026,0.023,0.055,0.135
"P31","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.2,0.176,0.302,0.073,0.458
"P31","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0,0.127,0.316,0.713,0.009
"P31","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.2,0.585,0.061,0.152,0.009
