"var","categoria","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda","En blanco","No sabe"
"P06","Mucho",0.417,0.365,0.433,0.344,0.45,0.193
"P06","Bastante",0.17,0.327,0.21,0.292,0.28,0.361
"P06","Poco",0.388,0.279,0.285,0.257,0.24,0.351
"P06","Nada",0.006,0.028,0.072,0.107,0.024,0.081
"P06","No sabe",0.019,0.001,0,0,0.006,0.014
"P07","Siempre",0.247,0.261,0.277,0.164,0.295,0.128
"P07","Casi siempre",0.366,0.361,0.334,0.41,0.277,0.271
"P07","Casi nunca",0.306,0.275,0.324,0.217,0.287,0.478
"P07","Nunca, pero esta es una excepción",0.081,0.103,0.065,0.209,0.141,0.123
"P09","Gran excedente habitual",0.003,0.007,0.028,0.007,0.016,0
"P09","Gran excedente excepcional",0.008,0.009,0.003,0.006,0.003,0.011
"P09","Pequeño excedente habitual",0.035,0.026,0.053,0.025,0.069,0.013
"P09","Pequeño excedente excepcional",0.045,0.127,0.13,0.061,0.078,0.157
"P09","Alcanza gastos familia",0.04,0.107,0.098,0.073,0.138,0.095
"P09","No alcanza gastos familia",0.115,0.069,0.041,0.052,0.058,0.044
"P09","Solo NBFamiliares",0.395,0.292,0.272,0.28,0.305,0.199
"P09","No alcanza NBFamiliares",0.354,0.359,0.367,0.496,0.333,0.474
"P09","No sabe",0.005,0.004,0.008,0,0,0.007
"P10","Tiene Decidido que va a ir a votar",0.819,0.907,0.899,0.902,0.975,0.885
"P10","Tiene dudas sobre si va a ir a  votar",0.105,0.075,0.075,0.087,0.012,0.093
"P10","Tiene Decidido que no va a ir a votar",0.076,0.018,0.026,0.011,0.013,0.022
"P13","Unión por la Patria",0.339,0.076,0.138,0.15,0.033,0.039
"P13","Juntos por el Cambio ",0.115,0.089,0.118,0.062,0.012,0.121
"P13","Liberales",0.358,0.621,0.527,0.509,0.746,0.625
"P13","Izquierda",0.003,0.025,0.015,0.04,0.013,0.027
"P13","Hacemos por Nuestro país",0.076,0.144,0.181,0.118,0.166,0.13
"P13","No sabe",0.109,0.045,0.021,0.121,0.03,0.058
"P17","Totalmente seguro",0.548,0.738,0.688,0.494,0.793,0.517
"P17","Bastante seguro",0.286,0.121,0.142,0.143,0.141,0.174
"P17","Algo seguro",0.078,0.116,0.116,0.057,0.053,0.135
"P17","Para nada seguro",0.088,0.025,0.054,0.306,0.013,0.174
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.538,0.637,0.592,0.347,0.718,0.568
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.099,0.197,0.228,0.28,0.064,0.053
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.228,0.105,0.101,0.026,0.012,0.014
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.064,0.037,0.031,0.287,0.024,0.088
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.023,0.003,0.022,0.032,0.125,0.015
"P36","No sabe",0.048,0.021,0.026,0.028,0.057,0.262
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.483,0.093,0.184,0.37,0.028,0.056
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.164,0.755,0.46,0.22,0.271,0.339
"P37","En blanco",0.272,0.1,0.274,0.14,0.681,0.119
"P37","No sabe",0.081,0.052,0.082,0.27,0.02,0.486
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.195,0.172,0.19,0.348,0.019,0.17
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.525,0.764,0.656,0.566,0.912,0.672
"P38","En blanco",0.192,0.048,0.108,0.067,0.066,0.032
"P38","No sabe",0.088,0.016,0.046,0.019,0.003,0.126
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.488,0.106,0.151,0.177,0.022,0.053
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.456,0.823,0.745,0.58,0.919,0.79
"P39","En blanco",0.038,0.052,0.068,0.191,0.055,0
