"var","categoria","Muy bajas","Bajas","Adecuadas","Altas","Muy altas"
"P06","Mucho",0.491,0.466,0.5,0.412,0.387
"P06","Bastante",0.221,0.33,0.296,0.287,0.274
"P06","Poco",0.257,0.171,0.189,0.263,0.294
"P06","Nada",0.029,0.026,0.013,0.03,0.033
"P06","No sabe",0.002,0.007,0.002,0.008,0.012
"P07","Siempre",0.279,0.259,0.282,0.273,0.272
"P07","Casi siempre",0.351,0.446,0.442,0.409,0.409
"P07","Casi nunca",0.286,0.237,0.236,0.25,0.236
"P07","Nunca, pero esta es una excepción",0.084,0.058,0.04,0.068,0.083
"P09","Gran excedente habitual",0.024,0.036,0.013,0.011,0.006
"P09","Gran excedente excepcional",0.007,0.03,0.016,0.005,0.007
"P09","Pequeño excedente habitual",0.112,0.117,0.108,0.057,0.047
"P09","Pequeño excedente excepcional",0.118,0.197,0.171,0.149,0.102
"P09","Alcanza gastos familia",0.067,0.102,0.135,0.149,0.106
"P09","No alcanza gastos familia",0.072,0.076,0.052,0.056,0.083
"P09","Solo NBFamiliares",0.218,0.277,0.325,0.274,0.235
"P09","No alcanza NBFamiliares",0.372,0.163,0.175,0.293,0.41
"P09","No sabe",0.01,0.002,0.005,0.006,0.004
"P10","Tiene Decidido que va a ir a votar",0.942,0.887,0.909,0.885,0.858
"P10","Tiene dudas sobre si va a ir a  votar",0.038,0.084,0.077,0.092,0.099
"P10","Tiene Decidido que no va a ir a votar",0.02,0.029,0.014,0.023,0.043
"P13","Unión por la Patria",0.222,0.29,0.495,0.389,0.206
"P13","Juntos por el Cambio ",0.28,0.361,0.257,0.246,0.281
"P13","Liberales",0.309,0.224,0.154,0.184,0.3
"P13","Izquierda",0.029,0.025,0.022,0.042,0.046
"P13","Hacemos por Nuestro país",0.084,0.039,0.029,0.052,0.1
"P13","No sabe",0.076,0.061,0.043,0.087,0.067
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.22,0.319,0.507,0.405,0.227
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.354,0.393,0.278,0.315,0.346
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.345,0.228,0.155,0.186,0.3
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.017,0.006,0.013,0.024,0.025
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.014,0.012,0.015,0.017,0.038
"P14","En blanco",0.022,0.027,0.009,0.028,0.035
"P14","No sabe",0.028,0.015,0.023,0.025,0.029
"P17","Totalmente seguro",0.663,0.755,0.72,0.696,0.664
"P17","Bastante seguro",0.151,0.122,0.128,0.135,0.16
"P17","Algo seguro",0.119,0.073,0.107,0.101,0.099
"P17","Para nada seguro",0.067,0.05,0.045,0.068,0.077
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.212,0.079,0.09,0.1,0.155
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.11,0.137,0.084,0.077,0.127
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.454,0.251,0.235,0.27,0.24
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.125,0.22,0.273,0.24,0.188
"P22","En blanco",0.043,0.24,0.207,0.199,0.207
"P22","No sabe",0.056,0.073,0.111,0.114,0.083
