"var","categoria","Muy positiva","Positiva","Neutral","Algo negativa","Negativa","No sabe"
"P06","Mucho",0.543,0.472,0.39,0.394,0.489,0.315
"P06","Bastante",0.226,0.314,0.306,0.292,0.245,0.332
"P06","Poco",0.206,0.196,0.257,0.295,0.232,0.296
"P06","Nada",0.023,0.016,0.033,0.016,0.018,0.045
"P06","No sabe",0.002,0.002,0.014,0.003,0.016,0.012
"P07","Siempre",0.35,0.256,0.284,0.266,0.299,0.2
"P07","Casi siempre",0.361,0.48,0.403,0.436,0.419,0.437
"P07","Casi nunca",0.24,0.233,0.235,0.228,0.2,0.252
"P07","Nunca, pero esta es una excepción",0.049,0.031,0.078,0.07,0.082,0.111
"P09","Gran excedente habitual",0.024,0.01,0.006,0.01,0.025,0.008
"P09","Gran excedente excepcional",0.017,0.012,0.007,0.009,0.008,0.005
"P09","Pequeño excedente habitual",0.105,0.108,0.069,0.051,0.062,0.035
"P09","Pequeño excedente excepcional",0.199,0.139,0.121,0.164,0.159,0.096
"P09","Alcanza gastos familia",0.115,0.125,0.123,0.132,0.132,0.158
"P09","No alcanza gastos familia",0.053,0.052,0.082,0.073,0.077,0.068
"P09","Solo NBFamiliares",0.247,0.277,0.282,0.221,0.283,0.353
"P09","No alcanza NBFamiliares",0.233,0.272,0.305,0.338,0.254,0.27
"P09","No sabe",0.007,0.005,0.005,0.002,0,0.007
"P10","Tiene Decidido que va a ir a votar",0.916,0.909,0.863,0.873,0.883,0.871
"P10","Tiene dudas sobre si va a ir a  votar",0.067,0.072,0.098,0.095,0.093,0.096
"P10","Tiene Decidido que no va a ir a votar",0.017,0.019,0.039,0.032,0.024,0.033
"P13","Unión por la Patria",0.632,0.543,0.188,0.207,0.032,0.201
"P13","Juntos por el Cambio ",0.108,0.164,0.346,0.382,0.492,0.327
"P13","Liberales",0.149,0.143,0.271,0.247,0.366,0.218
"P13","Izquierda",0.04,0.045,0.039,0.037,0.023,0.016
"P13","Hacemos por Nuestro país",0.041,0.048,0.072,0.074,0.047,0.064
"P13","No sabe",0.03,0.057,0.084,0.053,0.04,0.174
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.62,0.532,0.233,0.234,0.046,0.275
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.189,0.184,0.396,0.451,0.555,0.391
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.147,0.18,0.262,0.222,0.353,0.196
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.012,0.022,0.029,0.025,0.008,0.016
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.013,0.037,0.025,0.012,0.012,0.009
"P14","En blanco",0.009,0.026,0.032,0.029,0.02,0.033
"P14","No sabe",0.01,0.019,0.023,0.027,0.006,0.08
"P17","Totalmente seguro",0.752,0.706,0.662,0.673,0.805,0.588
"P17","Bastante seguro",0.092,0.148,0.157,0.155,0.105,0.163
"P17","Algo seguro",0.102,0.092,0.112,0.111,0.054,0.128
"P17","Para nada seguro",0.054,0.054,0.069,0.061,0.036,0.121
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.099,0.082,0.152,0.149,0.132,0.216
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.076,0.077,0.149,0.187,0.416,0.038
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.226,0.262,0.294,0.23,0.181,0.265
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.289,0.278,0.144,0.154,0.189,0.142
"P22","En blanco",0.217,0.204,0.146,0.197,0.041,0.185
"P22","No sabe",0.093,0.097,0.115,0.083,0.041,0.154
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.295,0.198,0.121,0.06,0.09,0.051
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.362,0.405,0.403,0.398,0.283,0.274
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.149,0.223,0.173,0.206,0.142,0.168
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.026,0.009,0.011,0.02,0.012,0.04
"P25","En blanco",0.109,0.116,0.186,0.208,0.344,0.224
"P25","No sabe",0.059,0.049,0.106,0.108,0.129,0.243
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.192,0.202,0.079,0.165,0.142,0.112
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.249,0.412,0.509,0.423,0.455,0.472
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.23,0.131,0.171,0.211,0.113,0.049
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.021,0.001,0.032,0.014,0.017,0.023
"P28","En blanco",0.268,0.225,0.163,0.173,0.212,0.271
"P28","No sabe",0.04,0.029,0.046,0.014,0.061,0.073
"P31","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.579,0.043,0.208,0.818,0,0.584
"P31","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.02,0.754,0.179,0.039,0.965,0.083
"P31","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.007,0.109,0.106,0.136,0.014,0.083
"P31","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0,0.014,0.085,0,0,0
"P31","En blanco",0.388,0.014,0.209,0,0.014,0.083
"P31","No sabe",0.006,0.066,0.213,0.007,0.007,0.167
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.258,0.275,0.455,0.418,0.561,0.41
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.151,0.164,0.206,0.254,0.219,0.205
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.396,0.351,0.178,0.146,0.09,0.13
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.12,0.107,0.063,0.066,0.043,0.088
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.058,0.075,0.042,0.074,0.043,0.027
"P36","No sabe",0.017,0.028,0.056,0.042,0.044,0.14
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.671,0.552,0.286,0.238,0.1,0.285
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.173,0.261,0.506,0.592,0.706,0.466
"P37","En blanco",0.106,0.115,0.151,0.102,0.138,0.077
"P37","No sabe",0.05,0.072,0.057,0.068,0.056,0.172
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.249,0.262,0.431,0.496,0.569,0.37
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.189,0.203,0.305,0.248,0.354,0.269
"P38","En blanco",0.416,0.384,0.155,0.165,0.044,0.174
"P38","No sabe",0.146,0.151,0.109,0.091,0.033,0.187
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.666,0.576,0.28,0.242,0.111,0.324
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.196,0.258,0.439,0.425,0.544,0.354
"P39","En blanco",0.084,0.099,0.171,0.202,0.242,0.132
"P39","No sabe",0.054,0.067,0.11,0.131,0.103,0.19
"P40","Lo votaría",0.662,0.565,0.244,0.256,0.09,0.244
"P40","Puede que lo vote",0.113,0.096,0.086,0.103,0.084,0.072
"P40","Nunca lo votaría",0.19,0.304,0.616,0.604,0.797,0.586
"P40","No sabe",0.035,0.035,0.054,0.037,0.029,0.098
"P41","Lo votaría",0.182,0.241,0.373,0.482,0.548,0.307
"P41","Puede que lo vote",0.085,0.13,0.169,0.156,0.138,0.2
"P41","Nunca lo votaría",0.703,0.592,0.404,0.317,0.296,0.389
"P41","No sabe",0.03,0.037,0.054,0.045,0.018,0.104
"P42","Lo votaría",0.17,0.201,0.313,0.252,0.421,0.248
"P42","Puede que lo vote",0.095,0.116,0.194,0.226,0.181,0.183
"P42","Nunca lo votaría",0.707,0.657,0.432,0.463,0.347,0.454
"P42","No sabe",0.028,0.026,0.061,0.059,0.051,0.115
"P43","Lo votaría",0.152,0.142,0.082,0.073,0.065,0.04
"P43","Puede que lo vote",0.333,0.327,0.171,0.198,0.096,0.242
"P43","Nunca lo votaría",0.465,0.484,0.661,0.699,0.787,0.59
"P43","No sabe",0.05,0.047,0.086,0.03,0.052,0.128
"P44","Lo votaría",0.111,0.093,0.085,0.097,0.051,0.072
"P44","Puede que lo vote",0.253,0.315,0.254,0.275,0.184,0.264
"P44","Nunca lo votaría",0.582,0.518,0.567,0.571,0.716,0.484
"P44","No sabe",0.054,0.074,0.094,0.057,0.049,0.18
"P53","Sergio Massa y Javier Milei",0.648,0.551,0.361,0.285,0.195,0.309
"P53","Patricia Bullrich y Javier Milei",0.207,0.285,0.509,0.541,0.683,0.534
"P53","Sergio Massa y Patricia Bullrich",0.145,0.164,0.13,0.174,0.122,0.157
