"var","categoria","Unión por la Patria","Juntos por el Cambio ","Liberales","Izquierda","Hacemos por Nuestro país","No sabe"
"P06","Mucho",0.517,0.415,0.397,0.434,0.291,0.213
"P06","Bastante",0.266,0.332,0.297,0.236,0.22,0.262
"P06","Poco",0.193,0.218,0.267,0.278,0.375,0.375
"P06","Nada",0.016,0.028,0.035,0.052,0.091,0.119
"P06","No sabe",0.008,0.007,0.004,0,0.023,0.031
"P07","Siempre",0.272,0.264,0.257,0.253,0.224,0.176
"P07","Casi siempre",0.433,0.426,0.352,0.384,0.318,0.339
"P07","Casi nunca",0.245,0.233,0.292,0.279,0.369,0.302
"P07","Nunca, pero esta es una excepción",0.05,0.077,0.099,0.084,0.089,0.183
"P09","Gran excedente habitual",0.021,0.008,0.011,0.016,0.012,0.008
"P09","Gran excedente excepcional",0.015,0.008,0.012,0.009,0.009,0.002
"P09","Pequeño excedente habitual",0.103,0.066,0.054,0.052,0.027,0.02
"P09","Pequeño excedente excepcional",0.17,0.123,0.099,0.108,0.143,0.088
"P09","Alcanza gastos familia",0.112,0.128,0.133,0.133,0.069,0.099
"P09","No alcanza gastos familia",0.058,0.078,0.076,0.048,0.099,0.169
"P09","Solo NBFamiliares",0.261,0.284,0.298,0.302,0.188,0.234
"P09","No alcanza NBFamiliares",0.255,0.299,0.312,0.332,0.445,0.371
"P09","No sabe",0.005,0.006,0.005,0,0.008,0.009
"P10","Tiene Decidido que va a ir a votar",0.935,0.891,0.882,0.816,0.877,0.679
"P10","Tiene dudas sobre si va a ir a  votar",0.051,0.084,0.085,0.115,0.086,0.218
"P10","Tiene Decidido que no va a ir a votar",0.014,0.025,0.033,0.069,0.037,0.103
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.861,0.107,0.067,0.19,0.097,0.182
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.056,0.798,0.265,0.171,0.076,0.077
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.071,0.066,0.653,0.124,0.442,0.118
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.004,0.008,0.006,0.171,0.107,0.026
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.001,0.006,0.002,0.248,0.159,0.023
"P14","En blanco",0.003,0.002,0.002,0.032,0.061,0.295
"P14","No sabe",0.004,0.013,0.005,0.064,0.058,0.279
"P17","Totalmente seguro",0.78,0.709,0.721,0.53,0.476,0.256
"P17","Bastante seguro",0.111,0.154,0.137,0.245,0.211,0.099
"P17","Algo seguro",0.082,0.1,0.104,0.115,0.171,0.15
"P17","Para nada seguro",0.027,0.037,0.038,0.11,0.142,0.495
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.09,0.311,0.375,0.028,0.079,0.138
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.074,0.219,0.352,0.087,0.143,0.141
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.259,0.172,0.23,0.23,0.182,0.224
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.251,0.097,0.003,0.22,0.234,0.038
"P22","En blanco",0.217,0.076,0.032,0.283,0.12,0.101
"P22","No sabe",0.109,0.125,0.008,0.152,0.242,0.358
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.497,0.096,0.15,0.139,0.018,0.098
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.21,0.332,0.465,0.27,0.478,0.299
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.206,0.186,0.149,0.284,0.179,0.172
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.031,0.013,0.01,0.063,0,0.078
"P25","En blanco",0.01,0.238,0.127,0.096,0.118,0.147
"P25","No sabe",0.046,0.135,0.099,0.148,0.207,0.206
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.415,0.191,0.084,0.022,0.075,0.295
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.304,0.482,0.479,0.601,0.462,0.401
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.166,0.192,0.123,0.107,0.175,0.057
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.045,0.025,0.029,0.071,0.028,0.08
"P28","En blanco",0.05,0.026,0.223,0.118,0.206,0.101
"P28","No sabe",0.02,0.084,0.062,0.081,0.054,0.066
"P31","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.949,0,0,0.351,0.396,0.143
"P31","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0,0.524,0.255,0.326,0.15,0.083
"P31","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0,0.346,0.653,0.005,0.107,0.168
"P31","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0,0.012,0,0.308,0.005,0.025
"P31","En blanco",0.051,0.005,0.092,0,0.136,0.517
"P31","No sabe",0,0.113,0,0.01,0.206,0.064
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.124,0.48,0.679,0.229,0.46,0.305
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.126,0.316,0.163,0.164,0.185,0.138
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.491,0.096,0.065,0.237,0.159,0.102
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.152,0.035,0.017,0.113,0.094,0.189
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.068,0.028,0.038,0.189,0.042,0.03
"P36","No sabe",0.039,0.045,0.038,0.068,0.06,0.236
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.892,0.123,0.109,0.332,0.192,0.25
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.032,0.805,0.564,0.234,0.404,0.19
