"var","categoria","Sergio Massa y Javier Milei","Patricia Bullrich y Javier Milei","Sergio Massa y Patricia Bullrich"
"P06","Mucho",0.484,0.407,0.398
"P06","Bastante",0.273,0.322,0.226
"P06","Poco",0.204,0.243,0.338
"P06","Nada",0.03,0.022,0.031
"P06","No sabe",0.009,0.006,0.007
"P07","Siempre",0.267,0.255,0.318
"P07","Casi siempre",0.427,0.419,0.348
"P07","Casi nunca",0.252,0.252,0.252
"P07","Nunca, pero esta es una excepción",0.054,0.074,0.082
"P09","Gran excedente habitual",0.021,0.009,0.008
"P09","Gran excedente excepcional",0.017,0.008,0.006
"P09","Pequeño excedente habitual",0.089,0.062,0.067
"P09","Pequeño excedente excepcional",0.165,0.128,0.106
"P09","Alcanza gastos familia",0.113,0.133,0.154
"P09","No alcanza gastos familia",0.063,0.061,0.07
"P09","Solo NBFamiliares",0.268,0.282,0.297
"P09","No alcanza NBFamiliares",0.259,0.312,0.287
"P09","No sabe",0.005,0.005,0.005
"P10","Tiene Decidido que va a ir a votar",0.911,0.906,0.803
"P10","Tiene dudas sobre si va a ir a  votar",0.065,0.072,0.162
"P10","Tiene Decidido que no va a ir a votar",0.024,0.022,0.035
"P13","Unión por la Patria",0.591,0.092,0.354
"P13","Juntos por el Cambio ",0.068,0.473,0.282
"P13","Liberales",0.18,0.29,0.154
"P13","Izquierda",0.04,0.025,0.041
"P13","Hacemos por Nuestro país",0.057,0.064,0.058
"P13","No sabe",0.064,0.056,0.111
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.603,0.099,0.412
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.097,0.557,0.32
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.208,0.272,0.149
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.021,0.013,0.025
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.027,0.014,0.024
"P14","En blanco",0.024,0.017,0.041
"P14","No sabe",0.02,0.028,0.029
"P17","Totalmente seguro",0.735,0.686,0.66
"P17","Bastante seguro",0.116,0.152,0.14
"P17","Algo seguro",0.089,0.102,0.132
"P17","Para nada seguro",0.06,0.06,0.068
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.078,0.278,0.157
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.082,0.143,0.097
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.253,0.157,0.267
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.25,0.191,0.205
"P22","En blanco",0.225,0.135,0.182
"P22","No sabe",0.112,0.096,0.092
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.314,0.078,0.188
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.443,0.389,0.234
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.15,0.177,0.174
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.004,0.015,0.028
"P25","En blanco",0.052,0.212,0.283
"P25","No sabe",0.037,0.129,0.093
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.215,0.076,0.15
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.292,0.611,0.47
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.182,0.111,0.182
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.022,0.035,0.026
"P28","En blanco",0.236,0.136,0.166
"P28","No sabe",0.053,0.031,0.006
"P31","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.506,0.008,0.097
