"var","categoria","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P06","Mucho",0.492,0.394,0.423,0.35
"P06","Bastante",0.274,0.294,0.301,0.28
"P06","Poco",0.201,0.267,0.249,0.294
"P06","Nada",0.024,0.039,0.025,0.048
"P06","No sabe",0.009,0.006,0.002,0.028
"P07","Siempre",0.27,0.258,0.267,0.249
"P07","Casi siempre",0.438,0.363,0.444,0.384
"P07","Casi nunca",0.238,0.285,0.235,0.267
"P07","Nunca, pero esta es una excepción",0.054,0.094,0.054,0.1
"P09","Gran excedente habitual",0.022,0.01,0.009,0.006
"P09","Gran excedente excepcional",0.014,0.008,0.013,0.006
"P09","Pequeño excedente habitual",0.097,0.059,0.061,0.036
"P09","Pequeño excedente excepcional",0.161,0.131,0.116,0.124
"P09","Alcanza gastos familia",0.112,0.14,0.124,0.109
"P09","No alcanza gastos familia",0.076,0.066,0.07,0.093
"P09","Solo NBFamiliares",0.258,0.285,0.267,0.309
"P09","No alcanza NBFamiliares",0.254,0.296,0.338,0.303
"P09","No sabe",0.006,0.005,0.002,0.014
"P10","Tiene Decidido que va a ir a votar",0.913,0.907,0.857,0.811
"P10","Tiene dudas sobre si va a ir a  votar",0.066,0.072,0.113,0.131
"P10","Tiene Decidido que no va a ir a votar",0.021,0.021,0.03,0.058
"P13","Unión por la Patria",0.754,0.034,0.125,0.07
"P13","Juntos por el Cambio ",0.093,0.294,0.554,0.422
"P13","Liberales",0.043,0.491,0.134,0.064
"P13","Izquierda",0.03,0.025,0.04,0.059
"P13","Hacemos por Nuestro país",0.025,0.113,0.066,0.08
"P13","No sabe",0.055,0.043,0.081,0.305
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.767,0.064,0.135,0.115
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.107,0.364,0.626,0.443
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.069,0.516,0.087,0.05
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.017,0.013,0.036,0.03
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.015,0.018,0.033,0.064
"P14","En blanco",0.016,0.016,0.055,0.107
"P14","No sabe",0.009,0.009,0.028,0.191
"P17","Totalmente seguro",0.74,0.699,0.682,0.466
"P17","Bastante seguro",0.131,0.143,0.108,0.153
"P17","Algo seguro",0.089,0.111,0.121,0.111
"P17","Para nada seguro",0.04,0.047,0.089,0.27
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.096,0.321,0.147,0.214
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.074,0.424,0.185,0.149
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.255,0.22,0.222,0.233
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.247,0.009,0.161,0.152
"P22","En blanco",0.209,0.012,0.216,0.039
"P22","No sabe",0.119,0.014,0.069,0.213
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.403,0.088,0.054,0.075
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.217,0.653,0.135,0.141
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.218,0.136,0.211,0.208
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.01,0.015,0.007,0.034
"P25","En blanco",0.076,0.052,0.534,0.094
"P25","No sabe",0.076,0.056,0.059,0.448
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.442,0.079,0.092,0.09
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.33,0.494,0.443,0.33
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.146,0.139,0.179,0.191
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.036,0.023,0.106,0.059
"P28","En blanco",0.027,0.212,0.18,0.026
"P28","No sabe",0.019,0.053,0,0.304
"P31","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.58,0.251,0.161,0.046
"P31","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.171,0.262,0.247,0.599
"P31","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.003,0.242,0.142,0.181
"P31","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.12,0.004,0.139,0.046
"P31","En blanco",0.05,0.009,0.308,0
"P31","No sabe",0.076,0.232,0.003,0.128
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.191,0.608,0.402,0.318
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.137,0.231,0.223,0.206
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.418,0.073,0.18,0.128
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.139,0.03,0.068,0.15
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.069,0.026,0.074,0.027
"P36","No sabe",0.046,0.032,0.053,0.171
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.848,0.083,0.151,0.083
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.085,0.693,0.578,0.404
"P37","En blanco",0.04,0.165,0.238,0.043
"P37","No sabe",0.027,0.059,0.033,0.47
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.278,0.35,0.592,0.443
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.066,0.609,0.087,0.069
"P38","En blanco",0.467,0.023,0.294,0.039
"P38","No sabe",0.189,0.018,0.027,0.449
"P40","Lo votaría",0.814,0.069,0.143,0.096
"P40","Puede que lo vote",0.071,0.152,0.061,0.092
"P40","Nunca lo votaría",0.092,0.753,0.758,0.518
"P40","No sabe",0.023,0.026,0.038,0.294
"P41","Lo votaría",0.172,0.365,0.568,0.434
"P41","Puede que lo vote",0.086,0.252,0.078,0.117
"P41","Nunca lo votaría",0.699,0.348,0.318,0.208
"P41","No sabe",0.043,0.035,0.036,0.241
"P42","Lo votaría",0.067,0.569,0.103,0.124
"P42","Puede que lo vote",0.074,0.288,0.094,0.146
"P42","Nunca lo votaría",0.824,0.116,0.739,0.458
"P42","No sabe",0.035,0.027,0.064,0.272
"P43","Lo votaría",0.142,0.095,0.041,0.079
"P43","Puede que lo vote",0.339,0.174,0.152,0.179
"P43","Nunca lo votaría",0.448,0.688,0.74,0.504
"P43","No sabe",0.071,0.043,0.067,0.238
"P44","Lo votaría",0.118,0.074,0.08,0.096
"P44","Puede que lo vote",0.284,0.265,0.212,0.211
"P44","Nunca lo votaría",0.529,0.609,0.631,0.375
"P44","No sabe",0.069,0.052,0.077,0.318
"P53","Sergio Massa y Javier Milei",0.684,0.297,0.195,0.241
"P53","Patricia Bullrich y Javier Milei",0.141,0.622,0.618,0.545
"P53","Sergio Massa y Patricia Bullrich",0.175,0.081,0.187,0.214
"P54","Muy buena",0.09,0.054,0.05,0.058
"P54","Buena",0.153,0.082,0.077,0.116
"P54","Regular",0.398,0.046,0.093,0.085
"P54","Mala",0.243,0.216,0.222,0.361
"P54","Muy mala",0.116,0.602,0.558,0.38
"P55","Muy buena",0.079,0.017,0.014,0.041
"P55","Buena",0.264,0.02,0.041,0.035
"P55","Regular",0.346,0.045,0.106,0.109
"P55","Mala",0.183,0.244,0.21,0.318
"P55","Muy mala",0.128,0.674,0.629,0.497
"P56","Muy buena",0.183,0.074,0.034,0.046
"P56","Buena",0.344,0.171,0.14,0.128
"P56","Regular",0.308,0.372,0.358,0.402
"P56","Mala",0.108,0.215,0.285,0.265
"P56","Muy mala",0.057,0.168,0.183,0.159
"P57","Muy buena",0.079,0.028,0.027,0.024
"P57","Buena",0.308,0.133,0.159,0.093
"P57","Regular",0.42,0.446,0.428,0.446
"P57","Mala",0.14,0.244,0.232,0.292
