"var","categoria","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda","En blanco","No sabe"
"P06","Mucho",0.435,0.393,0.451,0.613,0.553,0.391
"P06","Bastante",0.264,0.186,0.316,0.274,0.286,0.309
"P06","Poco",0.269,0.386,0.207,0.102,0.139,0.223
"P06","Nada",0.024,0.02,0.014,0.006,0.016,0.047
"P06","No sabe",0.008,0.015,0.012,0.005,0.006,0.03
"P07","Siempre",0.237,0.321,0.27,0.273,0.283,0.197
"P07","Casi siempre",0.387,0.367,0.407,0.49,0.437,0.529
"P07","Casi nunca",0.294,0.246,0.278,0.208,0.228,0.208
"P07","Nunca, pero esta es una excepción",0.082,0.066,0.045,0.029,0.052,0.066
"P09","Gran excedente habitual",0.026,0.004,0.026,0.032,0.027,0.005
"P09","Gran excedente excepcional",0.005,0.029,0.023,0.012,0.013,0.005
"P09","Pequeño excedente habitual",0.062,0.04,0.116,0.145,0.097,0.073
"P09","Pequeño excedente excepcional",0.153,0.157,0.13,0.217,0.174,0.107
"P09","Alcanza gastos familia",0.114,0.076,0.106,0.109,0.153,0.161
"P09","No alcanza gastos familia",0.091,0.085,0.059,0.039,0.056,0.178
"P09","Solo NBFamiliares",0.269,0.226,0.261,0.269,0.267,0.207
"P09","No alcanza NBFamiliares",0.27,0.363,0.277,0.172,0.209,0.254
"P09","No sabe",0.01,0.02,0.002,0.005,0.004,0.01
"P10","Tiene Decidido que va a ir a votar",0.841,0.849,0.924,0.961,0.945,0.918
"P10","Tiene dudas sobre si va a ir a  votar",0.101,0.123,0.065,0.029,0.051,0.061
"P10","Tiene Decidido que no va a ir a votar",0.058,0.028,0.011,0.01,0.004,0.021
"P13","Unión por la Patria",0.612,0.595,0.843,0.923,0.906,0.73
"P13","Juntos por el Cambio ",0.197,0.164,0.052,0.033,0.03,0.078
"P13","Liberales",0.124,0.138,0.037,0.001,0.006,0.003
"P13","Izquierda",0.004,0.014,0.015,0.016,0.024,0.02
"P13","Hacemos por Nuestro país",0.012,0.026,0.013,0.019,0.011,0.037
"P13","No sabe",0.051,0.063,0.04,0.008,0.023,0.132
"P17","Totalmente seguro",0.684,0.692,0.754,0.809,0.78,0.708
"P17","Bastante seguro",0.111,0.13,0.144,0.116,0.111,0.137
"P17","Algo seguro",0.133,0.083,0.085,0.055,0.084,0.144
"P17","Para nada seguro",0.072,0.095,0.017,0.02,0.025,0.011
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.328,0.412,0.218,0.039,0.063,0.049
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.219,0.197,0.207,0.082,0.048,0.088
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.343,0.231,0.46,0.537,0.495,0.378
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.072,0.051,0.076,0.268,0.144,0.224
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.007,0.059,0.022,0.062,0.212,0.028
"P36","No sabe",0.031,0.05,0.017,0.012,0.038,0.233
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.626,0.677,0.873,0.913,0.95,0.902
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.245,0.174,0.041,0.011,0.019,0.021
"P37","En blanco",0.067,0.067,0.053,0.058,0.023,0.031
"P37","No sabe",0.062,0.082,0.033,0.018,0.008,0.046
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.502,0.422,0.218,0.156,0.091,0.09
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.173,0.374,0.093,0.017,0.02,0.017
"P38","En blanco",0.193,0.142,0.476,0.645,0.804,0.316
"P38","No sabe",0.132,0.062,0.213,0.182,0.085,0.577
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.708,0.614,0.869,0.936,0.929,0.895
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.161,0.241,0.051,0.002,0.004,0.008
"P39","En blanco",0.067,0.095,0.047,0.038,0.06,0.032
"P39","No sabe",0.064,0.05,0.033,0.024,0.007,0.065
"P40","Lo votaría",0.585,0.641,0.856,0.94,0.932,0.936
"P40","Puede que lo vote",0.146,0.092,0.048,0.021,0.012,0.027
"P40","Nunca lo votaría",0.237,0.231,0.051,0.023,0.043,0.029
"P40","No sabe",0.032,0.036,0.045,0.016,0.013,0.008
"P41","Lo votaría",0.269,0.225,0.142,0.086,0.074,0.059
"P41","Puede que lo vote",0.24,0.091,0.092,0.013,0.021,0.062
"P41","Nunca lo votaría",0.432,0.623,0.724,0.87,0.888,0.742
"P41","No sabe",0.059,0.061,0.042,0.031,0.017,0.137
"P42","Lo votaría",0.126,0.135,0.049,0.008,0.006,0.011
"P42","Puede que lo vote",0.188,0.23,0.056,0.026,0.038,0.022
"P42","Nunca lo votaría",0.654,0.572,0.855,0.935,0.948,0.898
"P42","No sabe",0.032,0.063,0.04,0.031,0.008,0.069
"P43","Lo votaría",0.123,0.098,0.135,0.28,0.056,0.052
"P43","Puede que lo vote",0.245,0.227,0.349,0.524,0.358,0.285
"P43","Nunca lo votaría",0.514,0.636,0.455,0.161,0.536,0.493
"P43","No sabe",0.118,0.039,0.061,0.035,0.05,0.17
"P44","Lo votaría",0.09,0.118,0.254,0.047,0.042,0.056
"P44","Puede que lo vote",0.224,0.192,0.433,0.303,0.21,0.219
"P44","Nunca lo votaría",0.531,0.647,0.269,0.59,0.693,0.585
"P44","No sabe",0.155,0.043,0.044,0.06,0.055,0.14
"P53","Sergio Massa y Javier Milei",0.492,0.646,0.745,0.763,0.781,0.754
"P53","Patricia Bullrich y Javier Milei",0.279,0.178,0.074,0.093,0.074,0.103
"P53","Sergio Massa y Patricia Bullrich",0.229,0.176,0.181,0.144,0.145,0.143
"P54","Muy buena",0.107,0.194,0.118,0.066,0.069,0.089
"P54","Buena",0.121,0.138,0.135,0.171,0.178,0.224
"P54","Regular",0.277,0.276,0.413,0.479,0.484,0.431
"P54","Mala",0.356,0.232,0.235,0.228,0.192,0.226
"P54","Muy mala",0.139,0.16,0.099,0.056,0.077,0.03
"P55","Muy buena",0.119,0.072,0.086,0.075,0.089,0.082
"P55","Buena",0.101,0.148,0.264,0.402,0.36,0.32
"P55","Regular",0.299,0.327,0.408,0.36,0.352,0.31
"P55","Mala",0.234,0.192,0.181,0.124,0.117,0.254
"P55","Muy mala",0.247,0.261,0.061,0.039,0.082,0.034
"P56","Muy buena",0.1,0.174,0.176,0.247,0.259,0.225
"P56","Buena",0.33,0.236,0.373,0.382,0.418,0.38
"P56","Regular",0.353,0.296,0.333,0.274,0.22,0.276
"P56","Mala",0.141,0.154,0.074,0.069,0.065,0.095
"P56","Muy mala",0.076,0.14,0.044,0.028,0.038,0.024
"P57","Muy buena",0.074,0.048,0.086,0.086,0.085,0.037
"P57","Buena",0.215,0.236,0.321,0.379,0.422,0.324
"P57","Regular",0.48,0.49,0.439,0.441,0.337,0.461
"P57","Mala",0.134,0.174,0.131,0.065,0.13,0.155
"P57","Muy mala",0.097,0.052,0.023,0.029,0.026,0.023
"P58","Muy buena",0.066,0.089,0.123,0.173,0.131,0.071
"P58","Buena",0.236,0.248,0.315,0.393,0.478,0.332
"P58","Regular",0.34,0.371,0.437,0.324,0.285,0.413
"P58","Mala",0.252,0.227,0.105,0.093,0.06,0.15
"P58","Muy mala",0.106,0.065,0.02,0.017,0.046,0.034
"P59","Muy buena",0.127,0.145,0.181,0.181,0.193,0.164
"P59","Buena",0.376,0.348,0.413,0.493,0.475,0.43
"P59","Regular",0.332,0.323,0.33,0.274,0.281,0.292
"P59","Mala",0.135,0.122,0.06,0.034,0.029,0.088
"P59","Muy mala",0.03,0.062,0.016,0.018,0.022,0.026
"P60","Ha aumentado significativamente",0.121,0.098,0.175,0.141,0.151,0.097
"P60","Ha aumentado ligeramente",0.189,0.328,0.247,0.36,0.345,0.343
"P60","Se mantiene igual",0.341,0.332,0.305,0.341,0.321,0.376
"P60","Ha disminuido ligeramente",0.24,0.131,0.18,0.118,0.141,0.113
"P60","Ha disminuido significativamente",0.109,0.111,0.093,0.04,0.042,0.071
"P61","Muy baja",0.083,0.066,0.047,0.029,0.053,0.049
"P61","Baja",0.091,0.133,0.087,0.068,0.058,0.118
"P61","Moderada",0.132,0.109,0.2,0.151,0.164,0.239
"P61","Alta",0.335,0.335,0.418,0.514,0.483,0.397
"P61","Muy alta",0.359,0.357,0.248,0.238,0.242,0.197
"P62","Muy bajas",0.059,0.035,0.053,0.016,0.006,0.016
"P62","Bajas",0.066,0.13,0.087,0.083,0.106,0.064
"P62","Adecuadas",0.295,0.315,0.323,0.404,0.361,0.381
"P62","Altas",0.339,0.295,0.381,0.365,0.356,0.403
"P62","Muy altas",0.241,0.225,0.156,0.132,0.171,0.136
"P63","No, ninguna dificultad",0.334,0.249,0.401,0.549,0.494,0.409
"P63","Alguna dificultad ocasional",0.304,0.299,0.354,0.247,0.244,0.277
"P63","Sí, dificultades frecuentes",0.362,0.452,0.245,0.204,0.262,0.314
"P64","Sí, absolutamente",0.589,0.438,0.657,0.775,0.74,0.664
"P64","Sí, en cierta medida",0.237,0.252,0.283,0.206,0.219,0.291
"P64","No, en absoluto",0.174,0.31,0.06,0.019,0.041,0.045
"P65","Reducir la inflación",0.516,0.404,0.527,0.53,0.532,0.467
"P65","Implementar reformas fiscales",0.102,0.148,0.141,0.147,0.096,0.102
"P65","Establecer políticas de control de precios",0.187,0.162,0.213,0.26,0.327,0.317
"P65","Reducir el gasto público",0.131,0.165,0.057,0.022,0.009,0.059
"P65","Estimular la inversión extranjera",0.061,0.062,0.046,0.027,0.02,0.03
"P65","Aumentar los subsidios a los servicios públicos",0.003,0.059,0.016,0.014,0.016,0.025
"P66","Fomentar la competencia entre proveedores",0.291,0.324,0.301,0.214,0.157,0.176
"P66","Incrementar la inversión en infraestructura",0.193,0.255,0.228,0.233,0.196,0.163
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.278,0.169,0.204,0.236,0.25,0.336
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.238,0.252,0.267,0.317,0.397,0.325
"P67","Muy positiva",0.336,0.303,0.353,0.468,0.433,0.361
"P67","Positiva",0.21,0.23,0.306,0.338,0.306,0.282
"P67","Neutral",0.221,0.253,0.196,0.099,0.124,0.191
"P67","Algo negativa",0.089,0.13,0.063,0.044,0.069,0.056
"P67","Negativa",0.015,0.057,0.01,0.011,0.003,0.005
"P67","No sabe",0.129,0.027,0.072,0.04,0.065,0.105
"P68","Muy positivo",0.254,0.207,0.334,0.351,0.344,0.23
"P68","Positivo",0.218,0.242,0.335,0.457,0.36,0.422
"P68","Neutral",0.271,0.33,0.187,0.141,0.199,0.18
"P68","Algo negativo",0.091,0.055,0.041,0.015,0.023,0.046
"P68","Negativo",0.016,0.116,0.008,0.003,0.007,0.008
"P68","No sabe",0.15,0.05,0.095,0.033,0.067,0.114
"P69","Muy positivo",0.135,0.205,0.25,0.249,0.209,0.187
"P69","Positivo",0.287,0.209,0.286,0.283,0.285,0.294
"P69","Neutral",0.235,0.349,0.297,0.395,0.349,0.321
"P69","Algo negativo",0.187,0.068,0.03,0.002,0.008,0.085
"P69","Negativo",0.018,0.084,0.011,0.003,0.011,0
"P69","No sabe",0.138,0.085,0.126,0.068,0.138,0.113
"P70","Muy positiva",0.414,0.379,0.632,0.745,0.645,0.538
"P70","Positiva",0.223,0.253,0.215,0.156,0.26,0.298
"P70","Neutral",0.177,0.245,0.099,0.084,0.057,0.068
"P70","Algo negativa",0.071,0.011,0.017,0.003,0.019,0.04
"P70","Negativa",0.107,0.062,0.015,0.002,0,0
"P70","No sabe",0.008,0.05,0.022,0.01,0.019,0.056
"P71","Muy positivo",0.469,0.378,0.626,0.695,0.685,0.62
"P71","Positivo",0.258,0.312,0.228,0.238,0.216,0.21
"P71","Neutral",0.083,0.206,0.086,0.043,0.064,0.064
"P71","Algo negativo",0.073,0.049,0.019,0.004,0.013,0.04
"P71","Negativo",0.102,0.055,0.018,0.008,0,0.006
"P71","No sabe",0.015,0,0.023,0.012,0.022,0.06
"P72","Muy positivo",0.46,0.293,0.571,0.63,0.647,0.616
"P72","Positivo",0.262,0.31,0.265,0.256,0.222,0.235
"P72","Neutral",0.126,0.234,0.11,0.106,0.098,0.072
"P72","Algo negativo",0.046,0.044,0.011,0.003,0.02,0
"P72","Negativo",0.078,0.116,0.018,0.001,0.004,0.002
"P72","No sabe",0.028,0.003,0.025,0.004,0.009,0.075
"P73","Muy positiva",0.348,0.193,0.451,0.472,0.518,0.391
"P73","Positiva",0.248,0.299,0.364,0.347,0.372,0.345
"P73","Neutral",0.155,0.238,0.09,0.122,0.077,0.16
"P73","Algo negativa",0.096,0.105,0.016,0.04,0.018,0.004
