"var","categoria","Reducir la inflación","Implementar reformas fiscales","Establecer políticas de control de precios","Reducir el gasto público","Estimular la inversión extranjera","Aumentar los subsidios a los servicios públicos"
"P06","Mucho",0.459,0.441,0.475,0.394,0.473,0.366
"P06","Bastante",0.282,0.25,0.25,0.35,0.251,0.249
"P06","Poco",0.232,0.278,0.237,0.224,0.249,0.289
"P06","Nada",0.022,0.028,0.029,0.023,0.023,0.011
"P06","No sabe",0.005,0.003,0.009,0.009,0.004,0.085
"P07","Siempre",0.307,0.246,0.273,0.25,0.265,0.2
"P07","Casi siempre",0.403,0.445,0.428,0.409,0.449,0.484
"P07","Casi nunca",0.23,0.246,0.258,0.253,0.27,0.139
"P07","Nunca, pero esta es una excepción",0.06,0.063,0.041,0.088,0.016,0.177
"P09","Gran excedente habitual",0.019,0.016,0.01,0.007,0.002,0.027
"P09","Gran excedente excepcional",0.006,0.016,0.02,0.013,0.004,0
"P09","Pequeño excedente habitual",0.078,0.121,0.074,0.055,0.104,0.049
"P09","Pequeño excedente excepcional",0.14,0.161,0.16,0.136,0.195,0.101
"P09","Alcanza gastos familia",0.112,0.134,0.123,0.15,0.139,0.075
"P09","No alcanza gastos familia",0.065,0.07,0.066,0.074,0.066,0.011
"P09","Solo NBFamiliares",0.252,0.263,0.313,0.306,0.199,0.142
"P09","No alcanza NBFamiliares",0.322,0.214,0.231,0.253,0.29,0.581
"P09","No sabe",0.006,0.005,0.003,0.006,0.001,0.014
"P10","Tiene Decidido que va a ir a votar",0.889,0.877,0.887,0.901,0.851,0.787
"P10","Tiene dudas sobre si va a ir a  votar",0.078,0.1,0.092,0.08,0.09,0.202
"P10","Tiene Decidido que no va a ir a votar",0.033,0.023,0.021,0.019,0.059,0.011
"P13","Unión por la Patria",0.411,0.409,0.607,0.054,0.356,0.267
"P13","Juntos por el Cambio ",0.242,0.246,0.108,0.429,0.311,0.104
"P13","Liberales",0.188,0.201,0.106,0.371,0.147,0.175
"P13","Izquierda",0.038,0.047,0.035,0.023,0.041,0.127
"P13","Hacemos por Nuestro país",0.059,0.043,0.072,0.057,0.03,0.073
"P13","No sabe",0.062,0.054,0.072,0.066,0.115,0.254
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.425,0.404,0.622,0.084,0.341,0.54
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.286,0.318,0.141,0.504,0.349,0.195
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.193,0.225,0.137,0.342,0.168,0.139
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.023,0.014,0.024,0.015,0.016,0.005
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.022,0.021,0.031,0.006,0.014,0.113
"P14","En blanco",0.028,0.012,0.017,0.018,0.087,0
"P14","No sabe",0.023,0.006,0.028,0.031,0.025,0.008
"P17","Totalmente seguro",0.694,0.689,0.702,0.716,0.605,0.565
"P17","Bastante seguro",0.147,0.157,0.139,0.131,0.115,0.124
