"var","categoria","Muy positivo","Positivo","Neutral","Algo negativo","Negativo","No sabe"
"P06","Mucho",0.584,0.445,0.404,0.425,0.458,0.295
"P06","Bastante",0.215,0.327,0.285,0.322,0.242,0.305
"P06","Poco",0.184,0.204,0.268,0.223,0.261,0.327
"P06","Nada",0.016,0.014,0.033,0.022,0.038,0.049
"P06","No sabe",0.001,0.01,0.01,0.008,0.001,0.024
"P07","Siempre",0.387,0.268,0.265,0.274,0.257,0.248
"P07","Casi siempre",0.391,0.479,0.403,0.429,0.414,0.426
"P07","Casi nunca",0.192,0.216,0.258,0.243,0.263,0.222
"P07","Nunca, pero esta es una excepción",0.03,0.037,0.074,0.054,0.066,0.104
"P09","Gran excedente habitual",0.023,0.012,0.016,0.008,0.014,0.005
"P09","Gran excedente excepcional",0.015,0.006,0.009,0.004,0.027,0.002
"P09","Pequeño excedente habitual",0.097,0.098,0.089,0.049,0.071,0.066
"P09","Pequeño excedente excepcional",0.221,0.144,0.115,0.202,0.135,0.128
"P09","Alcanza gastos familia",0.099,0.126,0.13,0.13,0.149,0.12
"P09","No alcanza gastos familia",0.05,0.071,0.067,0.062,0.061,0.117
"P09","Solo NBFamiliares",0.247,0.292,0.287,0.271,0.264,0.259
"P09","No alcanza NBFamiliares",0.239,0.247,0.28,0.274,0.279,0.294
"P09","No sabe",0.009,0.004,0.007,0,0,0.009
"P10","Tiene Decidido que va a ir a votar",0.926,0.89,0.885,0.858,0.917,0.861
"P10","Tiene dudas sobre si va a ir a  votar",0.058,0.079,0.092,0.128,0.068,0.086
"P10","Tiene Decidido que no va a ir a votar",0.016,0.031,0.023,0.014,0.015,0.053
"P13","Unión por la Patria",0.804,0.609,0.201,0.103,0.012,0.183
"P13","Juntos por el Cambio ",0.047,0.135,0.326,0.455,0.424,0.327
"P13","Liberales",0.068,0.113,0.296,0.315,0.421,0.128
"P13","Izquierda",0.037,0.05,0.036,0.024,0.021,0.009
"P13","Hacemos por Nuestro país",0.027,0.036,0.072,0.057,0.075,0.136
"P13","No sabe",0.017,0.057,0.069,0.046,0.047,0.217
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.775,0.615,0.235,0.13,0.06,0.265
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.084,0.144,0.435,0.534,0.526,0.342
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.093,0.173,0.215,0.268,0.359,0.207
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.021,0.015,0.019,0.019,0.017,0.056
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.015,0.028,0.026,0.008,0.005,0.003
"P14","En blanco",0.008,0.018,0.043,0.022,0.014,0.046
"P14","No sabe",0.004,0.007,0.027,0.019,0.019,0.081
"P17","Totalmente seguro",0.766,0.669,0.669,0.713,0.755,0.58
"P17","Bastante seguro",0.098,0.171,0.146,0.115,0.106,0.145
"P17","Algo seguro",0.097,0.119,0.109,0.086,0.08,0.166
"P17","Para nada seguro",0.039,0.041,0.076,0.086,0.059,0.109
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.067,0.103,0.142,0.332,0.305,0.23
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.06,0.075,0.186,0.364,0.493,0.066
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.28,0.227,0.232,0.194,0.189,0.292
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.259,0.263,0.195,0.068,0,0.157
"P22","En blanco",0.24,0.236,0.146,0.031,0,0.057
"P22","No sabe",0.094,0.096,0.099,0.011,0.013,0.198
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.52,0.282,0.136,0.062,0.064,0.046
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.178,0.365,0.405,0.384,0.351,0.33
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.166,0.149,0.199,0.175,0.151,0.102
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.027,0.005,0.017,0.021,0.011,0.08
"P25","En blanco",0.019,0.129,0.159,0.241,0.319,0.156
"P25","No sabe",0.09,0.07,0.084,0.117,0.104,0.286
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.383,0.223,0.105,0.085,0.118,0.167
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.327,0.377,0.576,0.56,0.391,0.421
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.216,0.121,0.13,0.235,0.13,0.184
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.009,0.011,0.02,0.009,0.029,0
"P28","En blanco",0.061,0.244,0.099,0.093,0.25,0.164
"P28","No sabe",0.004,0.024,0.07,0.018,0.082,0.064
"P31","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.583,0.808,0.317,0.287,0,0.231
"P31","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.301,0.088,0.208,0.285,0.95,0.043
"P31","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0,0.023,0.21,0.142,0.033,0
"P31","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0,0.012,0.216,0.143,0,0
"P31","En blanco",0.109,0,0.034,0,0.017,0.366
"P31","No sabe",0.007,0.069,0.015,0.143,0,0.36
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.15,0.214,0.478,0.458,0.584,0.387
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.077,0.125,0.21,0.347,0.226,0.26
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.492,0.422,0.163,0.092,0.07,0.123
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.164,0.127,0.057,0.039,0.038,0.061
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.096,0.075,0.045,0.026,0.038,0.034
"P36","No sabe",0.021,0.037,0.047,0.038,0.044,0.135
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.808,0.641,0.275,0.186,0.087,0.277
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.057,0.185,0.529,0.674,0.629,0.471
"P37","En blanco",0.098,0.114,0.124,0.097,0.204,0.084
"P37","No sabe",0.037,0.06,0.072,0.043,0.08,0.168
"P38","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.203,0.241,0.393,0.575,0.496,0.415
"P38","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.111,0.166,0.303,0.313,0.423,0.243
"P38","En blanco",0.521,0.432,0.189,0.053,0.035,0.12
"P38","No sabe",0.165,0.161,0.115,0.059,0.046,0.222
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.79,0.669,0.263,0.17,0.074,0.338
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.099,0.191,0.441,0.508,0.604,0.367
"P39","En blanco",0.078,0.081,0.166,0.18,0.236,0.096
"P39","No sabe",0.033,0.059,0.13,0.142,0.086,0.199
"P40","Lo votaría",0.809,0.669,0.227,0.159,0.07,0.248
"P40","Puede que lo vote",0.059,0.078,0.13,0.113,0.107,0.091
"P40","Nunca lo votaría",0.087,0.213,0.595,0.703,0.795,0.525
"P40","No sabe",0.045,0.04,0.048,0.025,0.028,0.136
"P41","Lo votaría",0.135,0.22,0.375,0.514,0.454,0.306
"P41","Puede que lo vote",0.053,0.127,0.16,0.156,0.167,0.162
"P41","Nunca lo votaría",0.796,0.618,0.404,0.277,0.356,0.381
"P41","No sabe",0.016,0.035,0.061,0.053,0.023,0.151
"P42","Lo votaría",0.08,0.143,0.307,0.364,0.482,0.227
"P42","Puede que lo vote",0.056,0.114,0.192,0.192,0.194,0.193
"P42","Nunca lo votaría",0.849,0.71,0.444,0.382,0.282,0.453
"P42","No sabe",0.015,0.033,0.057,0.062,0.042,0.127
"P43","Lo votaría",0.148,0.114,0.097,0.082,0.052,0.067
"P43","Puede que lo vote",0.367,0.328,0.227,0.147,0.131,0.179
"P43","Nunca lo votaría",0.432,0.493,0.609,0.692,0.79,0.607
"P43","No sabe",0.053,0.065,0.067,0.079,0.027,0.147
"P44","Lo votaría",0.113,0.078,0.09,0.077,0.038,0.101
"P44","Puede que lo vote",0.242,0.302,0.267,0.254,0.201,0.221
"P44","Nunca lo votaría",0.599,0.553,0.545,0.563,0.725,0.485
"P44","No sabe",0.046,0.067,0.098,0.106,0.036,0.193
"P53","Sergio Massa y Javier Milei",0.732,0.586,0.347,0.246,0.205,0.375
"P53","Patricia Bullrich y Javier Milei",0.118,0.225,0.516,0.582,0.663,0.494
"P53","Sergio Massa y Patricia Bullrich",0.15,0.189,0.137,0.172,0.132,0.131
"P54","Muy buena",0.123,0.091,0.051,0.028,0.044,0.067
"P54","Buena",0.153,0.126,0.094,0.109,0.107,0.06
"P54","Regular",0.4,0.379,0.142,0.07,0.02,0.116
"P54","Mala",0.223,0.221,0.264,0.244,0.127,0.34
"P54","Muy mala",0.101,0.183,0.449,0.549,0.702,0.417
"P55","Muy buena",0.118,0.058,0.023,0.01,0.006,0.028
"P55","Buena",0.29,0.22,0.056,0.026,0.007,0.072
"P55","Regular",0.371,0.331,0.145,0.08,0.008,0.165
"P55","Mala",0.126,0.206,0.263,0.263,0.133,0.301
"P55","Muy mala",0.095,0.185,0.513,0.621,0.846,0.434
"P56","Muy buena",0.284,0.135,0.048,0.046,0.074,0.034
"P56","Buena",0.377,0.343,0.163,0.156,0.11,0.154
"P56","Regular",0.215,0.318,0.424,0.418,0.319,0.466
"P56","Mala",0.094,0.127,0.219,0.246,0.213,0.223
"P56","Muy mala",0.03,0.077,0.146,0.134,0.284,0.123
"P57","Muy buena",0.107,0.05,0.035,0.023,0.037,0.027
"P57","Buena",0.351,0.284,0.159,0.144,0.107,0.133
"P57","Regular",0.361,0.473,0.452,0.501,0.417,0.442
"P57","Mala",0.116,0.131,0.254,0.227,0.225,0.28
"P57","Muy mala",0.065,0.062,0.1,0.105,0.214,0.118
"P58","Muy buena",0.191,0.076,0.047,0.014,0.025,0.03
"P58","Buena",0.34,0.319,0.123,0.097,0.08,0.153
"P58","Regular",0.308,0.359,0.339,0.307,0.196,0.386
"P58","Mala",0.091,0.167,0.296,0.39,0.316,0.27
"P58","Muy mala",0.07,0.079,0.195,0.192,0.383,0.161
"P59","Muy buena",0.261,0.118,0.057,0.073,0.079,0.027
"P59","Buena",0.425,0.408,0.257,0.167,0.187,0.233
"P59","Regular",0.221,0.345,0.454,0.49,0.382,0.499
"P59","Mala",0.065,0.094,0.152,0.215,0.179,0.169
"P59","Muy mala",0.028,0.035,0.08,0.055,0.173,0.072
"P60","Ha aumentado significativamente",0.222,0.097,0.035,0.044,0.033,0.028
"P60","Ha aumentado ligeramente",0.283,0.315,0.211,0.121,0.116,0.218
"P60","Se mantiene igual",0.281,0.303,0.306,0.3,0.211,0.28
"P60","Ha disminuido ligeramente",0.13,0.186,0.248,0.264,0.206,0.219
"P60","Ha disminuido significativamente",0.084,0.099,0.2,0.271,0.434,0.255
"P61","Muy baja",0.069,0.063,0.028,0.006,0.016,0.064
"P61","Baja",0.093,0.091,0.07,0.032,0.021,0.104
"P61","Moderada",0.131,0.139,0.089,0.086,0.04,0.081
"P61","Alta",0.451,0.349,0.218,0.216,0.073,0.211
"P61","Muy alta",0.256,0.358,0.595,0.66,0.85,0.54
"P62","Muy bajas",0.045,0.036,0.045,0.036,0.067,0.032
"P62","Bajas",0.088,0.093,0.124,0.11,0.131,0.11
"P62","Adecuadas",0.336,0.316,0.209,0.231,0.228,0.222
"P62","Altas",0.344,0.352,0.334,0.347,0.199,0.344
"P62","Muy altas",0.187,0.203,0.288,0.276,0.375,0.292
"P63","No, ninguna dificultad",0.429,0.399,0.228,0.224,0.246,0.213
"P63","Alguna dificultad ocasional",0.268,0.299,0.375,0.349,0.284,0.402
"P63","Sí, dificultades frecuentes",0.303,0.302,0.397,0.427,0.47,0.385
"P64","Sí, absolutamente",0.762,0.583,0.365,0.232,0.189,0.331
"P64","Sí, en cierta medida",0.183,0.33,0.37,0.37,0.284,0.4
"P64","No, en absoluto",0.055,0.087,0.265,0.398,0.527,0.269
"P65","Reducir la inflación",0.56,0.459,0.431,0.375,0.273,0.381
"P65","Implementar reformas fiscales",0.109,0.151,0.114,0.1,0.114,0.066
"P65","Establecer políticas de control de precios",0.261,0.199,0.089,0.101,0.09,0.183
"P65","Reducir el gasto público",0.017,0.13,0.306,0.371,0.481,0.295
"P65","Estimular la inversión extranjera",0.032,0.049,0.043,0.045,0.03,0.037
"P65","Aumentar los subsidios a los servicios públicos",0.021,0.012,0.017,0.008,0.012,0.038
"P66","Fomentar la competencia entre proveedores",0.308,0.251,0.383,0.439,0.541,0.302
"P66","Incrementar la inversión en infraestructura",0.186,0.236,0.203,0.242,0.2,0.211
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.236,0.215,0.103,0.08,0.031,0.201
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.27,0.298,0.311,0.239,0.228,0.286
"P67","Muy positiva",0.588,0.239,0.125,0.134,0.098,0.062
"P67","Positiva",0.192,0.409,0.206,0.112,0.077,0.108
"P67","Neutral",0.125,0.192,0.418,0.382,0.177,0.235
"P67","Algo negativa",0.053,0.078,0.118,0.192,0.133,0.094
"P67","Negativa",0.014,0.026,0.073,0.136,0.409,0.05
"P67","No sabe",0.028,0.056,0.06,0.044,0.106,0.451
"P68","Muy positivo",0.562,0.139,0.054,0.027,0.023,0.037
"P68","Positivo",0.224,0.489,0.158,0.12,0.06,0.1
"P68","Neutral",0.124,0.26,0.496,0.388,0.207,0.164
"P68","Algo negativo",0.029,0.034,0.137,0.226,0.122,0.092
"P68","Negativo",0.012,0.02,0.083,0.163,0.457,0.04
"P68","No sabe",0.049,0.058,0.072,0.076,0.131,0.567
"P69","Muy positivo",0.421,0.095,0.02,0.033,0.008,0.027
"P69","Positivo",0.204,0.367,0.097,0.09,0.064,0.051
"P69","Neutral",0.258,0.403,0.667,0.471,0.33,0.243
"P69","Algo negativo",0.019,0.044,0.088,0.229,0.095,0.078
"P69","Negativo",0.016,0.015,0.042,0.094,0.387,0.037
"P69","No sabe",0.082,0.076,0.086,0.083,0.116,0.564
