"var","categoria","Muy positivo","Positivo","Neutral","Algo negativo","Negativo","No sabe"
"P06","Mucho",0.543,0.409,0.426,0.387,0.451,0.282
"P06","Bastante",0.249,0.327,0.298,0.28,0.243,0.202
"P06","Poco",0.184,0.226,0.245,0.281,0.294,0.398
"P06","Nada",0.022,0.028,0.026,0.02,0.009,0.08
"P06","No sabe",0.002,0.01,0.005,0.032,0.003,0.038
"P07","Siempre",0.347,0.246,0.247,0.313,0.326,0.225
"P07","Casi siempre",0.411,0.462,0.425,0.381,0.393,0.458
"P07","Casi nunca",0.189,0.241,0.276,0.259,0.197,0.205
"P07","Nunca, pero esta es una excepción",0.053,0.051,0.052,0.047,0.084,0.112
"P09","Gran excedente habitual",0.025,0.005,0.018,0.004,0.012,0.002
"P09","Gran excedente excepcional",0.009,0.014,0.015,0.003,0.011,0
"P09","Pequeño excedente habitual",0.09,0.093,0.097,0.034,0.058,0.028
"P09","Pequeño excedente excepcional",0.196,0.139,0.145,0.141,0.153,0.046
"P09","Alcanza gastos familia",0.118,0.13,0.145,0.112,0.104,0.07
"P09","No alcanza gastos familia",0.053,0.074,0.061,0.063,0.085,0.123
"P09","Solo NBFamiliares",0.254,0.309,0.268,0.313,0.239,0.333
"P09","No alcanza NBFamiliares",0.247,0.233,0.246,0.33,0.338,0.388
"P09","No sabe",0.008,0.003,0.005,0,0,0.01
"P10","Tiene Decidido que va a ir a votar",0.917,0.886,0.894,0.871,0.892,0.76
"P10","Tiene dudas sobre si va a ir a  votar",0.066,0.083,0.087,0.1,0.089,0.19
"P10","Tiene Decidido que no va a ir a votar",0.017,0.031,0.019,0.029,0.019,0.05
"P13","Unión por la Patria",0.726,0.379,0.158,0.093,0.049,0.109
"P13","Juntos por el Cambio ",0.093,0.263,0.368,0.465,0.367,0.281
"P13","Liberales",0.076,0.195,0.3,0.328,0.443,0.197
"P13","Izquierda",0.023,0.049,0.036,0.031,0.019,0.04
"P13","Hacemos por Nuestro país",0.044,0.051,0.071,0.026,0.073,0.101
"P13","No sabe",0.038,0.063,0.067,0.057,0.049,0.272
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.715,0.413,0.171,0.118,0.105,0.213
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.116,0.264,0.481,0.611,0.489,0.328
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.115,0.224,0.25,0.226,0.336,0.216
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.014,0.019,0.017,0.038,0.022,0.084
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.01,0.025,0.028,0.001,0.006,0
"P14","En blanco",0.016,0.026,0.033,0,0.032,0.024
"P14","No sabe",0.014,0.029,0.02,0.006,0.01,0.135
"P17","Totalmente seguro",0.753,0.667,0.676,0.717,0.69,0.634
"P17","Bastante seguro",0.116,0.161,0.146,0.09,0.137,0.104
"P17","Algo seguro",0.095,0.103,0.103,0.143,0.109,0.131
"P17","Para nada seguro",0.036,0.069,0.075,0.05,0.064,0.131
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.094,0.117,0.123,0.312,0.336,0.161
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.055,0.127,0.208,0.271,0.454,0.015
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.252,0.258,0.232,0.151,0.167,0.317
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.264,0.236,0.212,0.036,0.007,0.047
"P22","En blanco",0.229,0.173,0.166,0.23,0.03,0.095
"P22","No sabe",0.106,0.089,0.059,0,0.006,0.365
