"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P06","Mucho",0.41,0.398,0.528,0.371
"P06","Bastante",0.297,0.278,0.266,0.307
"P06","Poco",0.265,0.272,0.176,0.253
"P06","Nada",0.02,0.047,0.022,0.043
"P06","No sabe",0.008,0.005,0.008,0.026
"P07","Siempre",0.264,0.265,0.273,0.22
"P07","Casi siempre",0.42,0.346,0.437,0.432
"P07","Casi nunca",0.253,0.288,0.239,0.26
"P07","Nunca, pero esta es una excepción",0.063,0.101,0.051,0.088
"P09","Gran excedente habitual",0.013,0.012,0.022,0.011
"P09","Gran excedente excepcional",0.012,0.009,0.01,0.01
"P09","Pequeño excedente habitual",0.069,0.051,0.107,0.041
"P09","Pequeño excedente excepcional",0.137,0.113,0.17,0.147
"P09","Alcanza gastos familia",0.119,0.127,0.121,0.124
"P09","No alcanza gastos familia",0.06,0.071,0.062,0.113
"P09","Solo NBFamiliares",0.27,0.307,0.262,0.251
"P09","No alcanza NBFamiliares",0.314,0.305,0.242,0.295
"P09","No sabe",0.006,0.005,0.004,0.008
"P10","Tiene Decidido que va a ir a votar",0.905,0.886,0.913,0.82
"P10","Tiene dudas sobre si va a ir a  votar",0.072,0.085,0.075,0.115
"P10","Tiene Decidido que no va a ir a votar",0.023,0.029,0.012,0.065
"P13","Unión por la Patria",0.192,0.095,0.745,0.481
"P13","Juntos por el Cambio ",0.595,0.093,0.059,0.077
"P13","Liberales",0.119,0.596,0.046,0.024
"P13","Izquierda",0.025,0.023,0.043,0.054
"P13","Hacemos por Nuestro país",0.027,0.146,0.05,0.061
"P13","No sabe",0.042,0.047,0.057,0.303
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.216,0.13,0.738,0.527
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.648,0.171,0.081,0.06
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.092,0.644,0.07,0.051
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.013,0.014,0.024,0.033
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.009,0.019,0.031,0.066
"P14","En blanco",0.011,0.018,0.04,0.093
"P14","No sabe",0.011,0.004,0.016,0.17
"P17","Totalmente seguro",0.698,0.701,0.749,0.524
"P17","Bastante seguro",0.164,0.131,0.093,0.118
"P17","Algo seguro",0.096,0.111,0.098,0.106
"P17","Para nada seguro",0.042,0.057,0.06,0.252
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.268,0.224,0.045,0.077
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.192,0.411,0.028,0.031
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.246,0.256,0.237,0.264
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.164,0.044,0.298,0.209
"P22","En blanco",0.082,0.043,0.318,0.083
"P22","No sabe",0.048,0.022,0.074,0.336
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.097,0.124,0.375,0.408
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.339,0.603,0.186,0.11
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.185,0.127,0.196,0.189
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.01,0.022,0.02,0.095
"P25","En blanco",0.223,0.086,0.193,0.043
"P25","No sabe",0.146,0.038,0.03,0.155
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.162,0.093,0.32,0.34
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.511,0.483,0.282,0.221
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.177,0.13,0.201,0.2
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.068,0.024,0.026,0.017
"P28","En blanco",0.022,0.22,0.149,0.016
"P28","No sabe",0.06,0.05,0.022,0.206
"P31","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.24,0.306,0.295,0.289
"P31","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.72,0.021,0.052,0.319
"P31","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.012,0.327,0.152,0.083
"P31","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.012,0,0.141,0.219
"P31","En blanco",0.008,0.012,0.351,0.007
"P31","No sabe",0.008,0.334,0.009,0.083
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.476,0.593,0.114,0.185
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.257,0.2,0.104,0.125
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.139,0.09,0.5,0.294
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.049,0.042,0.14,0.211
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.033,0.035,0.099,0.04
"P36","No sabe",0.046,0.04,0.043,0.145
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.276,0.153,0.782,0.527
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.656,0.539,0.049,0.065
"P37","En blanco",0.04,0.227,0.148,0.026
"P37","No sabe",0.028,0.081,0.021,0.382
"P39","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.311,0.106,0.779,0.562
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.326,0.816,0.033,0.045
"P39","En blanco",0.228,0.048,0.17,0.028
"P39","No sabe",0.135,0.03,0.018,0.365
"P40","Lo votaría",0.272,0.104,0.767,0.553
"P40","Puede que lo vote",0.084,0.195,0.039,0.069
"P40","Nunca lo votaría",0.614,0.666,0.178,0.141
"P40","No sabe",0.03,0.035,0.016,0.237
"P41","Lo votaría",0.641,0.167,0.119,0.1
"P41","Puede que lo vote",0.102,0.318,0.043,0.119
"P41","Nunca lo votaría",0.227,0.474,0.803,0.548
"P41","No sabe",0.03,0.041,0.035,0.233
"P42","Lo votaría",0.188,0.649,0.036,0.053
"P42","Puede que lo vote",0.247,0.187,0.037,0.075
"P42","Nunca lo votaría",0.508,0.137,0.898,0.668
"P42","No sabe",0.057,0.027,0.029,0.204
"P43","Lo votaría",0.064,0.125,0.126,0.137
"P43","Puede que lo vote",0.193,0.173,0.34,0.302
"P43","Nunca lo votaría",0.681,0.655,0.472,0.344
"P43","No sabe",0.062,0.047,0.062,0.217
"P44","Lo votaría",0.087,0.086,0.089,0.148
"P44","Puede que lo vote",0.281,0.235,0.261,0.241
"P44","Nunca lo votaría",0.555,0.628,0.58,0.365
"P44","No sabe",0.077,0.051,0.07,0.246
"P53","Sergio Massa y Javier Milei",0.221,0.416,0.689,0.608
"P53","Patricia Bullrich y Javier Milei",0.62,0.492,0.144,0.2
"P53","Sergio Massa y Patricia Bullrich",0.159,0.092,0.167,0.192
"P54","Muy buena",0.059,0.074,0.076,0.069
"P54","Buena",0.099,0.083,0.147,0.156
"P54","Regular",0.108,0.069,0.412,0.33
"P54","Mala",0.274,0.2,0.227,0.265
"P54","Muy mala",0.46,0.574,0.138,0.18
"P55","Muy buena",0.038,0.014,0.066,0.083
"P55","Buena",0.044,0.038,0.302,0.187
"P55","Regular",0.114,0.077,0.342,0.295
"P55","Mala",0.248,0.243,0.15,0.24
"P55","Muy mala",0.556,0.628,0.14,0.195
"P56","Muy buena",0.062,0.093,0.193,0.126
"P56","Buena",0.155,0.191,0.373,0.274
"P56","Regular",0.422,0.339,0.253,0.323
"P56","Mala",0.235,0.197,0.106,0.178
"P56","Muy mala",0.126,0.18,0.075,0.099
"P57","Muy buena",0.042,0.033,0.074,0.047
"P57","Buena",0.17,0.135,0.33,0.198
"P57","Regular",0.461,0.441,0.389,0.417
"P57","Mala",0.224,0.227,0.142,0.223
"P57","Muy mala",0.103,0.164,0.065,0.115
"P58","Muy buena",0.044,0.026,0.136,0.07
"P58","Buena",0.142,0.098,0.348,0.218
"P58","Regular",0.309,0.301,0.317,0.395
"P58","Mala",0.308,0.302,0.128,0.233
"P58","Muy mala",0.197,0.273,0.071,0.084
"P59","Muy buena",0.068,0.123,0.161,0.098
"P59","Buena",0.237,0.251,0.43,0.289
"P59","Regular",0.457,0.383,0.283,0.377
"P59","Mala",0.177,0.141,0.087,0.145
"P59","Muy mala",0.061,0.102,0.039,0.091
"P60","Ha aumentado significativamente",0.062,0.052,0.125,0.101
"P60","Ha aumentado ligeramente",0.144,0.184,0.321,0.202
"P60","Se mantiene igual",0.292,0.271,0.302,0.315
"P60","Ha disminuido ligeramente",0.237,0.215,0.168,0.21
"P60","Ha disminuido significativamente",0.265,0.278,0.084,0.172
"P61","Muy baja",0.05,0.041,0.044,0.071
"P61","Baja",0.056,0.056,0.084,0.092
"P61","Moderada",0.08,0.056,0.147,0.156
"P61","Alta",0.201,0.164,0.429,0.351
"P61","Muy alta",0.613,0.683,0.296,0.33
"P62","Muy bajas",0.063,0.062,0.021,0.048
"P62","Bajas",0.115,0.116,0.08,0.08
"P62","Adecuadas",0.238,0.192,0.332,0.266
"P62","Altas",0.324,0.257,0.358,0.398
"P62","Muy altas",0.26,0.373,0.209,0.208
"P63","No, ninguna dificultad",0.279,0.235,0.421,0.308
"P63","Alguna dificultad ocasional",0.327,0.347,0.29,0.305
"P63","Sí, dificultades frecuentes",0.394,0.418,0.289,0.387
"P64","Sí, absolutamente",0.337,0.301,0.685,0.596
"P64","Sí, en cierta medida",0.369,0.342,0.247,0.286
"P64","No, en absoluto",0.294,0.357,0.068,0.118
"P65","Reducir la inflación",0.428,0.359,0.512,0.472
"P65","Implementar reformas fiscales",0.115,0.106,0.131,0.085
"P65","Establecer políticas de control de precios",0.088,0.08,0.256,0.244
"P65","Reducir el gasto público",0.316,0.406,0.048,0.127
"P65","Estimular la inversión extranjera",0.048,0.036,0.038,0.037
"P65","Aumentar los subsidios a los servicios públicos",0.005,0.013,0.015,0.035
"P66","Fomentar la competencia entre proveedores",0.391,0.494,0.237,0.248
"P66","Incrementar la inversión en infraestructura",0.249,0.188,0.2,0.179
"P66","Implementar políticas de subsidios focalizados en grupos vulnerables",0.114,0.066,0.22,0.259
"P66","Realizar auditorías periódicas a las empresas de servicios públicos",0.246,0.252,0.343,0.314
"P67","Muy positiva",0.157,0.174,0.381,0.276
"P67","Positiva",0.145,0.165,0.311,0.251
"P67","Neutral",0.302,0.313,0.158,0.229
"P67","Algo negativa",0.144,0.105,0.07,0.079
"P67","Negativa",0.161,0.147,0.018,0.028
"P67","No sabe",0.091,0.096,0.062,0.137
"P68","Muy positivo",0.093,0.077,0.311,0.209
"P68","Positivo",0.161,0.145,0.337,0.288
"P68","Neutral",0.331,0.354,0.215,0.257
"P68","Algo negativo",0.129,0.145,0.038,0.045
"P68","Negativo",0.174,0.158,0.033,0.03
"P68","No sabe",0.112,0.121,0.066,0.171
"P69","Muy positivo",0.075,0.056,0.199,0.149
"P69","Positivo",0.115,0.128,0.253,0.22
"P69","Neutral",0.444,0.452,0.404,0.351
"P69","Algo negativo",0.115,0.111,0.026,0.05
"P69","Negativo",0.125,0.118,0.025,0.019
"P69","No sabe",0.126,0.135,0.093,0.211
"P70","Muy positiva",0.196,0.165,0.602,0.474
"P70","Positiva",0.206,0.225,0.218,0.186
"P70","Neutral",0.304,0.284,0.122,0.184
"P70","Algo negativa",0.121,0.095,0.023,0.06
"P70","Negativa",0.129,0.179,0.023,0.029
"P70","No sabe",0.044,0.052,0.012,0.067
"P71","Muy positivo",0.194,0.157,0.606,0.478
"P71","Positivo",0.203,0.25,0.24,0.166
"P71","Neutral",0.272,0.274,0.109,0.166
"P71","Algo negativo",0.142,0.103,0.016,0.057
"P71","Negativo",0.15,0.181,0.017,0.044
"P71","No sabe",0.039,0.035,0.012,0.089
"P72","Muy positivo",0.2,0.134,0.546,0.451
"P72","Positivo",0.22,0.262,0.235,0.24
"P72","Neutral",0.338,0.334,0.166,0.195
"P72","Algo negativo",0.088,0.061,0.017,0.02
"P72","Negativo",0.119,0.168,0.023,0.023
"P72","No sabe",0.035,0.041,0.013,0.071
"P73","Muy positiva",0.124,0.091,0.44,0.286
"P73","Positiva",0.171,0.208,0.338,0.289
"P73","Neutral",0.278,0.296,0.144,0.203
