"var","categoria","No tengo hijos","Tengo 1 hijo","Tengo 2 hijos","Tengo 3 o más hijos"
"P02","Masculino",0.494,0.459,0.424,0.429
"P02","Femenino",0.434,0.503,0.532,0.481
"P02","No binario",0.072,0.038,0.044,0.09
"P03","Soltero o soltera",0.699,0.295,0.219,0.204
"P03","Casado o casada",0.148,0.462,0.541,0.544
"P03","En concubinato",0.153,0.243,0.24,0.252
"P06","Tengo trabajo estable",0.507,0.434,0.457,0.334
"P06","Realizo changas o trabajos de vez en cuando",0.201,0.224,0.177,0.203
"P06","No tengo trabajo",0.235,0.2,0.172,0.196
"P06","Soy jubilado o pensionado",0.057,0.142,0.194,0.267
"P07","Si, tengo un emprendimiento",0.244,0.287,0.267,0.259
"P07","No, no tengo ningún emprendimiento",0.756,0.713,0.733,0.741
"P08","Hasta $70.000",0.459,0.387,0.325,0.415
"P08","De $70.000 a $140.000",0.237,0.288,0.29,0.252
"P08","De $140.000 a $210.000",0.131,0.132,0.156,0.123
"P08","De $210.000 a $280.000",0.063,0.085,0.086,0.041
"P08","De $280.000 a $350.000",0.05,0.038,0.057,0.056
"P08","De $350.000 a $420.000",0.019,0.026,0.03,0.038
"P08","De $420.000 a $490.000",0.007,0.01,0.013,0.008
"P08","Más de $490.000",0.034,0.034,0.043,0.067
"P09","Si, solicité",0.255,0.271,0.31,0.339
"P09","No, no solicité",0.745,0.729,0.69,0.661
"P10","No necesité un préstamo",0.327,0.211,0.249,0.217
"P10","Ya sabía que no cumplia las condiciones",0.292,0.325,0.249,0.344
"P10","Porque la tasa de interés es muy alta",0.236,0.315,0.376,0.285
"P10","Es un proceso engorroso con mucha burocrácia",0.048,0.052,0.05,0.054
"P10","Otro motivo",0.097,0.097,0.076,0.1
"P11","En un banco",0.688,0.669,0.718,0.618
"P11","En una financiera",0.06,0.137,0.088,0.124
"P11","En una fintech",0.004,0.01,0.01,0.01
"P11","En una red de finanzas colaborativas",0,0.002,0.006,0.025
"P11","Otro",0.248,0.182,0.178,0.223
"P12","De $25.000 a $300.000",0.609,0.539,0.515,0.61
"P12","De $300.000 a $500.000",0.125,0.155,0.153,0.111
"P12","De $500.000 a $800.000",0.04,0.06,0.091,0.066
"P12","De $800.000 a $1.500.000",0.023,0.103,0.094,0.069
"P12","De $1.500.000 a $3.000.000",0.113,0.081,0.084,0.068
"P12","De $3.000.000 a $5.000.000",0.04,0.044,0.016,0.023
"P12","Más de $5.000.000",0.05,0.018,0.047,0.053
"P13","No, no tuve ningún problema",0.762,0.813,0.749,0.744
"P13","Si, tuve scoring insuficiente",0.085,0.093,0.104,0.085
"P13","Si, porque estaba en el veraz",0.03,0.017,0.04,0.065
"P13","Si, porque la tasa de interés era muy alta",0.08,0.047,0.053,0.032
"P13","Si, porque no cumplía con la documentación solicitada",0.009,0.014,0.023,0.036
"P13","Otro problema",0.034,0.016,0.031,0.038
"P14","No, no sentí ningún trato diferencial",0.841,0.9,0.885,0.818
"P14","Si, sentí desconfianza",0.035,0.033,0.056,0.083
"P14","Si, sentí que hubo maltrato",0.023,0.002,0.009,0.028
"P14","Si, sentí que hubo una mala atención",0.031,0.03,0.016,0.021
"P14","Si, sentí que me subestimaron",0.035,0.016,0.008,0.016
"P14","Otro problema",0.035,0.019,0.026,0.034
"P15","Si",0.786,0.902,0.865,0.854
"P15","No",0.214,0.098,0.135,0.146
"P16","Si",0.396,0.283,0.278,0.366
"P16","No",0.604,0.717,0.722,0.634
"P17","Si, recibí apoyo financiero",0.119,0.043,0.044,0.097
"P17","No, nunca recibí apoyo financiero",0.881,0.957,0.956,0.903
"P18","Menos de $1.500.000",0.494,0.409,0.359,0.38
"P18","de $1.500.000 a $3.000.000",0.31,0.314,0.249,0.294
"P18","de $3.000.000 a $5.000.000",0.043,0.1,0.164,0.115
"P18","Más de $5.000.000",0.153,0.177,0.228,0.211
