"var","categoria","Si, tengo un emprendimiento","No, no tengo ningún emprendimiento"
"P02","Masculino",0.527,0.431
"P02","Femenino",0.41,0.51
"P02","No binario",0.063,0.059
"P03","Soltero o soltera",0.341,0.391
"P03","Casado o casada",0.42,0.4
"P03","En concubinato",0.239,0.209
"P04","No tengo hijos",0.282,0.311
"P04","Tengo 1 hijo",0.232,0.205
"P04","Tengo 2 hijos",0.249,0.243
"P04","Tengo 3 o más hijos",0.237,0.241
"P06","Tengo trabajo estable",0.609,0.381
"P06","Realizo changas o trabajos de vez en cuando",0.178,0.207
"P06","No tengo trabajo",0.12,0.231
"P06","Soy jubilado o pensionado",0.093,0.181
"P08","Hasta $70.000",0.341,0.422
"P08","De $70.000 a $140.000",0.217,0.282
"P08","De $140.000 a $210.000",0.149,0.13
"P08","De $210.000 a $280.000",0.09,0.06
"P08","De $280.000 a $350.000",0.065,0.045
"P08","De $350.000 a $420.000",0.033,0.026
"P08","De $420.000 a $490.000",0.017,0.007
"P08","Más de $490.000",0.088,0.028
"P09","Si, solicité",0.328,0.28
"P09","No, no solicité",0.672,0.72
"P10","No necesité un préstamo",0.275,0.251
"P10","Ya sabía que no cumplia las condiciones",0.249,0.319
"P10","Porque la tasa de interés es muy alta",0.347,0.282
"P10","Es un proceso engorroso con mucha burocrácia",0.065,0.046
"P10","Otro motivo",0.064,0.102
"P11","En un banco",0.747,0.641
"P11","En una financiera",0.059,0.117
"P11","En una fintech",0.006,0.01
"P11","En una red de finanzas colaborativas",0.005,0.011
"P11","Otro",0.183,0.221
"P12","De $25.000 a $300.000",0.445,0.625
"P12","De $300.000 a $500.000",0.149,0.127
"P12","De $500.000 a $800.000",0.088,0.055
"P12","De $800.000 a $1.500.000",0.082,0.067
"P12","De $1.500.000 a $3.000.000",0.122,0.07
"P12","De $3.000.000 a $5.000.000",0.031,0.029
"P12","Más de $5.000.000",0.083,0.027
"P13","No, no tuve ningún problema",0.773,0.759
"P13","Si, tuve scoring insuficiente",0.09,0.092
"P13","Si, porque estaba en el veraz",0.053,0.035
"P13","Si, porque la tasa de interés era muy alta",0.035,0.06
"P13","Si, porque no cumplía con la documentación solicitada",0.014,0.025
"P13","Otro problema",0.035,0.029
"P14","No, no sentí ningún trato diferencial",0.867,0.853
"P14","Si, sentí desconfianza",0.064,0.051
"P14","Si, sentí que hubo maltrato",0.002,0.023
"P14","Si, sentí que hubo una mala atención",0.041,0.017
"P14","Si, sentí que me subestimaron",0.014,0.02
"P14","Otro problema",0.012,0.036
"P15","Si",0.896,0.832
"P15","No",0.104,0.168
