"var","categoria","Hasta $70.000","De $70.000 a $140.000","De $140.000 a $210.000","De $210.000 a $280.000","De $280.000 a $350.000","De $350.000 a $420.000","De $420.000 a $490.000","Más de $490.000"
"P02","Masculino",0.367,0.445,0.523,0.588,0.573,0.651,0.648,0.619
"P02","Femenino",0.553,0.511,0.442,0.396,0.4,0.268,0.331,0.192
"P02","No binario",0.08,0.044,0.035,0.016,0.027,0.081,0.021,0.189
"P03","Soltero o soltera",0.458,0.366,0.306,0.301,0.289,0.253,0.15,0.237
"P03","Casado o casada",0.335,0.447,0.43,0.457,0.477,0.498,0.671,0.481
"P03","En concubinato",0.207,0.187,0.264,0.242,0.234,0.249,0.179,0.282
"P04","No tengo hijos",0.34,0.266,0.288,0.276,0.293,0.206,0.21,0.227
"P04","Tengo 1 hijo",0.205,0.231,0.207,0.264,0.159,0.2,0.238,0.163
"P04","Tengo 2 hijos",0.198,0.267,0.281,0.309,0.273,0.261,0.332,0.235
"P04","Tengo 3 o más hijos",0.257,0.236,0.224,0.151,0.275,0.333,0.22,0.375
"P06","Tengo trabajo estable",0.207,0.474,0.69,0.739,0.765,0.638,0.742,0.632
"P06","Realizo changas o trabajos de vez en cuando",0.338,0.165,0.062,0.031,0.018,0.151,0.011,0.067
"P06","No tengo trabajo",0.306,0.176,0.076,0.082,0.039,0.121,0.082,0.166
"P06","Soy jubilado o pensionado",0.149,0.185,0.172,0.148,0.178,0.09,0.165,0.135
"P07","Si, tengo un emprendimiento",0.227,0.219,0.295,0.353,0.342,0.319,0.477,0.53
"P07","No, no tengo ningún emprendimiento",0.773,0.781,0.705,0.647,0.658,0.681,0.523,0.47
"P09","Si, solicité",0.261,0.262,0.331,0.354,0.414,0.305,0.348,0.402
"P09","No, no solicité",0.739,0.738,0.669,0.646,0.586,0.695,0.652,0.598
"P10","No necesité un préstamo",0.183,0.197,0.371,0.343,0.527,0.47,0.388,0.468
"P10","Ya sabía que no cumplia las condiciones",0.415,0.341,0.118,0.124,0.084,0.125,0.082,0.121
"P10","Porque la tasa de interés es muy alta",0.226,0.317,0.421,0.451,0.32,0.198,0.374,0.316
"P10","Es un proceso engorroso con mucha burocrácia",0.06,0.049,0.031,0.035,0.034,0.09,0.045,0.053
"P10","Otro motivo",0.116,0.096,0.059,0.047,0.035,0.117,0.111,0.042
"P11","En un banco",0.543,0.693,0.749,0.804,0.825,0.738,0.916,0.755
"P11","En una financiera",0.136,0.101,0.109,0.053,0.052,0.027,0,0.031
"P11","En una fintech",0.011,0.009,0.011,0.012,0,0,0,0.002
"P11","En una red de finanzas colaborativas",0.013,0.006,0.004,0,0.006,0,0,0.027
"P11","Otro",0.297,0.191,0.127,0.131,0.117,0.235,0.084,0.185
"P12","De $25.000 a $300.000",0.703,0.689,0.518,0.335,0.306,0.289,0.297,0.179
"P12","De $300.000 a $500.000",0.104,0.125,0.191,0.199,0.169,0.052,0.087,0.123
"P12","De $500.000 a $800.000",0.044,0.051,0.07,0.135,0.088,0.065,0.059,0.124
"P12","De $800.000 a $1.500.000",0.026,0.038,0.091,0.108,0.216,0.479,0.192,0.081
"P12","De $1.500.000 a $3.000.000",0.073,0.055,0.069,0.138,0.144,0.072,0.077,0.192
"P12","De $3.000.000 a $5.000.000",0.017,0.034,0.042,0.012,0.038,0.027,0.192,0.034
"P12","Más de $5.000.000",0.033,0.008,0.019,0.073,0.039,0.016,0.096,0.267
"P13","No, no tuve ningún problema",0.689,0.775,0.829,0.829,0.881,0.797,1,0.734
"P13","Si, tuve scoring insuficiente",0.122,0.094,0.065,0.073,0.071,0.054,0,0.036
"P13","Si, porque estaba en el veraz",0.052,0.049,0.014,0.015,0.008,0,0,0.089
"P13","Si, porque la tasa de interés era muy alta",0.059,0.042,0.067,0.046,0.028,0.149,0,0.038
"P13","Si, porque no cumplía con la documentación solicitada",0.037,0.02,0.003,0.022,0.012,0,0,0.008
"P13","Otro problema",0.041,0.02,0.022,0.015,0,0,0,0.095
"P14","No, no sentí ningún trato diferencial",0.762,0.91,0.92,0.927,0.975,0.876,1,0.777
"P14","Si, sentí desconfianza",0.082,0.038,0.037,0.064,0,0.049,0,0.081
"P14","Si, sentí que hubo maltrato",0.043,0.005,0.002,0,0,0,0,0
"P14","Si, sentí que hubo una mala atención",0.026,0.023,0.005,0,0.015,0.075,0,0.081
"P14","Si, sentí que me subestimaron",0.03,0.007,0.018,0.009,0.01,0,0,0.03
"P14","Otro problema",0.057,0.017,0.018,0,0,0,0,0.031
"P15","Si",0.704,0.908,0.918,0.955,0.984,0.95,1,0.918
"P15","No",0.296,0.092,0.082,0.045,0.016,0.05,0,0.082
"P16","Si",0.278,0.248,0.352,0.397,0.488,0.224,0.398,0.599
"P16","No",0.722,0.752,0.648,0.603,0.512,0.776,0.602,0.401
"P17","Si, recibí apoyo financiero",0.091,0.051,0.063,0.017,0.071,0.145,0.092,0.15
"P17","No, nunca recibí apoyo financiero",0.909,0.949,0.937,0.983,0.929,0.855,0.908,0.85
"P18","Menos de $1.500.000",0.566,0.47,0.357,0.197,0.281,0.201,0.172,0.148
"P18","de $1.500.000 a $3.000.000",0.287,0.29,0.336,0.395,0.369,0.22,0.055,0.16
"P18","de $3.000.000 a $5.000.000",0.036,0.126,0.157,0.171,0.151,0.194,0.114,0.104
"P18","Más de $5.000.000",0.111,0.114,0.15,0.237,0.199,0.385,0.659,0.588
