"var","categoria","Que continúe el intendente Fernando Moreira","Que continúe Fernando Moreira pero con mejoras","Que cambie Fernando Moreira pero que se mantengan los avances","Que cambie el intendente Fernando Moreira"
"P06","En juntos por el Cambio, a Santiago López Medrano con el apoyo de María Eugenía Vidal",0.031,0.006,0.111,0.19
"P06","En Juntos por el cambio, A Andrés Petrillo con el apoyo de Jorge Macri",0.14,0.044,0.159,0.232
"P06","En juntos por el Cambio,a Mauricio D’alessandro",0.007,0.016,0.027,0.094
"P06","En el frente de todos, a Gabriel Katopodis con el apoyo de Alberto Fernández",0.578,0.556,0.374,0.109
"P06","En el frente de todos, a Juan Esleiman con el apoyo de Sergio Massa",0.107,0.165,0.059,0.055
"P06","En el frente de todos, a Leonardo Grosso",0.067,0.093,0.113,0.036
"P06","Al candidato de Javier Milei",0.023,0.027,0.063,0.175
"P06","Al Candidato de la izquierda",0.028,0.033,0.006,0.005
"P06","No sabe",0.019,0.06,0.088,0.104
"P08","En Juntos por el Cambio, a Santiago López Medrano con el apoyo de María Eugenía Vidal",0.199,0.055,0.209,0.179
"P08","En Juntos por el Cambio, a Andrés Petrillo con el apoyo de Jorge Macri",0.105,0.024,0.056,0.219
"P08","En Juntos por el Cambio, a Mauricio D’alessandro",0.034,0.043,0.043,0.11
"P08","En el Frente de Todos, a Fernando Moreira con el apoyo de Alberto Fernández",0.492,0.461,0.194,0.123
"P08","En el Frente de Todos, a Juan Esleiman con el apoyo de Sergio Massa",0.041,0.152,0.133,0.046
"P08","En el Frente de Todos, a Leonardo Grosso",0.06,0.167,0.141,0.052
"P08","Al candidato de Javier Milei",0.036,0.032,0.08,0.172
"P08","Al Candidato del Frente de Izquierda",0.023,0.01,0.003,0.008
"P08","No sabe",0.01,0.056,0.141,0.091
"P10","A Santiago López Medrano por Juntos por el Cambio",0.104,0.073,0.245,0.456
"P10","A Gabriel Katopodis por el Frente de Todos",0.745,0.699,0.531,0.113
"P10","Al candidato de los liberales libertarios",0,0.094,0.044,0.243
"P10","Al candidato del Frente de Izquierda",0.085,0.03,0.018,0.038
"P10","No sabe",0.066,0.104,0.162,0.15
"P12","A Santiago López Medrano por Juntos por el Cambio",0.294,0.039,0.248,0.44
"P12","A Fernando Moreira por el Frente de Todos",0.5,0.75,0.457,0.112
"P12","Al candidato de los liberales libertarios",0.005,0.038,0.053,0.227
"P12","Al candidato del Frente de Izquierda",0.023,0.037,0.005,0.024
"P12","No sabe",0.178,0.136,0.237,0.197
"P14","A Santiago López Medrano por Juntos por el Cambio",0.123,0.059,0.263,0.465
"P14","A Juan Esleiman por el Frente de Todos",0.512,0.585,0.389,0.112
"P14","Al candidato de los liberales libertarios",0.027,0.052,0.047,0.225
"P14","Al candidato del Frente de Izquierda",0.027,0.082,0.008,0.034
"P14","No sabe",0.311,0.222,0.293,0.164
"P16","A Andrés Petrillo por Juntos por el Cambio",0.167,0.089,0.24,0.409
"P16","A Gabriel Katopodis por el Frente de Todos",0.714,0.736,0.496,0.186
"P16","Al candidato de los liberales libertarios",0.005,0.056,0.043,0.235
"P16","Al candidato del Frente de Izquierda",0.008,0.002,0.011,0.017
"P16","No sabe",0.106,0.117,0.21,0.153
"P17","A Andrés Petrillo por Juntos por el Cambio",0.164,0.022,0.3,0.44
"P17","A Fernando Moreira por el Frente de Todos",0.694,0.811,0.399,0.102
"P17","Al candidato de los liberales libertarios",0.004,0.037,0.067,0.247
"P17","Al candidato del Frente de Izquierda",0.027,0.019,0.023,0.023
"P17","No sabe",0.111,0.111,0.211,0.188
"P18","A Andrés Petrillo por Juntos por el Cambio",0.181,0.012,0.294,0.441
"P18","A Juan Esleiman por el Frente de Todos",0.507,0.67,0.343,0.109
"P18","Al candidato de los liberales libertarios",0.048,0.038,0.062,0.228
"P18","Al candidato del Frente de Izquierda",0.026,0.058,0.01,0.031
"P18","No sabe",0.238,0.222,0.291,0.191
"P19","Lo votaría",0.076,0.093,0.154,0.192
"P19","Puede que lo vote",0.144,0.107,0.115,0.171
"P19","Nunca lo votaría",0.591,0.559,0.425,0.352
"P19","No sabe",0.189,0.241,0.306,0.285
"P20","Lo votaría",0.599,0.434,0.146,0.033
"P20","Puede que lo vote",0.161,0.277,0.153,0.111
"P20","Nunca lo votaría",0.154,0.134,0.326,0.633
"P20","No sabe",0.086,0.155,0.375,0.223
"P21","Lo votaría",0.119,0.08,0.137,0.19
"P21","Puede que lo vote",0.162,0.094,0.116,0.217
"P21","Nunca lo votaría",0.564,0.593,0.405,0.347
"P21","No sabe",0.155,0.233,0.342,0.246
"P22","Lo votaría",0.701,0.7,0.426,0.104
"P22","Puede que lo vote",0.124,0.116,0.183,0.13
"P22","Nunca lo votaría",0.11,0.127,0.246,0.657
"P22","No sabe",0.065,0.057,0.145,0.109
"P23","Lo votaría",0.132,0.066,0.145,0.172
"P23","Puede que lo vote",0.179,0.097,0.109,0.244
"P23","Nunca lo votaría",0.532,0.66,0.448,0.361
"P23","No sabe",0.157,0.177,0.298,0.223
"P24","Lo votaría",0.246,0.143,0.119,0.047
"P24","Puede que lo vote",0.199,0.319,0.118,0.153
"P24","Nunca lo votaría",0.434,0.265,0.399,0.532
"P24","No sabe",0.121,0.273,0.364,0.268
"P25","Lo votaría",0.178,0.272,0.155,0.038
"P25","Puede que lo vote",0.303,0.15,0.123,0.081
"P25","Nunca lo votaría",0.362,0.294,0.413,0.609
"P25","No sabe",0.157,0.284,0.309,0.272
"P26","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador",0.171,0.103,0.207,0.211
"P26","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador",0.089,0.087,0.242,0.315
"P26","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora",0.323,0.17,0.116,0.099
"P26","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador",0.328,0.518,0.315,0.121
"P26","Por los liberales, a  Javier Milei presidente con Carolina Píparo de gobernadora",0.013,0.006,0.073,0.152
"P26","Solo como gobernador a José Luis Espert",0,0.019,0.01,0.023
"P26","A los candidatos a presidente y gobernador del Frente de Izquierda",0,0.042,0.002,0.011
"P26","No sabe",0.076,0.055,0.035,0.068
"P27","En Juntos por el Cambio, a Mauricio Macri presidente con Cristian Ritondo de gobernador",0.057,0.002,0.132,0.192
"P27","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador",0.1,0.084,0.115,0.191
"P27","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador",0.037,0.071,0.124,0.2
"P27","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora",0.199,0.156,0.122,0.04
"P27","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador",0.52,0.57,0.379,0.113
